Date,DPZ
2020-08-03,360.0057067871094
2020-08-04,364.49847412109375
2020-08-05,365.9681396484375
2020-08-06,365.1402893066406
2020-08-07,361.9498596191406
2020-08-10,358.9825439453125
2020-08-11,361.5126647949219
2020-08-12,365.25201416015625
2020-08-13,371.17724609375
2020-08-14,371.13067626953125
2020-08-17,380.8045349121094
2020-08-18,382.720703125
2020-08-19,385.30657958984375
2020-08-20,389.1202697753906
2020-08-21,390.39459228515625
2020-08-24,389.7341613769531
2020-08-25,390.0782775878906
2020-08-26,388.89703369140625
2020-08-27,387.2505798339844
2020-08-28,386.93438720703125
2020-08-31,380.4045715332031
2020-09-01,381.5114440917969
2020-09-02,375.41876220703125
2020-09-03,369.74468994140625
2020-09-04,355.15020751953125
2020-09-08,350.0435485839844
2020-09-09,355.3920593261719
2020-09-10,361.8103332519531
2020-09-11,367.1215515136719
2020-09-14,362.1073913574219
2020-09-15,363.03936767578125
2020-09-16,359.74005126953125
2020-09-17,368.2120056152344
2020-09-18,370.5607604980469
2020-09-21,377.4390563964844
2020-09-22,385.6221618652344
2020-09-23,385.4264221191406
2020-09-24,385.2027282714844
2020-09-25,389.6578063964844
2020-09-28,392.882568359375
2020-09-29,394.6720275878906
2020-09-30,396.36834716796875
2020-10-01,397.9620361328125
2020-10-02,404.29046630859375
2020-10-05,396.05145263671875
2020-10-06,398.46533203125
2020-10-07,401.74603271484375
2020-10-08,373.7482604980469
2020-10-09,364.37213134765625
2020-10-12,365.8913269042969
2020-10-13,380.0020751953125
2020-10-14,375.7986755371094
2020-10-15,374.5217590332031
2020-10-16,372.2943420410156
2020-10-19,368.0443115234375
2020-10-20,367.59698486328125
2020-10-21,363.44012451171875
2020-10-22,365.10845947265625
2020-10-23,367.30804443359375
2020-10-26,367.7833557128906
2020-10-27,370.038818359375
2020-10-28,357.8945617675781
2020-10-29,360.4297180175781
2020-10-30,352.6007995605469
2020-11-02,350.4664001464844
2020-11-03,357.1863098144531
2020-11-04,365.83544921875
2020-11-05,369.283935546875
2020-11-06,372.6671447753906
2020-11-09,350.95111083984375
2020-11-10,355.7230529785156
2020-11-11,367.8392333984375
2020-11-12,363.99932861328125
2020-11-13,363.11395263671875
2020-11-16,358.658935546875
2020-11-17,358.3327331542969
2020-11-18,356.4593811035156
2020-11-19,358.8639221191406
2020-11-20,363.0766906738281
2020-11-23,360.8863525390625
2020-11-24,357.08380126953125
2020-11-25,357.3726806640625
2020-11-27,363.9248046875
2020-11-30,365.8820495605469
2020-12-01,365.11773681640625
2020-12-02,361.4642333984375
2020-12-03,357.3168029785156
2020-12-04,356.95330810546875
2020-12-07,358.40728759765625
2020-12-08,360.4017333984375
2020-12-09,358.7987365722656
2020-12-10,359.8052978515625
2020-12-11,357.3074951171875
2020-12-14,357.9052429199219
2020-12-15,359.2592468261719
2020-12-16,357.2421569824219
2020-12-17,369.046875
2020-12-18,370.4944763183594
2020-12-21,370.933349609375
2020-12-22,372.37158203125
2020-12-23,377.069091796875
2020-12-24,370.5130615234375
2020-12-28,373.7350769042969
2020-12-29,358.9604797363281
