Date,IEX
2021-09-02,211.6392059326172
2021-09-03,210.08177185058594
2021-09-07,204.98477172851562
2021-09-08,206.8064727783203
2021-09-09,205.52279663085938
2021-09-10,204.975341796875
2021-09-13,202.43626403808594
2021-09-14,203.80490112304688
2021-09-15,206.83480834960938
2021-09-16,206.117431640625
2021-09-17,203.64443969726562
2021-09-20,202.6627960205078
2021-09-21,201.43572998046875
2021-09-22,203.1253204345703
2021-09-23,205.0413818359375
2021-09-24,204.5222625732422
2021-09-27,203.31405639648438
2021-09-28,199.70843505859375
2021-09-29,201.04873657226562
2021-09-30,195.33822631835938
2021-10-01,198.358642578125
2021-10-04,196.74461364746094
2021-10-05,199.19866943359375
2021-10-06,199.8594207763672
2021-10-07,201.83216857910156
2021-10-08,199.9349365234375
2021-10-11,195.5364227294922
2021-10-12,194.2338104248047
2021-10-13,194.507568359375
2021-10-14,201.84194946289062
2021-10-15,202.00283813476562
2021-10-18,201.9365997314453
2021-10-19,204.65267944335938
2021-10-20,206.39395141601562
2021-10-21,208.43814086914062
2021-10-22,209.2141571044922
2021-10-25,209.32772827148438
2021-10-26,208.16368103027344
2021-10-27,210.302490234375
2021-10-28,211.0028076171875
2021-10-29,210.63372802734375
2021-11-01,211.8923797607422
2021-11-02,219.46336364746094
2021-11-03,217.96810913085938
2021-11-04,220.86399841308594
2021-11-05,221.93338012695312
2021-11-08,222.83241271972656
2021-11-09,223.21099853515625
2021-11-10,222.9081573486328
2021-11-11,221.05325317382812
2021-11-12,222.44444274902344
2021-11-15,222.02804565429688
2021-11-16,223.816650390625
2021-11-17,223.4949188232422
2021-11-18,223.19207763671875
2021-11-19,221.8482208251953
2021-11-22,222.699951171875
2021-11-23,223.69363403320312
2021-11-24,223.4097442626953
2021-11-26,218.55484008789062
2021-11-29,221.8482208251953
2021-11-30,212.54539489746094
2021-12-01,209.28990173339844
2021-12-02,215.9712677001953
2021-12-03,216.0469512939453
2021-12-06,222.10372924804688
2021-12-07,222.5295867919922
2021-12-08,224.37501525878906
2021-12-09,222.7283172607422
2021-12-10,223.61793518066406
2021-12-13,223.84506225585938
2021-12-14,221.58323669433594
2021-12-15,225.05645751953125
2021-12-16,226.65579223632812
2021-12-17,216.46337890625
2021-12-20,211.50437927246094
2021-12-21,216.20785522460938
2021-12-22,216.76620483398438
2021-12-23,218.27096557617188
2021-12-27,221.0911407470703
2021-12-28,222.3687286376953
2021-12-29,223.18260192871094
2021-12-30,222.80404663085938
2021-12-31,223.6463165283203
2022-01-03,218.3182373046875
2022-01-04,222.8892059326172
2022-01-05,218.94287109375
2022-01-06,218.29931640625
2022-01-07,215.36558532714844
2022-01-10,212.781982421875
2022-01-11,214.03121948242188
2022-01-12,214.75987243652344
2022-01-13,214.58917236328125
2022-01-14,208.99224853515625
2022-01-18,206.43093872070312
2022-01-19,204.99853515625
2022-01-20,204.99853515625
2022-01-21,207.89183044433594
2022-01-24,209.26736450195312
2022-01-25,204.41038513183594
2022-01-26,200.80557250976562
2022-01-27,197.95022583007812
2022-01-28,200.43560791015625
2022-01-31,204.37242126464844
2022-02-01,205.12181091308594
2022-02-02,195.8916778564453
2022-02-03,192.2110137939453
