Date,DHR
2017-05-02,73.58155822753906
2017-05-03,73.41312408447266
2017-05-04,74.53900909423828
2017-05-05,74.3439712524414
2017-05-08,73.92730712890625
2017-05-09,73.73226928710938
2017-05-10,73.76773071289062
2017-05-11,73.38652801513672
2017-05-12,73.43971252441406
2017-05-15,73.82978820800781
2017-05-16,73.59042358398438
2017-05-17,72.60638427734375
2017-05-18,72.5
2017-05-19,72.81914520263672
2017-05-22,73.50177001953125
2017-05-23,74.42375946044922
2017-05-24,74.43262481689453
2017-05-25,74.92021179199219
2017-05-26,74.82269287109375
2017-05-30,75.18617248535156
2017-05-31,75.3014144897461
2017-06-01,76.32978820800781
2017-06-02,76.9858169555664
2017-06-05,76.71099090576172
2017-06-06,76.00177001953125
2017-06-07,75.7358169555664
2017-06-08,74.96453857421875
2017-06-09,74.90248107910156
2017-06-12,74.53014373779297
2017-06-13,74.6187973022461
2017-06-14,74.87588500976562
2017-06-15,74.80496215820312
2017-06-16,74.89361572265625
2017-06-19,75.5939712524414
2017-06-20,75.95744323730469
2017-06-21,76.66666412353516
2017-06-22,76.20567321777344
2017-06-23,75.93971252441406
2017-06-26,75.77127838134766
2017-06-27,75.01773071289062
2017-06-28,75.10638427734375
2017-06-29,74.49468231201172
2017-06-30,74.81382751464844
2017-07-03,74.6985855102539
2017-07-05,74.5478744506836
2017-07-06,73.51950073242188
2017-07-07,73.64361572265625
2017-07-10,73.19149017333984
2017-07-11,73.67021179199219
2017-07-12,74.01596069335938
2017-07-13,74.6985855102539
2017-07-14,75.35460662841797
2017-07-17,75.77127838134766
2017-07-18,75.78014373779297
2017-07-19,76.05496215820312
2017-07-20,73.75886535644531
2017-07-21,73.62588500976562
2017-07-24,73.608154296875
2017-07-25,72.68617248535156
2017-07-26,72.70390319824219
2017-07-27,71.95035552978516
2017-07-28,72.18971252441406
2017-07-31,72.24290466308594
2017-08-01,71.64893341064453
2017-08-02,72.0567398071289
2017-08-03,72.0567398071289
2017-08-04,71.81737518310547
2017-08-07,72.18971252441406
2017-08-08,71.16134643554688
2017-08-09,71.12588500976562
2017-08-10,70.29255676269531
2017-08-11,70.76241302490234
2017-08-14,71.45390319824219
2017-08-15,71.41844177246094
2017-08-16,72.30496215820312
2017-08-17,71.72872161865234
2017-08-18,71.6932601928711
2017-08-21,71.87943267822266
2017-08-22,73.1560287475586
2017-08-23,72.53546142578125
2017-08-24,72.52659606933594
2017-08-25,72.83687591552734
2017-08-28,73.0230484008789
2017-08-29,72.68617248535156
2017-08-30,72.81914520263672
2017-08-31,73.95390319824219
2017-09-01,73.78546142578125
2017-09-05,73.63475036621094
2017-09-06,74.4858169555664
2017-09-07,75.4432601928711
2017-09-08,76.9148941040039
2017-09-11,77.18971252441406
2017-09-12,77.36701965332031
2017-09-13,77.34042358398438
2017-09-14,78.41312408447266
2017-09-15,78.20035552978516
2017-09-18,78.11170196533203
2017-09-19,77.01241302490234
2017-09-20,76.64893341064453
2017-09-21,76.61347198486328
2017-09-22,76.93262481689453
2017-09-25,76.24113464355469
2017-09-26,75.76241302490234
2017-09-27,75.76241302490234
2017-09-28,75.39006805419922
2017-09-29,76.04609680175781
2017-10-02,76.7021255493164
