Date,NDAQ
2019-12-30,35.67333221435547
2019-12-31,35.70000076293945
2020-01-02,35.939998626708984
2020-01-03,36.09333419799805
2020-01-06,36.06999969482422
2020-01-07,35.473331451416016
2020-01-08,35.276668548583984
2020-01-09,35.78333282470703
2020-01-10,35.61333465576172
2020-01-13,35.6966667175293
2020-01-14,35.516666412353516
2020-01-15,35.95333480834961
2020-01-16,36.10333251953125
2020-01-17,36.436668395996094
2020-01-21,36.41666793823242
2020-01-22,36.380001068115234
2020-01-23,36.543331146240234
2020-01-24,36.73666763305664
2020-01-27,36.59333419799805
2020-01-28,37.04666519165039
2020-01-29,38.4466667175293
2020-01-30,38.6533317565918
2020-01-31,38.81999969482422
2020-02-03,39.26333236694336
2020-02-04,39.55666732788086
2020-02-05,38.823333740234375
2020-02-06,38.616668701171875
2020-02-07,38.11000061035156
2020-02-10,38.57666778564453
2020-02-11,38.266666412353516
2020-02-12,38.02000045776367
2020-02-13,38.133331298828125
2020-02-14,38.733333587646484
2020-02-18,38.55666732788086
2020-02-19,38.42333221435547
2020-02-20,38.163333892822266
2020-02-21,38.393333435058594
2020-02-24,38.246665954589844
2020-02-25,37.470001220703125
2020-02-26,37.67333221435547
2020-02-27,35.81666564941406
2020-02-28,34.18333435058594
2020-03-02,36.706668853759766
2020-03-03,36.689998626708984
2020-03-04,38.790000915527344
2020-03-05,38.03333282470703
2020-03-06,36.83333206176758
2020-03-09,35.2400016784668
2020-03-10,34.900001525878906
2020-03-11,33.106666564941406
2020-03-12,29.543333053588867
2020-03-13,32.016666412353516
2020-03-16,28.43666648864746
2020-03-17,31.676666259765625
2020-03-18,30.523332595825195
2020-03-19,29.333332061767578
2020-03-20,26.833332061767578
2020-03-23,24.286666870117188
2020-03-24,27.663333892822266
2020-03-25,28.98666763305664
2020-03-26,31.273332595825195
2020-03-27,30.926666259765625
2020-03-30,33.14666748046875
2020-03-31,31.649999618530273
2020-04-01,30.75666618347168
2020-04-02,31.31999969482422
2020-04-03,31.739999771118164
2020-04-06,33.86333465576172
2020-04-07,33.64666748046875
2020-04-08,34.709999084472656
2020-04-09,35.973331451416016
2020-04-13,34.43000030517578
2020-04-14,35.85333251953125
2020-04-15,35.33333206176758
2020-04-16,36.10333251953125
2020-04-17,37.08000183105469
2020-04-20,36.59333419799805
2020-04-21,35.09000015258789
2020-04-22,34.87666702270508
2020-04-23,34.616668701171875
2020-04-24,35.209999084472656
2020-04-27,37.209999084472656
2020-04-28,37.06999969482422
2020-04-29,37.20000076293945
2020-04-30,36.55666732788086
2020-05-01,35.540000915527344
2020-05-04,35.37666702270508
2020-05-05,36.276668548583984
2020-05-06,35.209999084472656
2020-05-07,35.776668548583984
2020-05-08,35.86333465576172
2020-05-11,36.413333892822266
2020-05-12,36.16666793823242
2020-05-13,36.29666519165039
2020-05-14,36.49333190917969
2020-05-15,37.36000061035156
2020-05-18,38.313331604003906
2020-05-19,37.543331146240234
2020-05-20,38.23666763305664
2020-05-21,37.996665954589844
2020-05-22,38.4466667175293
2020-05-26,38.7599983215332
2020-05-27,38.39666748046875
2020-05-28,38.790000915527344
2020-05-29,39.48666763305664
2020-06-01,39.62666702270508
2020-06-02,39.746665954589844
2020-06-03,39.779998779296875
2020-06-04,39.310001373291016
2020-06-05,39.96666717529297
2020-06-08,40.43333435058594
2020-06-09,40.029998779296875
2020-06-10,40.003334045410156
2020-06-11,37.75
2020-06-12,38.383331298828125
2020-06-15,39.12333297729492
2020-06-16,39.5099983215332
2020-06-17,39.37666702270508
2020-06-18,39.76333236694336
2020-06-19,39.61000061035156
2020-06-22,39.9033317565918
2020-06-23,39.53333282470703
