Date,ESS
2018-09-12,190.24444580078125
2018-09-13,190.4592742919922
2018-09-14,188.94808959960938
2018-09-17,188.9020538330078
2018-09-18,188.25767517089844
2018-09-19,187.09933471679688
2018-09-20,188.21932983398438
2018-09-21,189.66146850585938
2018-09-24,184.6982421875
2018-09-25,186.51629638671875
2018-09-26,184.18429565429688
2018-09-27,187.00608825683594
2018-09-28,190.7324676513672
2018-10-01,189.79702758789062
2018-10-02,189.82020568847656
2018-10-03,188.82289123535156
2018-10-04,188.02658081054688
2018-10-05,188.4054412841797
2018-10-08,191.7529754638672
2018-10-09,193.54656982421875
2018-10-10,190.8716278076172
2018-10-11,185.30523681640625
2018-10-12,184.47804260253906
2018-10-15,186.0088348388672
2018-10-16,189.18629455566406
2018-10-17,187.7096405029297
2018-10-18,188.74560546875
2018-10-19,189.9052276611328
2018-10-22,187.44677734375
2018-10-23,188.9002227783203
2018-10-24,194.68304443359375
2018-10-25,196.6853485107422
2018-10-26,191.66017150878906
2018-10-29,198.33982849121094
2018-10-30,197.6362762451172
2018-10-31,193.87899780273438
2018-11-01,195.32473754882812
2018-11-02,191.63702392578125
2018-11-05,192.95127868652344
2018-11-06,193.3069305419922
2018-11-07,197.1414794921875
2018-11-08,196.15194702148438
2018-11-09,196.31430053710938
2018-11-12,196.9095916748047
2018-11-13,197.3115692138672
2018-11-14,195.7499237060547
2018-11-15,193.83258056640625
2018-11-16,197.6595001220703
2018-11-19,199.3139190673828
2018-11-20,199.73910522460938
2018-11-21,200.0329132080078
2018-11-23,198.3321075439453
2018-11-26,198.2393341064453
2018-11-27,199.7082061767578
2018-11-28,201.19259643554688
2018-11-29,200.4967803955078
2018-11-30,202.94752502441406
2018-12-03,203.15625
2018-12-04,200.6900177001953
2018-12-06,205.39825439453125
2018-12-07,203.83660888671875
2018-12-10,203.01710510253906
2018-12-11,203.550537109375
2018-12-12,199.55360412597656
2018-12-13,202.34449768066406
2018-12-14,202.76971435546875
2018-12-17,196.5771484375
2018-12-18,199.5303955078125
2018-12-19,197.6053924560547
2018-12-20,197.4430389404297
2018-12-21,194.62892150878906
2018-12-24,185.2743682861328
2018-12-26,189.25582885742188
2018-12-27,189.95936584472656
2018-12-28,190.2299346923828
2018-12-31,191.0167236328125
2019-01-02,184.30181884765625
2019-01-03,185.2755126953125
2019-01-04,185.63388061523438
2019-01-07,186.40509033203125
2019-01-08,191.06346130371094
2019-01-09,190.89987182617188
2019-01-10,193.71983337402344
2019-01-11,194.3040771484375
2019-01-14,193.8834228515625
2019-01-15,196.7734832763672
2019-01-16,199.93621826171875
2019-01-17,201.1202850341797
2019-01-18,202.48353576660156
2019-01-22,203.52734375
2019-01-23,203.94020080566406
2019-01-24,203.784423828125
2019-01-25,204.7347869873047
2019-01-28,207.58592224121094
2019-01-29,209.47889709472656
2019-01-30,211.11474609375
2019-01-31,211.26278686523438
2019-02-01,210.3980712890625
2019-02-04,213.98143005371094
2019-02-05,215.7185821533203
2019-02-06,214.6201934814453
2019-02-07,216.1392364501953
2019-02-08,216.61447143554688
2019-02-11,217.07403564453125
2019-02-12,215.45370483398438
2019-02-13,216.583251953125
2019-02-14,216.44305419921875
2019-02-15,217.19869995117188
2019-02-19,218.30487060546875
2019-02-20,215.6173095703125
2019-02-21,218.12571716308594
2019-02-22,219.26292419433594
2019-02-25,217.6427459716797
2019-02-26,218.1490478515625
2019-02-27,217.99317932128906
2019-02-28,217.99317932128906
2019-03-01,217.40899658203125
2019-03-04,219.69924926757812
2019-03-05,219.16171264648438
2019-03-06,219.18511962890625
2019-03-07,219.9018096923828
2019-03-08,220.84437561035156
2019-03-11,222.58151245117188
2019-03-12,223.5630340576172
2019-03-13,225.2924041748047
2019-03-14,226.6322479248047
2019-03-15,225.44036865234375
2019-03-18,222.9866180419922
2019-03-19,222.58151245117188
2019-03-20,222.21539306640625
2019-03-21,225.51828002929688
2019-03-22,226.46087646484375
2019-03-25,225.02761840820312
2019-03-26,228.1356658935547
2019-03-27,227.0996551513672
2019-03-28,227.5623779296875
2019-03-29,226.83299255371094
2019-04-01,226.0723419189453
2019-04-02,228.79359436035156
2019-04-03,227.4917755126953
2019-04-04,225.6880340576172
2019-04-05,226.9192657470703
2019-04-08,225.46839904785156
2019-04-09,225.43704223632812
2019-04-10,226.40960693359375
2019-04-11,227.28790283203125
2019-04-12,227.55459594726562
2019-04-15,226.40960693359375
2019-04-16,218.41029357910156
2019-04-17,215.37525939941406
2019-04-18,218.24559020996094
2019-04-22,215.79879760742188
2019-04-23,217.155517578125
2019-04-24,218.53578186035156
2019-04-25,218.28480529785156
2019-04-26,220.7080841064453
2019-04-29,217.74371337890625
2019-04-30,221.5472869873047
2019-05-01,222.47259521484375
2019-05-02,221.98641967773438
2019-05-03,222.9902801513672
2019-05-06,222.61386108398438
2019-05-07,218.73184204101562
2019-05-08,218.39468383789062
2019-05-09,219.65724182128906
2019-05-10,222.5980987548828
2019-05-13,222.41766357421875
2019-05-14,221.60997009277344
2019-05-15,222.85696411132812
2019-05-16,224.2449951171875
2019-05-17,224.30775451660156
2019-05-20,222.76280212402344
2019-05-21,224.8253631591797
2019-05-22,225.8135223388672
2019-05-23,226.96632385253906
2019-05-24,228.18975830078125
2019-05-28,226.84085083007812
2019-05-29,223.78236389160156
2019-05-30,223.86859130859375
2019-05-31,228.79359436035156
2019-06-03,227.1388397216797
2019-06-04,225.8135223388672
2019-06-05,231.82078552246094
2019-06-06,232.52662658691406
2019-06-07,232.659912109375
2019-06-10,232.1422882080078
2019-06-11,234.5029296875
2019-06-12,234.35386657714844
2019-06-13,233.86764526367188
2019-06-14,234.63623046875
2019-06-17,237.0908660888672
2019-06-18,236.1419219970703
2019-06-19,236.56541442871094
2019-06-20,237.55352783203125
2019-06-21,235.25572204589844
2019-06-24,233.70289611816406
2019-06-25,230.7071075439453
2019-06-26,226.0958709716797
2019-06-27,227.6907958984375
2019-06-28,230.50169372558594
2019-07-01,232.15975952148438
2019-07-02,235.74452209472656
2019-07-03,238.2001190185547
2019-07-05,237.7421417236328
2019-07-08,239.98452758789062
2019-07-09,241.12156677246094
2019-07-10,243.33241271972656
2019-07-11,241.58740234375
2019-07-12,239.99240112304688
2019-07-15,240.71881103515625
2019-07-16,240.2609100341797
2019-07-17,239.71607971191406
2019-07-18,239.2501983642578
2019-07-19,232.8468017578125
2019-07-22,230.596435546875
2019-07-23,233.40737915039062
2019-07-24,231.9386749267578
2019-07-25,235.76815795898438
2019-07-26,240.08718872070312
2019-07-29,243.05592346191406
2019-07-30,242.14796447753906
2019-07-31,238.62640380859375
2019-08-01,240.7267608642578
2019-08-02,241.12942504882812
2019-08-05,232.46775817871094
2019-08-06,236.42355346679688
2019-08-07,237.39476013183594
2019-08-08,240.1976776123047
2019-08-09,242.8112335205078
2019-08-12,246.5696258544922
2019-08-13,247.38287353515625
2019-08-14,242.62168884277344
2019-08-15,246.8460235595703
2019-08-16,248.49618530273438
2019-08-19,250.90440368652344
2019-08-20,249.30152893066406
2019-08-21,251.33868408203125
2019-08-22,253.4468231201172
2019-08-23,248.86724853515625
2019-08-26,252.4361572265625
2019-08-27,251.74923706054688
2019-08-28,252.45989990234375
2019-08-29,253.8890380859375
2019-08-30,253.65997314453125
2019-09-03,254.7338409423828
2019-09-04,256.93670654296875
2019-09-05,256.3919982910156
2019-09-06,258.239501953125
2019-09-09,257.14202880859375
2019-09-10,253.59689331054688
2019-09-11,254.38644409179688
2019-09-12,255.8392791748047
2019-09-13,254.74176025390625
2019-09-16,256.0603332519531
2019-09-17,259.6291809082031
2019-09-18,259.3055419921875
2019-09-19,258.13690185546875
2019-09-20,254.8917999267578
2019-09-23,256.7314453125
2019-09-24,256.7393798828125
2019-09-25,258.4447937011719
2019-09-26,260.7266845703125
2019-09-27,259.2097473144531
2019-09-30,259.447998046875
2019-10-01,258.6378479003906
2019-10-02,258.8760986328125
2019-10-03,260.6314392089844
2019-10-04,262.4264831542969
2019-10-07,261.76727294921875
2019-10-08,260.2899169921875
2019-10-09,261.5050964355469
2019-10-10,262.8871154785156
2019-10-11,259.6941833496094
2019-10-14,260.13897705078125
2019-10-15,260.7903137207031
2019-10-16,261.560791015625
2019-10-17,261.0444641113281
2019-10-18,263.14129638671875
2019-10-21,264.1261901855469
2019-10-22,262.89508056640625
2019-10-23,260.7903137207031
2019-10-24,259.1540222167969
2019-10-25,258.20892333984375
2019-10-28,256.858642578125
2019-10-29,256.7236328125
2019-10-30,260.24224853515625
2019-10-31,259.8292236328125
2019-11-01,257.9071350097656
2019-11-04,255.83404541015625
2019-11-05,252.83966064453125
2019-11-06,252.537841796875
2019-11-07,250.05970764160156
2019-11-08,250.13124084472656
2019-11-11,248.93191528320312
2019-11-12,245.45291137695312
2019-11-13,248.74124145507812
2019-11-14,249.5990447998047
2019-11-15,253.3718719482422
2019-11-18,254.88087463378906
2019-11-19,256.14385986328125
2019-11-20,253.14146423339844
2019-11-21,250.39329528808594
2019-11-22,246.82708740234375
2019-11-25,246.4140167236328
2019-11-26,248.010498046875
2019-11-27,248.574462890625
2019-11-29,247.95489501953125
2019-12-02,242.02967834472656
2019-12-03,243.20513916015625
2019-12-04,247.35926818847656
2019-12-05,247.15274047851562
2019-12-06,247.7563934326172
2019-12-09,247.1844482421875
2019-12-10,245.8818817138672
2019-12-11,242.0614776611328
2019-12-12,238.51893615722656
2019-12-13,238.68577575683594
