Date,PBI
2020-10-30,4.292945861816406
2020-11-02,4.1555070877075195
2020-11-03,4.446556091308594
2020-11-04,4.317200660705566
2020-11-05,4.713347911834717
2020-11-06,4.583993434906006
2020-11-09,4.826531887054443
2020-11-10,5.012478828430176
2020-11-11,4.850785732269287
2020-11-12,4.672923564910889
2020-11-13,4.737600803375244
2020-11-16,4.93330192565918
2020-11-17,4.868069171905518
2020-11-18,4.762063980102539
2020-11-19,4.762063980102539
2020-11-20,4.656059265136719
2020-11-23,4.5989789962768555
2020-11-24,4.9006853103637695
2020-11-25,4.89253044128418
2020-11-27,4.89253044128418
2020-11-30,4.647904396057129
2020-12-01,4.5663628578186035
2020-12-02,4.664213180541992
2020-12-03,4.631596565246582
2020-12-04,4.93330192565918
2020-12-07,4.851760387420654
2020-12-08,4.819143772125244
2020-12-09,4.631596565246582
2020-12-10,4.721292972564697
2020-12-11,4.713139057159424
2020-12-14,4.44404935836792
2020-12-15,4.704984188079834
2020-12-16,4.582671165466309
2020-12-17,4.501129627227783
2020-12-18,4.338045120239258
2020-12-21,4.3625078201293945
2020-12-22,4.44404935836792
2020-12-23,4.5663628578186035
2020-12-24,4.509282112121582
2020-12-28,4.40327787399292
2020-12-29,5.22685432434082
2020-12-30,5.031153678894043
2020-12-31,5.022998809814453
2021-01-04,5.161620140075684
2021-01-05,5.569332599639893
2021-01-06,5.667181491851807
2021-01-07,5.65087366104126
2021-01-08,5.634565353393555
2021-01-11,5.781340599060059
2021-01-12,6.197205543518066
2021-01-13,5.895500183105469
2021-01-14,6.303211212158203
2021-01-15,6.066739082336426
2021-01-19,5.748724937438965
2021-01-20,5.805804252624512
2021-01-21,5.748724937438965
2021-01-22,5.862883567810059
2021-01-25,6.140125751495361
2021-01-26,11.114200592041016
2021-01-27,8.81471061706543
2021-01-28,7.558961391448975
2021-01-29,7.6160383224487305
2021-02-01,8.798402786254883
2021-02-02,7.11047887802124
2021-02-03,7.11047887802124
2021-02-04,7.40402889251709
2021-02-05,7.599732875823975
2021-02-08,7.599732875823975
2021-02-09,7.534498691558838
2021-02-10,7.420340061187744
2021-02-11,7.412139892578125
2021-02-12,7.395741939544678
2021-02-16,7.280951499938965
2021-02-17,7.297349452972412
2021-02-18,7.067770957946777
2021-02-19,7.059571266174316
2021-02-22,6.747998237609863
2021-02-23,7.059571266174316
2021-02-24,7.5105299949646
2021-02-25,7.264552593231201
2021-02-26,6.952980041503906
2021-03-01,7.289150238037109
2021-03-02,7.182559967041016
2021-03-03,7.084167957305908
2021-03-04,6.887386798858643
2021-03-05,7.051373481750488
2021-03-08,7.535130023956299
2021-03-09,7.494132995605469
2021-03-10,7.690917015075684
2021-03-11,7.641720771789551
2021-03-12,7.567924976348877
2021-03-15,7.617122650146484
2021-03-16,7.715512275695801
2021-03-17,7.740109920501709
2021-03-18,7.740109920501709
2021-03-19,7.871298789978027
2021-03-22,7.239954471588135
2021-03-23,6.879186153411865
2021-03-24,6.403629779815674
2021-03-25,6.723400592803955
2021-03-26,6.723400592803955
2021-03-29,6.452824592590332
2021-03-30,6.592212200164795
2021-03-31,6.756197929382324
2021-04-01,6.805394649505615
2021-04-05,6.747998237609863
2021-04-06,7.059571266174316
2021-04-07,6.846390247344971
2021-04-08,6.862789630889893
2021-04-09,6.838191032409668
2021-04-12,6.780796051025391
2021-04-13,6.756197929382324
2021-04-14,6.805394649505615
2021-04-15,6.715201377868652
2021-04-16,6.887386798858643
2021-04-19,6.723400592803955
2021-04-20,6.608612060546875
2021-04-21,6.780796051025391
2021-04-22,6.756197929382324
2021-04-23,7.043172836303711
2021-04-26,7.059571266174316
2021-04-27,7.018576145172119
2021-04-28,7.977888107299805
2021-04-29,7.166161060333252
2021-04-30,6.124853610992432
2021-05-03,6.075658798217773
2021-05-04,6.051061153411865
2021-05-05,6.042861461639404
2021-05-06,6.1986470222473145
2021-05-07,6.297038555145264
2021-05-10,6.034661769866943
2021-05-11,6.1740498542785645
2021-05-12,5.870677947998047
2021-05-13,5.8870744705200195
2021-05-14,6.411828517913818
2021-05-17,6.5184197425842285
2021-05-18,6.403629779815674
2021-05-19,6.461024761199951
2021-05-20,6.461024284362793
2021-05-21,6.50228214263916
2021-05-24,6.626056671142578
2021-05-25,6.461024284362793
2021-05-26,6.758082389831543
2021-05-27,7.013883590698242
2021-05-28,6.914864540100098
2021-06-01,7.046889781951904
2021-06-02,7.3439483642578125
2021-06-03,7.335696220397949
2021-06-04,7.50072717666626
