Date,NOV
2015-12-30,29.654346466064453
2015-12-31,29.434621810913086
2016-01-04,30.41899299621582
2016-01-05,29.548873901367188
2016-01-06,27.544965744018555
2016-01-07,27.01762580871582
2016-01-08,26.314502716064453
2016-01-11,26.323284149169922
2016-01-12,26.745168685913086
2016-01-13,25.558631896972656
2016-01-14,26.815471649169922
2016-01-15,26.323284149169922
2016-01-19,25.954145431518555
2016-01-20,26.121135711669922
2016-01-21,26.956098556518555
2016-01-22,27.44828987121582
2016-01-25,26.09477424621582
2016-01-26,26.745168685913086
2016-01-27,27.334030151367188
2016-01-28,27.298873901367188
2016-01-29,28.599660873413086
2016-02-01,28.11626625061035
2016-02-02,26.956098556518555
2016-02-03,24.609416961669922
2016-02-04,25.11918067932129
2016-02-05,25.022504806518555
2016-02-08,24.960981369018555
2016-02-09,24.22269630432129
2016-02-10,23.458051681518555
2016-02-11,23.15043067932129
2016-02-12,24.21390724182129
2016-02-16,24.662155151367188
2016-02-17,25.585004806518555
2016-02-18,25.795936584472656
2016-02-19,25.751998901367188
2016-02-22,25.839885711669922
2016-02-23,25.18070411682129
2016-02-24,24.820358276367188
2016-02-25,24.310585021972656
2016-02-26,25.321331024169922
2016-02-29,25.72563362121582
2016-03-01,25.936567306518555
2016-03-02,26.806686401367188
2016-03-03,27.914113998413086
2016-03-04,28.564498901367188
2016-03-07,30.700252532958984
2016-03-08,27.685592651367188
2016-03-09,27.98885154724121
2016-03-10,28.095884323120117
2016-03-11,29.78163719177246
2016-03-14,29.82624053955078
2016-03-15,29.531892776489258
2016-03-16,29.487295150756836
2016-03-17,30.316797256469727
2016-03-18,29.059173583984375
2016-03-21,29.050256729125977
2016-03-22,28.55968475341797
2016-03-23,27.98885154724121
2016-03-24,27.783710479736328
2016-03-28,28.086963653564453
2016-03-29,27.935335159301758
2016-03-30,27.739110946655273
2016-03-31,27.739110946655273
2016-04-01,26.338781356811523
2016-04-04,26.39229393005371
2016-04-05,25.892805099487305
2016-04-06,26.06227684020996
2016-04-07,25.482521057128906
2016-04-08,25.96417236328125
2016-04-11,24.36760139465332
2016-04-12,24.822490692138672
2016-04-13,26.053359985351562
2016-04-14,25.696584701538086
2016-04-15,24.688703536987305
2016-04-18,25.20602035522461
2016-04-19,26.06227684020996
2016-04-20,25.598472595214844
2016-04-21,25.46468162536621
2016-04-22,26.10687255859375
2016-04-25,26.151466369628906
2016-04-26,26.19606590270996
2016-04-27,28.274274826049805
2016-04-28,29.522974014282227
2016-04-29,32.145267486572266
2016-05-02,31.012510299682617
2016-05-03,31.057096481323242
2016-05-04,29.852981567382812
2016-05-05,29.69244384765625
2016-05-06,29.844078063964844
2016-05-09,28.024532318115234
2016-05-10,28.327791213989258
2016-05-11,28.862947463989258
2016-05-12,28.497255325317383
2016-05-13,27.792627334594727
2016-05-16,28.755918502807617
2016-05-17,29.273237228393555
2016-05-18,28.051286697387695
2016-05-19,27.730186462402344
2016-05-20,28.39022445678711
2016-05-23,28.14940071105957
2016-05-24,28.086963653564453
2016-05-25,29.139442443847656
2016-05-26,29.059173583984375
2016-05-27,29.0948486328125
2016-05-31,29.389188766479492
2016-06-01,28.631040573120117
2016-06-02,28.541852951049805
2016-06-03,28.62212371826172
2016-06-06,31.10169792175293
2016-06-07,32.33256530761719
2016-06-08,33.029239654541016
2016-06-09,32.457611083984375
2016-06-10,31.28754997253418
2016-06-13,30.894561767578125
2016-06-14,30.49264144897461
2016-06-15,30.25148582458496
2016-06-16,30.233619689941406
2016-06-17,31.421537399291992
2016-06-20,31.403675079345703
2016-06-21,31.84133529663086
2016-06-22,31.743072509765625
2016-06-23,32.600521087646484
2016-06-24,30.42119789123535
2016-06-27,28.232940673828125
2016-06-28,28.572338104248047
2016-06-29,29.41191291809082
2016-06-30,30.054990768432617
2016-07-01,30.76059913635254
2016-07-05,28.706310272216797
2016-07-06,28.098962783813477
2016-07-07,28.304391860961914
2016-07-08,29.10824203491211
2016-07-11,28.750974655151367
2016-07-12,30.385475158691406
2016-07-13,29.8138370513916
2016-07-14,30.135379791259766
2016-07-15,30.135379791259766
2016-07-18,29.724525451660156
2016-07-19,29.51015853881836
2016-07-20,29.429780960083008
2016-07-21,29.349401473999023
2016-07-22,28.8045654296875
2016-07-25,27.92926025390625
2016-07-26,28.45623207092285
2016-07-27,27.92926025390625
2016-07-28,28.617006301879883
2016-07-29,28.893878936767578
2016-08-01,28.081100463867188
2016-08-02,28.500883102416992
2016-08-03,29.170759201049805
2016-08-04,29.081445693969727
2016-08-05,29.78704833984375
2016-08-08,30.72486686706543
2016-08-09,30.52837371826172
2016-08-10,29.76024627685547
2016-08-11,30.072856903076172
2016-08-12,30.197891235351562
2016-08-15,31.126798629760742
2016-08-16,31.233978271484375
2016-08-17,31.341156005859375
2016-08-18,32.234317779541016
2016-08-19,31.92170524597168
2016-08-22,31.421537399291992
2016-08-23,31.609107971191406
2016-08-24,31.305423736572266
2016-08-25,31.439403533935547
2016-08-26,30.849918365478516
2016-08-29,30.769529342651367
2016-08-30,30.2425537109375
2016-08-31,29.956743240356445
2016-09-01,29.51015853881836
2016-09-02,29.912090301513672
2016-09-06,30.617691040039062
2016-09-07,30.394397735595703
2016-09-08,31.385812759399414
2016-09-09,29.608413696289062
2016-09-12,30.430126190185547
2016-09-13,29.554826736450195
2016-09-14,28.901826858520508
2016-09-15,29.420637130737305
2016-09-16,29.393815994262695
2016-09-19,28.946552276611328
2016-09-20,28.54401397705078
2016-09-21,30.136260986328125
2016-09-22,30.753467559814453
2016-09-23,30.31515884399414
2016-09-26,30.31515884399414
2016-09-27,29.912635803222656
2016-09-28,32.44411087036133
2016-09-29,32.97187805175781
2016-09-30,32.86452865600586
2016-10-03,32.34571838378906
2016-10-04,31.916351318359375
2016-10-05,32.98082733154297
2016-10-06,33.10604476928711
2016-10-07,32.95398712158203
2016-10-10,33.633811950683594
2016-10-11,33.06132125854492
2016-10-12,32.27415466308594
2016-10-13,32.461997985839844
2016-10-14,32.32782745361328
2016-10-17,32.30099105834961
2016-10-18,32.792964935302734
2016-10-19,33.0792236328125
2016-10-20,33.26707077026367
2016-10-21,33.07026672363281
2016-10-24,32.88243865966797
2016-10-25,32.34571838378906
2016-10-26,32.70352554321289
2016-10-27,30.145204544067383
2016-10-28,29.456422805786133
2016-10-31,28.713973999023438
2016-11-01,28.56191062927246
2016-11-02,28.114652633666992
2016-11-03,28.955495834350586
2016-11-04,28.517183303833008
2016-11-07,28.83921241760254
2016-11-08,28.54401397705078
2016-11-09,29.47431755065918
2016-11-10,30.04680633544922
2016-11-11,29.82317352294922
2016-11-14,31.218626022338867
2016-11-15,32.23837661743164
2016-11-16,31.53169822692871
2016-11-17,31.58537483215332
2016-11-18,31.49592399597168
2016-11-21,32.59617614746094
2016-11-22,32.51567077636719
2016-11-23,32.51567077636719
2016-11-25,32.1489143371582
2016-11-28,31.782169342041016
2016-11-29,30.950258255004883
2016-11-30,33.46750259399414
2016-12-01,33.67353439331055
2016-12-02,33.94227600097656
2016-12-05,34.757469177246094
2016-12-06,35.268070220947266
2016-12-07,35.27703094482422
2016-12-08,35.72494125366211
2016-12-09,35.63536834716797
2016-12-12,35.85036087036133
2016-12-13,36.11909866333008
2016-12-14,35.366615295410156
2016-12-15,35.56370162963867
2016-12-16,34.68579864501953
2016-12-19,34.47976303100586
2016-12-20,34.757469177246094
2016-12-21,34.8022575378418
2016-12-22,34.847049713134766
2016-12-23,34.38124084472656
2016-12-27,34.864967346191406
2016-12-28,34.0049934387207
2016-12-29,33.88852310180664
2016-12-30,33.539161682128906
2017-01-03,33.87061309814453
2017-01-04,34.51559066772461
2017-01-05,34.641014099121094
2017-01-06,34.92767333984375
2017-01-09,34.103519439697266
2017-01-10,33.82582473754883
2017-01-11,34.51559066772461
2017-01-12,34.18415069580078
2017-01-13,33.50333023071289
2017-01-17,33.74519729614258
2017-01-18,33.5212516784668
2017-01-19,33.951236724853516
2017-01-20,35.0082893371582
2017-01-23,34.426002502441406
2017-01-24,34.97245407104492
2017-01-25,35.58160400390625
2017-01-26,35.16058349609375
2017-01-27,34.8201789855957
2017-01-30,33.6377067565918
2017-01-31,33.87061309814453
2017-02-01,34.53352355957031
2017-02-02,33.86166000366211
2017-02-03,34.55143356323242
2017-02-06,33.55708694458008
2017-02-07,35.19641876220703
2017-02-08,35.124759674072266
2017-02-09,34.92767333984375
2017-02-10,35.3128547668457
2017-02-13,35.47411346435547
2017-02-14,36.42367172241211
2017-02-15,36.20867156982422
2017-02-16,36.04743957519531
2017-02-17,35.21433639526367
2017-02-21,35.438297271728516
2017-02-22,34.81121826171875
2017-02-23,35.572654724121094
2017-02-24,35.64432144165039
2017-02-27,36.81782913208008
2017-02-28,36.20867156982422
2017-03-01,37.39115524291992
2017-03-02,36.09223175048828
2017-03-03,36.1728515625
2017-03-06,35.71599197387695
2017-03-07,35.20536804199219
2017-03-08,33.98706817626953
2017-03-09,33.76311492919922
2017-03-10,33.897483825683594
2017-03-13,34.13040542602539
2017-03-14,33.82582473754883
2017-03-15,35.09956741333008
2017-03-16,35.117496490478516
2017-03-17,35.26102066040039
2017-03-20,35.171321868896484
2017-03-21,34.911197662353516
2017-03-22,34.72282028198242
2017-03-23,34.45371627807617
2017-03-24,34.49856948852539
2017-03-27,34.46268844604492
2017-03-28,35.25204849243164
2017-03-29,36.1849250793457
2017-03-30,35.94274139404297
2017-03-31,35.960689544677734
2017-04-03,35.59292221069336
2017-04-04,35.440406799316406
2017-04-05,35.045753479003906
2017-04-06,35.34175109863281
2017-04-07,34.88426971435547
2017-04-10,35.1264762878418
2017-04-11,34.74075698852539
2017-04-12,33.88861083984375
2017-04-13,33.8258171081543
2017-04-17,33.69127655029297
2017-04-18,33.09925079345703
2017-04-19,32.13945770263672
2017-04-20,31.960063934326172
2017-04-21,31.081008911132812
2017-04-24,31.780670166015625
2017-04-25,32.13051223754883
2017-04-26,32.426513671875
2017-04-27,31.377012252807617
2017-04-28,31.368059158325195
2017-05-01,30.73118019104004
2017-05-02,30.219886779785156
2017-05-03,30.372379302978516
2017-05-04,29.82520866394043
2017-05-05,30.811914443969727
2017-05-08,30.533842086791992
2017-05-09,30.28268051147461
2017-05-10,30.569711685180664
2017-05-11,30.318553924560547
2017-05-12,30.309593200683594
2017-05-15,30.417224884033203
2017-05-16,30.569711685180664
2017-05-17,29.941818237304688
2017-05-18,30.515897750854492
2017-05-19,31.224519729614258
2017-05-22,31.350107192993164
2017-05-23,31.39496612548828
2017-05-24,30.910579681396484
2017-05-25,29.242158889770508
2017-05-26,29.3946475982666
2017-05-30,29.242158889770508
2017-05-31,29.304946899414062
2017-06-01,29.278038024902344
2017-06-02,29.502283096313477
2017-06-05,29.53816795349121
2017-06-06,29.699628829956055
2017-06-07,29.18834114074707
2017-06-08,29.233190536499023
2017-06-09,30.686321258544922
2017-06-12,30.776023864746094
2017-06-13,30.955427169799805
2017-06-14,29.437297821044922
