Date,CTSH
2017-06-30,58.705787658691406
2017-07-03,58.971012115478516
2017-07-05,59.138999938964844
2017-07-06,58.60853958129883
2017-07-07,59.20088577270508
2017-07-10,59.483802795410156
2017-07-11,59.766719818115234
2017-07-12,60.235328674316406
2017-07-13,60.03196334838867
2017-07-14,60.85419845581055
2017-07-17,60.90724182128906
2017-07-18,60.818824768066406
2017-07-19,61.44654846191406
2017-07-20,61.853267669677734
2017-07-21,61.87093734741211
2017-07-24,61.853267669677734
2017-07-25,61.86209487915039
2017-07-26,61.932823181152344
2017-07-27,61.64106369018555
2017-07-28,61.28740692138672
2017-07-31,61.28740692138672
2017-08-01,61.45539855957031
2017-08-02,60.580116271972656
2017-08-03,61.84441375732422
2017-08-04,62.9318733215332
2017-08-07,61.52613830566406
2017-08-08,62.13617706298828
2017-08-09,62.781585693359375
2017-08-10,61.89748764038086
2017-08-11,62.42791748046875
2017-08-14,63.51538848876953
2017-08-15,63.3651123046875
2017-08-16,63.70992660522461
2017-08-17,62.23343276977539
2017-08-18,62.08280563354492
2017-08-21,61.59551239013672
2017-08-22,62.15367126464844
2017-08-23,62.038509368896484
2017-08-24,61.861297607421875
2017-08-25,61.82584762573242
2017-08-28,61.98535919189453
2017-08-29,61.71068572998047
2017-08-30,61.72840118408203
2017-08-31,62.70301055908203
2017-09-01,62.75619125366211
2017-09-05,62.49922561645508
2017-09-06,62.84477996826172
2017-09-07,63.278926849365234
2017-09-08,62.99540328979492
2017-09-11,63.95227813720703
2017-09-12,64.53704833984375
2017-09-13,64.03201293945312
2017-09-14,63.56245803833008
2017-09-15,63.63334655761719
2017-09-18,63.82826232910156
2017-09-19,64.2358169555664
2017-09-20,64.20037841796875
2017-09-21,63.66877746582031
2017-09-22,63.845977783203125
2017-09-25,63.518157958984375
2017-09-26,63.45613098144531
2017-09-27,63.713096618652344
2017-09-28,63.9168586730957
2017-09-29,64.27125549316406
2017-10-02,64.1915054321289
2017-10-03,64.28010559082031
2017-10-04,64.36872100830078
2017-10-05,64.85601043701172
2017-10-06,65.38764190673828
2017-10-09,65.25473022460938
2017-10-10,65.56483459472656
2017-10-11,65.21041107177734
2017-10-12,65.64459228515625
2017-10-13,65.90150451660156
2017-10-16,65.7154312133789
2017-10-17,65.53826141357422
2017-10-18,65.51168060302734
2017-10-19,65.80404663085938
2017-10-20,66.27363586425781
2017-10-23,65.91922760009766
2017-10-24,66.17618560791016
2017-10-25,65.78632354736328
2017-10-26,66.0787353515625
2017-10-27,66.79638671875
2017-10-30,66.90270233154297
2017-10-31,67.04447174072266
2017-11-01,65.15726470947266
2017-11-02,65.88379669189453
2017-11-03,65.80404663085938
2017-11-06,66.25593566894531
2017-11-07,66.1407241821289
2017-11-08,65.90150451660156
2017-11-09,65.51168060302734
2017-11-10,65.79520416259766
2017-11-13,66.06099700927734
2017-11-14,66.42427062988281
2017-11-15,65.64459228515625
2017-11-16,66.78752136230469
2017-11-17,64.72789001464844
2017-11-20,63.831233978271484
2017-11-21,63.715797424316406
2017-11-22,63.66254806518555
2017-11-24,64.15969848632812
2017-11-27,64.27510833740234
2017-11-28,64.69237518310547
2017-11-29,64.01764678955078
2017-11-30,64.16857147216797
2017-12-01,63.3517951965332
2017-12-04,62.428531646728516
2017-12-05,62.52618408203125
2017-12-06,63.47611618041992
2017-12-07,63.57377624511719
2017-12-08,63.76020050048828
2017-12-11,63.529380798339844
2017-12-12,63.43173599243164
2017-12-13,63.200904846191406
2017-12-14,63.7513313293457
2017-12-15,63.991031646728516
2017-12-18,63.80461120605469
2017-12-19,63.85786056518555
2017-12-20,64.55029296875
2017-12-21,64.27510833740234
2017-12-22,63.65367889404297
2017-12-26,63.245296478271484
2017-12-27,63.209800720214844
2017-12-28,63.37846755981445
2017-12-29,63.049991607666016
2018-01-02,62.98783493041992
2018-01-03,63.52048873901367
2018-01-04,64.523681640625
2018-01-05,65.07413482666016
2018-01-08,65.13626861572266
2018-01-09,65.21615600585938
2018-01-10,65.6689453125
2018-01-11,65.70441436767578
2018-01-12,66.19271087646484
2018-01-16,66.3436279296875
2018-01-17,67.32905578613281
2018-01-18,68.1369400024414
2018-01-19,68.61634063720703
2018-01-22,69.2111587524414
2018-01-23,69.47749328613281
2018-01-24,69.64616394042969
2018-01-25,69.2022705078125
2018-01-26,69.6283950805664
2018-01-29,69.37985229492188
2018-01-30,69.03359985351562
2018-01-31,69.22891998291016
2018-02-01,68.80277252197266
2018-02-02,67.22254180908203
2018-02-05,65.06523895263672
2018-02-06,65.6068115234375
2018-02-07,67.9327392578125
2018-02-08,66.72537231445312
2018-02-09,67.72856903076172
2018-02-12,68.7406234741211
2018-02-13,69.34432220458984
2018-02-14,70.86243438720703
2018-02-15,72.23844909667969
2018-02-16,71.8656005859375
2018-02-20,72.3893814086914
2018-02-21,72.79878234863281
2018-02-22,72.62970733642578
2018-02-23,73.44844055175781
