Date,WRK
2018-07-27,39.84000015258789
2018-07-30,39.84000015258789
2018-07-31,41.380001068115234
2018-08-01,41.380001068115234
2018-08-02,40.95000076293945
2018-08-03,40.95000076293945
2018-08-06,40.95000076293945
2018-08-07,40.95000076293945
2018-08-08,40.95000076293945
2018-08-09,42.060001373291016
2018-08-10,42.060001373291016
2018-08-13,42.060001373291016
2018-08-14,42.060001373291016
2018-08-15,39.779998779296875
2018-08-16,40.369998931884766
2018-08-17,40.369998931884766
2018-08-20,40.369998931884766
2018-08-21,40.369998931884766
2018-08-22,40.369998931884766
2018-08-23,41.9900016784668
2018-08-24,41.9900016784668
2018-08-27,41.9900016784668
2018-08-28,42.63999938964844
2018-08-29,42.63999938964844
2018-08-30,42.63999938964844
2018-08-31,42.63999938964844
2018-09-04,42.63999938964844
2018-09-05,42.63999938964844
2018-09-06,42.63999938964844
2018-09-07,42.63999938964844
2018-09-10,42.63999938964844
2018-09-11,42.63999938964844
2018-09-12,40.880001068115234
2018-09-13,40.880001068115234
2018-09-14,40.880001068115234
2018-09-17,40.880001068115234
2018-09-18,40.880001068115234
2018-09-19,40.880001068115234
2018-09-20,40.880001068115234
2018-09-21,40.880001068115234
2018-09-24,40.880001068115234
2018-09-25,40.880001068115234
2018-09-26,40.880001068115234
2018-09-27,40.880001068115234
2018-09-28,40.880001068115234
2018-10-01,40.880001068115234
2018-10-02,40.880001068115234
2018-10-03,40.880001068115234
2018-10-04,37.58000183105469
2018-10-05,37.58000183105469
2018-10-08,37.33000183105469
2018-10-09,37.33000183105469
2018-10-10,37.33000183105469
2018-10-11,33.29999923706055
2018-10-12,33.29999923706055
2018-10-15,33.29999923706055
2018-10-16,33.29999923706055
2018-10-17,34.04999923706055
2018-10-18,34.04999923706055
2018-10-19,34.04999923706055
2018-10-22,34.04999923706055
2018-10-23,34.04999923706055
2018-10-24,31.670000076293945
2018-10-25,32.209999084472656
2018-10-26,32.209999084472656
2018-10-29,32.58000183105469
2018-10-30,31.920000076293945
2018-10-31,31.920000076293945
2018-11-01,31.920000076293945
2018-11-02,31.920000076293945
2018-11-05,31.920000076293945
2018-11-06,31.920000076293945
2018-11-07,32.790000915527344
2018-11-08,32.790000915527344
2018-11-09,32.790000915527344
2018-11-12,29.610000610351562
2018-11-13,29.610000610351562
