Date,CRWD
2024-06-25,386.760009765625
2024-06-26,380.3699951171875
2024-06-27,387.2900085449219
2024-06-28,383.19000244140625
2024-07-01,392.1499938964844
2024-07-02,385.04998779296875
2024-07-03,387.17999267578125
2024-07-05,389.67999267578125
2024-07-08,390.7099914550781
2024-07-09,385.8800048828125
2024-07-10,374.45001220703125
2024-07-11,370.42999267578125
2024-07-12,371.32000732421875
2024-07-15,377.3699951171875
2024-07-16,369.04998779296875
2024-07-17,354.94000244140625
2024-07-18,343.04998779296875
2024-07-19,304.9599914550781
2024-07-22,263.9100036621094
2024-07-23,268.8800048828125
2024-07-24,258.1400146484375
2024-07-25,254.14999389648438
2024-07-26,256.1600036621094
2024-07-29,258.80999755859375
2024-07-30,233.64999389648438
2024-07-31,231.9600067138672
2024-08-01,224.22000122070312
2024-08-02,217.88999938964844
2024-08-05,222.0500030517578
2024-08-06,231.69000244140625
2024-08-07,230.6699981689453
2024-08-08,240.52000427246094
2024-08-09,240.89999389648438
2024-08-12,239.33999633789062
2024-08-13,248.11000061035156
2024-08-14,256.2200012207031
2024-08-15,260.489990234375
2024-08-16,262.5400085449219
2024-08-19,266.7799987792969
2024-08-20,266.5299987792969
2024-08-21,273.2099914550781
2024-08-22,267.6400146484375
2024-08-23,271.5400085449219
2024-08-26,265.8699951171875
2024-08-27,269.8299865722656
2024-08-28,264.20001220703125
2024-08-29,271.6700134277344
2024-08-30,277.2799987792969
2024-09-03,266.6000061035156
2024-09-04,259.32000732421875
2024-09-05,256.42999267578125
2024-09-06,246.38999938964844
2024-09-09,246.5800018310547
2024-09-10,247.74000549316406
2024-09-11,253.52999877929688
2024-09-12,257.1000061035156
2024-09-13,259.1300048828125
2024-09-16,267.80999755859375
2024-09-17,268.7200012207031
2024-09-18,267.1199951171875
2024-09-19,277.3800048828125
2024-09-20,299.8500061035156
2024-09-23,293.1400146484375
2024-09-24,288.5400085449219
2024-09-25,286.4700012207031
2024-09-26,281.4800109863281
2024-09-27,285.8599853515625
2024-09-30,280.4700012207031
2024-10-01,275.1499938964844
2024-10-02,280.239990234375
2024-10-03,283.75
2024-10-04,292.239990234375
2024-10-07,286.9700012207031
2024-10-08,293.010009765625
2024-10-09,298.3399963378906
2024-10-10,314.9200134277344
2024-10-11,320.2099914550781
2024-10-14,310.5199890136719
2024-10-15,302.30999755859375
2024-10-16,306.239990234375
2024-10-17,310.3399963378906
2024-10-18,310.1499938964844
