Date,AAP
2018-07-26,124.17070770263672
2018-07-27,122.48046112060547
2018-07-30,123.20732879638672
2018-07-31,123.68904113769531
2018-08-01,122.39286041259766
2018-08-02,125.46694946289062
2018-08-03,126.71054077148438
2018-08-06,127.07839965820312
2018-08-07,127.13095092773438
2018-08-08,128.2256622314453
2018-08-09,129.4342498779297
2018-08-10,128.17315673828125
2018-08-13,126.8506851196289
2018-08-14,136.7384490966797
2018-08-15,138.40243530273438
2018-08-16,139.68112182617188
2018-08-17,139.88258361816406
2018-08-20,140.86341857910156
2018-08-21,140.25912475585938
2018-08-22,140.76712036132812
2018-08-23,142.98289489746094
2018-08-24,143.94625854492188
2018-08-27,141.86184692382812
2018-08-28,141.96694946289062
2018-08-29,143.24563598632812
2018-08-30,141.7042236328125
2018-08-31,143.65724182128906
2018-09-04,148.43038940429688
2018-09-05,146.2583770751953
2018-09-06,146.45103454589844
2018-09-07,146.50363159179688
2018-09-10,146.19700622558594
2018-09-11,146.46861267089844
2018-09-12,146.34596252441406
2018-09-13,146.02188110351562
2018-09-14,144.90089416503906
2018-09-17,143.193115234375
2018-09-18,146.82762145996094
2018-09-19,148.53543090820312
2018-09-20,148.54417419433594
2018-09-21,147.57168579101562
2018-09-24,146.87957763671875
2018-09-25,146.59048461914062
2018-09-26,148.3514404296875
2018-09-27,148.75445556640625
2018-09-28,147.475341796875
2018-10-01,148.5880126953125
2018-10-02,147.53663635253906
2018-10-03,146.83578491210938
2018-10-04,145.17996215820312
2018-10-05,145.28509521484375
2018-10-08,147.50161743164062
2018-10-09,147.9659423828125
2018-10-10,142.9546356201172
2018-10-11,141.08851623535156
2018-10-12,144.66297912597656
2018-10-15,146.24874877929688
2018-10-16,147.5103759765625
2018-10-17,139.8094024658203
2018-10-18,142.0960235595703
2018-10-19,143.9708709716797
2018-10-22,144.35641479492188
2018-10-23,143.65553283691406
2018-10-24,139.45896911621094
2018-10-25,142.9546356201172
2018-10-26,144.16366577148438
2018-10-29,144.44400024414062
2018-10-30,144.53158569335938
