Date,CAH
2019-06-03,42.91999816894531
2019-06-04,43.95000076293945
2019-06-05,43.29999923706055
2019-06-06,42.790000915527344
2019-06-07,43.849998474121094
2019-06-10,44.0
2019-06-11,44.63999938964844
2019-06-12,44.220001220703125
2019-06-13,45.27000045776367
2019-06-14,44.15999984741211
2019-06-17,44.459999084472656
2019-06-18,44.540000915527344
2019-06-19,45.040000915527344
2019-06-20,44.77000045776367
2019-06-21,44.70000076293945
2019-06-24,45.0099983215332
2019-06-25,45.75
2019-06-26,45.630001068115234
2019-06-27,46.61000061035156
2019-06-28,47.099998474121094
2019-07-01,47.560001373291016
2019-07-02,47.16999816894531
2019-07-03,48.0
2019-07-05,48.22999954223633
2019-07-08,47.4900016784668
2019-07-09,47.20000076293945
2019-07-10,47.459999084472656
2019-07-11,48.2599983215332
2019-07-12,47.59000015258789
2019-07-15,47.5
2019-07-16,46.790000915527344
2019-07-17,45.06999969482422
2019-07-18,45.189998626708984
2019-07-19,44.9900016784668
2019-07-22,44.529998779296875
2019-07-23,44.400001525878906
2019-07-24,44.75
2019-07-25,44.90999984741211
2019-07-26,45.119998931884766
2019-07-29,45.810001373291016
2019-07-30,46.40999984741211
2019-07-31,45.72999954223633
2019-08-01,46.66999816894531
2019-08-02,46.11000061035156
2019-08-05,45.54999923706055
2019-08-06,42.91999816894531
2019-08-07,42.75
2019-08-08,43.88999938964844
2019-08-09,44.349998474121094
2019-08-12,43.779998779296875
2019-08-13,44.66999816894531
2019-08-14,42.40999984741211
2019-08-15,42.0
2019-08-16,43.189998626708984
2019-08-19,43.47999954223633
2019-08-20,43.7599983215332
2019-08-21,43.56999969482422
2019-08-22,43.7599983215332
2019-08-23,42.790000915527344
2019-08-26,43.83000183105469
2019-08-27,41.93000030517578
2019-08-28,41.7400016784668
2019-08-29,42.27000045776367
2019-08-30,43.130001068115234
2019-09-03,43.29999923706055
2019-09-04,44.349998474121094
2019-09-05,44.380001068115234
2019-09-06,45.43000030517578
2019-09-09,46.81999969482422
2019-09-10,47.95000076293945
2019-09-11,48.880001068115234
2019-09-12,48.47999954223633
2019-09-13,48.220001220703125
2019-09-16,48.90999984741211
2019-09-17,48.2599983215332
2019-09-18,47.880001068115234
2019-09-19,48.02000045776367
2019-09-20,47.88999938964844
2019-09-23,47.16999816894531
2019-09-24,47.060001373291016
2019-09-25,47.66999816894531
2019-09-26,47.29999923706055
2019-09-27,47.56999969482422
2019-09-30,47.189998626708984
2019-10-01,47.279998779296875
2019-10-02,45.7599983215332
2019-10-03,45.810001373291016
2019-10-04,46.06999969482422
2019-10-07,45.599998474121094
2019-10-08,44.959999084472656
2019-10-09,45.29999923706055
2019-10-10,46.04999923706055
2019-10-11,46.91999816894531
2019-10-14,46.779998779296875
2019-10-15,47.900001525878906
2019-10-16,49.06999969482422
2019-10-17,51.209999084472656
2019-10-18,51.540000915527344
2019-10-21,50.40999984741211
2019-10-22,50.7400016784668
2019-10-23,50.02000045776367
2019-10-24,49.689998626708984
2019-10-25,50.04999923706055
2019-10-28,50.279998779296875
2019-10-29,51.22999954223633
2019-10-30,50.15999984741211
2019-10-31,49.45000076293945
2019-11-01,50.439998626708984
2019-11-04,51.7400016784668
2019-11-05,51.5
2019-11-06,51.43000030517578
2019-11-07,53.20000076293945
2019-11-08,53.75
2019-11-11,53.68000030517578
2019-11-12,54.029998779296875
2019-11-13,54.790000915527344
2019-11-14,54.75
2019-11-15,56.2400016784668
2019-11-18,56.0099983215332
2019-11-19,55.68000030517578
2019-11-20,55.40999984741211
2019-11-21,55.16999816894531
2019-11-22,55.689998626708984
2019-11-25,56.349998474121094
2019-11-26,54.209999084472656
2019-11-27,55.220001220703125
2019-11-29,55.029998779296875
2019-12-02,54.63999938964844
2019-12-03,54.529998779296875
2019-12-04,54.779998779296875
2019-12-05,54.25
2019-12-06,54.869998931884766
2019-12-09,54.34000015258789
2019-12-10,53.81999969482422
2019-12-11,54.279998779296875
2019-12-12,54.65999984741211
2019-12-13,53.65999984741211
2019-12-16,53.70000076293945
2019-12-17,51.56999969482422
2019-12-18,51.099998474121094
2019-12-19,50.61000061035156
2019-12-20,51.79999923706055
2019-12-23,51.130001068115234
2019-12-24,51.290000915527344
2019-12-26,51.16999816894531
2019-12-27,51.5
2019-12-30,50.77000045776367
2019-12-31,50.58000183105469
2020-01-02,50.09000015258789
2020-01-03,49.36000061035156
2020-01-06,49.77000045776367
2020-01-07,49.790000915527344
2020-01-08,50.060001373291016
2020-01-09,50.29999923706055
2020-01-10,50.630001068115234
2020-01-13,50.439998626708984
2020-01-14,52.45000076293945
2020-01-15,53.810001373291016
2020-01-16,54.41999816894531
2020-01-17,53.93000030517578
2020-01-21,54.0099983215332
2020-01-22,55.31999969482422
2020-01-23,54.869998931884766
2020-01-24,53.81999969482422
2020-01-27,53.380001068115234
2020-01-28,53.79999923706055
2020-01-29,53.7400016784668
2020-01-30,53.290000915527344
2020-01-31,51.209999084472656
2020-02-03,51.2599983215332
2020-02-04,51.59000015258789
2020-02-05,52.68000030517578
2020-02-06,58.2599983215332
2020-02-07,58.2400016784668
2020-02-10,59.189998626708984
2020-02-11,59.40999984741211
2020-02-12,60.130001068115234
2020-02-13,59.400001525878906
2020-02-14,59.619998931884766
2020-02-18,59.0099983215332
2020-02-19,59.349998474121094
2020-02-20,60.41999816894531
2020-02-21,59.720001220703125
2020-02-24,58.13999938964844
2020-02-25,55.439998626708984
2020-02-26,55.0099983215332
2020-02-27,52.25
2020-02-28,52.119998931884766
2020-03-02,54.02000045776367
2020-03-03,52.959999084472656
2020-03-04,54.630001068115234
2020-03-05,52.47999954223633
2020-03-06,51.27000045776367
2020-03-09,47.93000030517578
2020-03-10,49.709999084472656
2020-03-11,48.650001525878906
2020-03-12,42.38999938964844
2020-03-13,47.619998931884766
2020-03-16,44.220001220703125
2020-03-17,47.7599983215332
2020-03-18,45.70000076293945
2020-03-19,43.790000915527344
2020-03-20,43.33000183105469
2020-03-23,41.0
2020-03-24,43.540000915527344
2020-03-25,42.25
2020-03-26,45.400001525878906
2020-03-27,44.380001068115234
2020-03-30,48.439998626708984
2020-03-31,47.939998626708984
2020-04-01,47.709999084472656
2020-04-02,46.41999816894531
2020-04-03,46.61000061035156
2020-04-06,49.349998474121094
2020-04-07,47.880001068115234
2020-04-08,49.400001525878906
