Date,AYI
2016-04-20,257.57000732421875
2016-04-21,255.60000610351562
2016-04-22,256.0299987792969
2016-04-25,252.89999389648438
2016-04-26,256.4800109863281
2016-04-27,254.6699981689453
2016-04-28,246.27000427246094
2016-04-29,243.88999938964844
2016-05-02,245.19000244140625
2016-05-03,242.3000030517578
2016-05-04,242.17999267578125
2016-05-05,243.9499969482422
2016-05-06,245.50999450683594
2016-05-09,248.80999755859375
2016-05-10,252.36000061035156
2016-05-11,251.92999267578125
2016-05-12,252.0500030517578
2016-05-13,247.33999633789062
2016-05-16,251.52000427246094
2016-05-17,247.6199951171875
2016-05-18,248.3699951171875
2016-05-19,245.89999389648438
2016-05-20,250.83999633789062
2016-05-23,250.94000244140625
2016-05-24,256.17999267578125
2016-05-25,255.8000030517578
2016-05-26,255.1300048828125
2016-05-27,256.2099914550781
2016-05-31,259.0400085449219
2016-06-01,255.13999938964844
2016-06-02,255.52999877929688
2016-06-03,254.69000244140625
2016-06-06,252.0500030517578
2016-06-07,258.1400146484375
2016-06-08,259.45001220703125
2016-06-09,258.3999938964844
2016-06-10,251.58999633789062
2016-06-13,251.02999877929688
2016-06-14,247.07000732421875
2016-06-15,249.47000122070312
2016-06-16,247.42999267578125
2016-06-17,244.5800018310547
2016-06-20,249.22999572753906
2016-06-21,250.2100067138672
2016-06-22,249.91000366210938
2016-06-23,254.88999938964844
2016-06-24,246.6699981689453
2016-06-27,232.9199981689453
2016-06-28,244.66000366210938
2016-06-29,246.61000061035156
2016-06-30,247.9600067138672
2016-07-01,250.25
2016-07-05,246.99000549316406
2016-07-06,251.24000549316406
2016-07-07,253.6300048828125
2016-07-08,264.6199951171875
2016-07-11,268.0199890136719
2016-07-12,267.7900085449219
2016-07-13,261.1600036621094
2016-07-14,265.2799987792969
2016-07-15,265.4200134277344
2016-07-18,263.69000244140625
2016-07-19,266.70001220703125
2016-07-20,267.82000732421875
2016-07-21,264.989990234375
2016-07-22,264.9599914550781
2016-07-25,262.19000244140625
2016-07-26,262.82000732421875
2016-07-27,261.510009765625
2016-07-28,263.6499938964844
2016-07-29,262.42999267578125
2016-08-01,262.0899963378906
2016-08-02,260.0199890136719
2016-08-03,264.5
2016-08-04,263.75
2016-08-05,267.69000244140625
2016-08-08,269.3599853515625
2016-08-09,270.0400085449219
2016-08-10,272.8399963378906
2016-08-11,275.1400146484375
2016-08-12,274.0799865722656
2016-08-15,276.0
2016-08-16,275.6600036621094
2016-08-17,275.2799987792969
2016-08-18,277.7900085449219
2016-08-19,277.55999755859375
2016-08-22,277.5400085449219
2016-08-23,279.1499938964844
2016-08-24,275.3299865722656
2016-08-25,273.7099914550781
2016-08-26,273.05999755859375
2016-08-29,274.7699890136719
2016-08-30,277.1199951171875
2016-08-31,275.1199951171875
2016-09-01,274.0799865722656
2016-09-02,274.0
2016-09-06,272.1000061035156
2016-09-07,270.5
2016-09-08,270.79998779296875
2016-09-09,261.3999938964844
2016-09-12,262.0199890136719
2016-09-13,259.4200134277344
2016-09-14,258.6700134277344
2016-09-15,264.3399963378906
2016-09-16,260.20001220703125
2016-09-19,262.7300109863281
2016-09-20,253.5800018310547
2016-09-21,258.9200134277344
2016-09-22,260.95001220703125
2016-09-23,259.75
2016-09-26,258.30999755859375
2016-09-27,262.07000732421875
2016-09-28,262.8399963378906
2016-09-29,260.4100036621094
2016-09-30,264.6000061035156
2016-10-03,263.5199890136719
