Date,RHI
2017-04-17,44.7599983215332
2017-04-18,44.90999984741211
2017-04-19,45.20000076293945
2017-04-20,45.90999984741211
2017-04-21,47.18000030517578
2017-04-24,47.63999938964844
2017-04-25,47.29999923706055
2017-04-26,47.06999969482422
2017-04-27,46.630001068115234
2017-04-28,46.04999923706055
2017-05-01,46.439998626708984
2017-05-02,47.33000183105469
2017-05-03,46.84000015258789
2017-05-04,46.810001373291016
2017-05-05,46.90999984741211
2017-05-08,47.27000045776367
2017-05-09,47.93000030517578
2017-05-10,48.400001525878906
2017-05-11,47.52000045776367
2017-05-12,47.2599983215332
2017-05-15,47.47999954223633
2017-05-16,47.54999923706055
2017-05-17,45.560001373291016
2017-05-18,46.06999969482422
2017-05-19,46.209999084472656
2017-05-22,46.52000045776367
2017-05-23,46.22999954223633
2017-05-24,45.81999969482422
2017-05-25,46.13999938964844
2017-05-26,45.900001525878906
2017-05-30,46.040000915527344
2017-05-31,46.4900016784668
2017-06-01,47.470001220703125
2017-06-02,47.34000015258789
2017-06-05,46.5099983215332
2017-06-06,46.290000915527344
2017-06-07,46.040000915527344
2017-06-08,46.65999984741211
2017-06-09,47.25
2017-06-12,47.0099983215332
2017-06-13,46.849998474121094
2017-06-14,47.86000061035156
2017-06-15,48.09000015258789
2017-06-16,47.75
2017-06-19,48.9900016784668
2017-06-20,48.36000061035156
2017-06-21,47.630001068115234
2017-06-22,47.43000030517578
2017-06-23,47.459999084472656
2017-06-26,47.689998626708984
2017-06-27,47.529998779296875
2017-06-28,48.119998931884766
2017-06-29,47.77000045776367
2017-06-30,47.93000030517578
2017-07-03,48.709999084472656
2017-07-05,48.7599983215332
2017-07-06,47.970001220703125
2017-07-07,49.16999816894531
2017-07-10,49.38999938964844
2017-07-11,48.40999984741211
2017-07-12,49.15999984741211
2017-07-13,48.95000076293945
2017-07-14,49.04999923706055
2017-07-17,48.599998474121094
2017-07-18,48.33000183105469
2017-07-19,48.45000076293945
2017-07-20,48.65999984741211
2017-07-21,48.41999816894531
2017-07-24,47.16999816894531
2017-07-25,47.79999923706055
2017-07-26,44.2400016784668
2017-07-27,43.81999969482422
2017-07-28,44.81999969482422
2017-07-31,45.25
2017-08-01,45.119998931884766
2017-08-02,44.5099983215332
2017-08-03,44.4900016784668
2017-08-04,44.220001220703125
2017-08-07,43.869998931884766
2017-08-08,44.2400016784668
2017-08-09,43.93000030517578
2017-08-10,43.41999816894531
2017-08-11,43.40999984741211
2017-08-14,43.97999954223633
2017-08-15,43.880001068115234
2017-08-16,43.84000015258789
2017-08-17,43.2400016784668
2017-08-18,43.33000183105469
2017-08-21,43.560001373291016
2017-08-22,44.06999969482422
2017-08-23,43.70000076293945
2017-08-24,43.720001220703125
2017-08-25,44.040000915527344
2017-08-28,44.099998474121094
2017-08-29,44.45000076293945
2017-08-30,44.25
2017-08-31,45.29999923706055
2017-09-01,45.279998779296875
2017-09-05,44.619998931884766
2017-09-06,44.38999938964844
2017-09-07,44.849998474121094
2017-09-08,45.4900016784668
2017-09-11,45.86000061035156
2017-09-12,46.45000076293945
2017-09-13,46.349998474121094
2017-09-14,46.189998626708984
2017-09-15,46.470001220703125
2017-09-18,46.91999816894531
2017-09-19,47.45000076293945
2017-09-20,47.93000030517578
2017-09-21,47.959999084472656
2017-09-22,48.599998474121094
2017-09-25,49.11000061035156
2017-09-26,49.099998474121094
2017-09-27,49.5
2017-09-28,50.40999984741211
2017-09-29,50.34000015258789
2017-10-02,51.15999984741211
2017-10-03,51.380001068115234
2017-10-04,51.459999084472656
2017-10-05,51.16999816894531
2017-10-06,51.13999938964844
2017-10-09,51.2599983215332
2017-10-10,51.369998931884766
2017-10-11,48.7400016784668
2017-10-12,48.900001525878906
2017-10-13,49.0099983215332
2017-10-16,49.04999923706055
2017-10-17,48.97999954223633
2017-10-18,50.06999969482422
2017-10-19,50.91999816894531
2017-10-20,51.650001525878906
2017-10-23,50.84000015258789
2017-10-24,50.86000061035156
2017-10-25,51.59000015258789
2017-10-26,53.2599983215332
2017-10-27,52.84000015258789
2017-10-30,51.0
2017-10-31,51.77000045776367
2017-11-01,51.54999923706055
2017-11-02,51.849998474121094
2017-11-03,52.34000015258789
2017-11-06,52.25
2017-11-07,52.43000030517578
2017-11-08,52.7400016784668
2017-11-09,52.54999923706055
2017-11-10,52.900001525878906
2017-11-13,53.529998779296875
2017-11-14,53.5099983215332
2017-11-15,53.43000030517578
2017-11-16,54.900001525878906
2017-11-17,54.900001525878906
2017-11-20,54.900001525878906
2017-11-21,55.11000061035156
2017-11-22,54.59000015258789
2017-11-24,54.689998626708984
2017-11-27,54.90999984741211
