Date,NUE
2019-05-07,56.18000030517578
2019-05-08,56.41999816894531
2019-05-09,56.560001373291016
2019-05-10,56.79999923706055
2019-05-13,54.689998626708984
2019-05-14,55.18000030517578
2019-05-15,54.869998931884766
2019-05-16,54.97999954223633
2019-05-17,53.290000915527344
2019-05-20,52.619998931884766
2019-05-21,53.68000030517578
2019-05-22,52.880001068115234
2019-05-23,51.38999938964844
2019-05-24,51.15999984741211
2019-05-28,51.0099983215332
2019-05-29,50.7599983215332
2019-05-30,49.279998779296875
2019-05-31,48.0
2019-06-03,49.779998779296875
2019-06-04,50.150001525878906
2019-06-05,50.59000015258789
2019-06-06,50.41999816894531
2019-06-07,50.84000015258789
2019-06-10,50.939998626708984
2019-06-11,51.7400016784668
2019-06-12,51.130001068115234
2019-06-13,52.13999938964844
2019-06-14,51.70000076293945
2019-06-17,50.75
2019-06-18,52.619998931884766
2019-06-19,54.25
2019-06-20,53.810001373291016
2019-06-21,53.939998626708984
2019-06-24,53.7400016784668
2019-06-25,54.290000915527344
2019-06-26,55.119998931884766
2019-06-27,54.56999969482422
2019-06-28,55.099998474121094
2019-07-01,55.66999816894531
2019-07-02,55.13999938964844
2019-07-03,55.290000915527344
2019-07-05,55.310001373291016
2019-07-08,54.54999923706055
2019-07-09,54.52000045776367
2019-07-10,54.16999816894531
2019-07-11,54.099998474121094
2019-07-12,55.16999816894531
2019-07-15,55.22999954223633
2019-07-16,55.560001373291016
2019-07-17,54.70000076293945
2019-07-18,54.689998626708984
2019-07-19,56.709999084472656
2019-07-22,56.27000045776367
2019-07-23,56.58000183105469
2019-07-24,56.58000183105469
2019-07-25,56.20000076293945
2019-07-26,56.15999984741211
2019-07-29,55.72999954223633
2019-07-30,56.25
2019-07-31,54.380001068115234
2019-08-01,53.060001373291016
2019-08-02,52.56999969482422
2019-08-05,50.75
2019-08-06,51.34000015258789
2019-08-07,51.25
2019-08-08,52.16999816894531
2019-08-09,51.060001373291016
2019-08-12,49.36000061035156
2019-08-13,50.16999816894531
2019-08-14,48.4900016784668
2019-08-15,47.709999084472656
2019-08-16,48.7599983215332
2019-08-19,49.90999984741211
2019-08-20,49.029998779296875
2019-08-21,49.189998626708984
2019-08-22,48.93000030517578
2019-08-23,46.95000076293945
2019-08-26,47.400001525878906
2019-08-27,46.61000061035156
2019-08-28,47.29999923706055
2019-08-29,48.810001373291016
2019-08-30,48.97999954223633
2019-09-03,48.560001373291016
2019-09-04,49.29999923706055
2019-09-05,50.349998474121094
2019-09-06,50.15999984741211
