Date,HRL
2015-12-31,30.172374725341797
2016-01-04,29.844255447387695
2016-01-05,30.45092010498047
2016-01-06,30.55394172668457
2016-01-07,30.00069808959961
2016-01-08,29.825178146362305
2016-01-11,29.775585174560547
2016-01-12,30.336458206176758
2016-01-13,29.928211212158203
2016-01-14,30.192447662353516
2016-01-15,29.15080451965332
2016-01-19,29.44951629638672
2016-01-20,28.93634796142578
2016-01-21,28.52274513244629
2016-01-22,29.097177505493164
2016-01-25,28.921024322509766
2016-01-26,29.422697067260742
2016-01-27,29.338438034057617
2016-01-28,29.99713897705078
2016-01-29,30.793685913085938
2016-02-01,31.41025161743164
2016-02-02,31.146011352539062
2016-02-03,30.606048583984375
2016-02-04,30.035436630249023
2016-02-05,30.23073959350586
2016-02-08,31.172828674316406
2016-02-09,31.73192596435547
2016-02-10,31.915767669677734
2016-02-11,31.931079864501953
2016-02-12,31.785558700561523
2016-02-16,34.03733825683594
2016-02-17,34.06032943725586
2016-02-18,32.85017776489258
2016-02-19,32.742950439453125
2016-02-22,32.95740509033203
2016-02-23,33.371002197265625
2016-02-24,33.47823715209961
2016-02-25,33.60077667236328
2016-02-26,32.91145324707031
2016-02-29,32.559120178222656
2016-03-01,32.949737548828125
2016-03-02,33.20250701904297
2016-03-03,33.76927947998047
2016-03-04,33.708003997802734
2016-03-07,33.27143478393555
2016-03-08,33.46290969848633
2016-03-09,33.63905715942383
2016-03-10,33.32503890991211
2016-03-11,33.378658294677734
2016-03-14,33.58544921875
2016-03-15,33.761627197265625
2016-03-16,34.022029876708984
2016-03-17,33.7386360168457
2016-03-18,33.470577239990234
2016-03-21,33.416954040527344
2016-03-22,33.348018646240234
2016-03-23,33.46290969848633
2016-03-24,33.1412239074707
2016-03-28,33.54715347290039
2016-03-29,34.00670623779297
2016-03-30,33.662044525146484
2016-03-31,33.118247985839844
2016-04-01,33.63142013549805
2016-04-04,33.35567855834961
2016-04-05,32.35232925415039
2016-04-06,32.9344367980957
2016-04-07,32.31403350830078
2016-04-08,32.03064727783203
2016-04-11,31.53279685974121
2016-04-12,31.157503128051758
2016-04-13,30.49881362915039
2016-04-14,30.172096252441406
2016-04-15,30.333532333374023
2016-04-18,30.287410736083984
2016-04-19,30.341224670410156
2016-04-20,29.664764404296875
2016-04-21,29.088207244873047
2016-04-22,28.949848175048828
2016-04-25,29.142024993896484
2016-04-26,29.39569854736328
2016-04-27,29.649375915527344
2016-04-28,29.77235984802246
2016-04-29,29.634010314941406
2016-05-02,29.75699806213379
2016-05-03,29.61863136291504
2016-05-04,29.77235984802246
2016-05-05,29.357263565063477
2016-05-06,29.634010314941406
2016-05-09,30.548786163330078
2016-05-10,30.74864387512207
2016-05-11,30.756330490112305
2016-05-12,30.91006851196289
2016-05-13,30.67177391052246
2016-05-16,30.93314552307129
2016-05-17,29.826171875
2016-05-18,27.27405548095703
2016-05-19,27.189483642578125
2016-05-20,26.797443389892578
2016-05-23,26.805131912231445
2016-05-24,26.751323699951172
2016-05-25,26.605260848999023
2016-05-26,26.828187942504883
2016-05-27,26.735952377319336
2016-05-31,26.451520919799805
2016-06-01,26.46689796447754
2016-06-02,26.35158920288086
2016-06-03,26.65138816833496
2016-06-06,26.144033432006836
2016-06-07,26.443836212158203
2016-06-08,26.551450729370117
