Date,GWW
2020-07-23,317.2186279296875
2020-07-24,319.7758483886719
2020-07-27,318.2771301269531
2020-07-28,312.5259094238281
2020-07-29,319.1856994628906
2020-07-30,318.2771301269531
2020-07-31,319.9068603515625
2020-08-03,320.3097229003906
2020-08-04,317.0875549316406
2020-08-05,322.6045837402344
2020-08-06,324.6466064453125
2020-08-07,328.7110290527344
2020-08-10,331.2419128417969
2020-08-11,332.0415344238281
2020-08-12,334.7606506347656
2020-08-13,331.2419128417969
2020-08-14,330.59271240234375
2020-08-17,331.0820007324219
2020-08-18,332.3520812988281
2020-08-19,330.0751953125
2020-08-20,333.2928771972656
2020-08-21,331.75
2020-08-24,328.5040588378906
2020-08-25,333.6974792480469
2020-08-26,340.10455322265625
2020-08-27,341.026611328125
2020-08-28,344.3289794921875
2020-08-31,343.8114929199219
2020-09-01,345.68377685546875
2020-09-02,348.5816345214844
2020-09-03,338.815673828125
2020-09-04,336.8963317871094
2020-09-08,329.4449157714844
2020-09-09,339.9070129394531
2020-09-10,330.5362548828125
2020-09-11,334.1678771972656
2020-09-14,333.3775634765625
2020-09-15,333.6692810058594
2020-09-16,335.6074523925781
2020-09-17,334.40313720703125
2020-09-18,330.3198547363281
2020-09-21,321.3630676269531
2020-09-22,323.3481750488281
2020-09-23,319.0297546386719
2020-09-24,322.2192687988281
2020-09-25,326.8481750488281
2020-09-28,332.74725341796875
2020-09-29,331.2512512207031
2020-09-30,335.663818359375
2020-10-01,336.8492736816406
2020-10-02,338.12884521484375
2020-10-05,349.2025146484375
2020-10-06,345.95660400390625
2020-10-07,354.13250732421875
2020-10-08,363.15521240234375
2020-10-09,362.6189270019531
2020-10-12,365.6672668457031
2020-10-13,361.4334716796875
2020-10-14,363.3904113769531
2020-10-15,362.8352966308594
2020-10-16,360.8501281738281
2020-10-19,352.5707702636719
2020-10-20,353.6056823730469
2020-10-21,351.34771728515625
2020-10-22,340.60333251953125
2020-10-23,339.6719055175781
2020-10-26,339.9070129394531
2020-10-27,336.482421875
2020-10-28,331.6935119628906
2020-10-29,329.3978271484375
2020-10-30,329.3131408691406
2020-11-02,341.7417297363281
2020-11-03,349.2590637207031
2020-11-04,352.54248046875
2020-11-05,356.42816162109375
2020-11-06,369.0110778808594
2020-11-09,366.73431396484375
2020-11-10,382.094482421875
2020-11-11,381.0648498535156
2020-11-12,376.1337890625
2020-11-13,380.9892578125
2020-11-16,391.58831787109375
2020-11-17,387.7435607910156
2020-11-18,392.041748046875
2020-11-19,399.4573059082031
2020-11-20,386.64776611328125
2020-11-23,391.89056396484375
2020-11-24,397.2751159667969
2020-11-25,391.6354675292969
2020-11-27,391.6354675292969
2020-11-30,395.14971923828125
2020-12-01,390.2752685546875
2020-12-02,384.7773132324219
2020-12-03,380.39410400390625
2020-12-04,382.3684387207031
2020-12-07,382.58563232421875
2020-12-08,384.1632995605469
2020-12-09,388.46142578125
2020-12-10,380.0540771484375
2020-12-11,381.1970520019531
2020-12-14,378.2970275878906
2020-12-15,383.1525573730469
2020-12-16,383.8893127441406
2020-12-17,387.34674072265625
2020-12-18,387.7435607910156
2020-12-21,388.9904479980469
2020-12-22,387.6206970214844
2020-12-23,387.93243408203125
2020-12-24,392.5707702636719
2020-12-28,391.3709716796875
2020-12-29,384.7395935058594
2020-12-30,384.3143615722656
2020-12-31,385.74090576171875
2021-01-04,371.92999267578125
2021-01-05,373.00689697265625
2021-01-06,375.1890563964844
2021-01-07,377.87188720703125
2021-01-08,374.7261962890625
2021-01-11,370.03125
2021-01-12,379.43060302734375
2021-01-13,366.98944091796875
2021-01-14,362.1811828613281
2021-01-15,367.1500244140625
2021-01-19,372.6573791503906
2021-01-20,371.2120666503906
2021-01-21,369.5022277832031
2021-01-22,371.71270751953125
2021-01-25,366.4698791503906
2021-01-26,355.8424987792969
2021-01-27,349.957275390625
2021-01-28,351.3270568847656
2021-01-29,344.22320556640625
2021-02-01,349.8250427246094
2021-02-02,352.4605712890625
2021-02-03,345.8480529785156
2021-02-04,351.4120178222656
2021-02-05,348.9742736816406
2021-02-08,359.322998046875
2021-02-09,355.4149169921875
2021-02-10,356.894775390625
2021-02-11,354.9028015136719
2021-02-12,352.9392395019531
2021-02-16,350.6342468261719
2021-02-17,353.0341796875
2021-02-18,356.45843505859375
2021-02-19,359.8827209472656
2021-02-22,357.9286193847656
2021-02-23,360.05340576171875
2021-02-24,365.7353210449219
2021-02-25,360.41387939453125
2021-02-26,353.53680419921875
2021-03-01,367.86956787109375
2021-03-02,365.82061767578125
2021-03-03,367.8221130371094
2021-03-04,359.4559020996094
2021-03-05,378.5788269042969
2021-03-08,377.98114013671875
2021-03-09,368.46722412109375
2021-03-10,375.54339599609375
2021-03-11,366.7786560058594
2021-03-12,374.6896667480469
2021-03-15,379.1763916015625
2021-03-16,369.4251403808594
2021-03-17,379.47039794921875
2021-03-18,383.7957458496094
2021-03-19,379.9352722167969
2021-03-22,379.1478576660156
2021-03-23,374.0257263183594
2021-03-24,375.0502014160156
2021-03-25,377.1369934082031
2021-03-26,378.8253173828125
2021-03-29,379.584228515625
2021-03-30,378.1614074707031
2021-03-31,380.30511474609375
2021-04-01,385.44635009765625
2021-04-05,386.679443359375
2021-04-06,387.4192810058594
2021-04-07,378.227783203125
2021-04-08,377.4405517578125
2021-04-09,380.9596862792969
2021-04-12,385.0858459472656
2021-04-13,379.56524658203125
2021-04-14,379.8593444824219
2021-04-15,383.6440124511719
2021-04-16,385.94903564453125
2021-04-19,387.9410095214844
2021-04-20,392.4182434082031
2021-04-21,402.2263488769531
2021-04-22,397.55938720703125
2021-04-23,401.77093505859375
2021-04-26,398.1949157714844
2021-04-27,401.5433654785156
2021-04-28,400.4999694824219
2021-04-29,407.7848815917969
2021-04-30,411.23760986328125
2021-05-03,421.04559326171875
2021-05-04,432.8647155761719
2021-05-05,436.86767578125
2021-05-06,435.387939453125
2021-05-07,443.2507629394531
2021-05-10,451.418212890625
2021-05-11,440.4520263671875
2021-05-12,432.36077880859375
2021-05-13,442.7366943359375
2021-05-14,444.6023864746094
2021-05-17,444.6119079589844
2021-05-18,432.9032897949219
2021-05-19,434.2741394042969
2021-05-20,432.87481689453125
2021-05-21,434.4834899902344
2021-05-24,437.89141845703125
2021-05-25,438.6624450683594
2021-05-26,438.4911193847656
2021-05-27,437.044189453125
2021-05-28,439.9381103515625
2021-06-01,440.41400146484375
2021-06-02,439.44305419921875
2021-06-03,441.175537109375
2021-06-04,442.3082580566406
2021-06-07,437.7010192871094
2021-06-08,440.24267578125
2021-06-09,436.5016174316406
2021-06-10,437.4534912109375
2021-06-11,437.1203918457031
2021-06-14,432.9318542480469
2021-06-15,436.66351318359375
2021-06-16,427.35369873046875
2021-06-17,419.7668762207031
2021-06-18,415.5404052734375
2021-06-21,423.68878173828125
2021-06-22,421.2900085449219
2021-06-23,423.060546875
2021-06-24,420.3760986328125
2021-06-25,421.64215087890625
2021-06-28,422.4227600097656
2021-06-29,426.7539367675781
2021-06-30,416.9397277832031
2021-07-01,423.4507751464844
2021-07-02,425.23089599609375
2021-07-06,425.859130859375
2021-07-07,436.92999267578125
2021-07-08,428.0771484375
2021-07-09,434.8642883300781
2021-07-12,435.6924743652344
2021-07-13,433.2935791015625
2021-07-14,435.20703125
2021-07-15,435.7020263671875
2021-07-16,431.3993835449219
2021-07-19,427.9057922363281
2021-07-20,437.4344177246094
2021-07-21,435.72100830078125
2021-07-22,432.5796813964844
2021-07-23,436.6062927246094
2021-07-26,434.7596130371094
2021-07-27,434.2455139160156
2021-07-28,432.2465515136719
2021-07-29,439.0527648925781
2021-07-30,423.20330810546875
2021-08-02,418.9958801269531
2021-08-03,424.5074768066406
2021-08-04,418.224853515625
2021-08-05,418.13916015625
2021-08-06,419.1423645019531
2021-08-09,418.2251281738281
2021-08-10,423.0119323730469
2021-08-11,425.54376220703125
2021-08-12,418.550048828125
2021-08-13,419.1423645019531
2021-08-16,420.4703674316406
2021-08-17,416.514892578125
2021-08-18,409.27264404296875
2021-08-19,410.5147399902344
2021-08-20,411.78546142578125
2021-08-23,413.08489990234375
2021-08-24,411.78546142578125
2021-08-25,416.4002380371094
2021-08-26,409.7026062011719
2021-08-27,412.8746337890625
2021-08-30,415.234619140625
2021-08-31,414.3747253417969
2021-09-01,410.1038513183594
2021-09-02,415.9989013671875
2021-09-03,410.5051574707031
2021-09-07,402.6705627441406
2021-09-08,399.5175476074219
2021-09-09,397.9793395996094
2021-09-10,396.7276916503906
2021-09-13,394.826416015625
2021-09-14,391.6160583496094
2021-09-15,393.7563171386719
2021-09-16,390.8326110839844
2021-09-17,384.5458679199219
2021-09-20,386.1701354980469
2021-09-21,383.3897399902344
2021-09-22,384.2592468261719
2021-09-23,385.415283203125
2021-09-24,387.2879943847656
2021-09-27,390.0300598144531
2021-09-28,384.78466796875
2021-09-29,383.8387145996094
2021-09-30,375.54559326171875
2021-10-01,380.5043640136719
2021-10-04,379.5298156738281
2021-10-05,384.3070068359375
2021-10-06,391.0618896484375
2021-10-07,397.69268798828125
2021-10-08,398.64813232421875
2021-10-11,395.4378662109375
2021-10-12,402.36480712890625
2021-10-13,402.8043518066406
2021-10-14,408.34588623046875
2021-10-15,409.9318542480469
2021-10-18,411.6708679199219
2021-10-19,416.8779296875
2021-10-20,417.66143798828125
2021-10-21,418.2919921875
2021-10-22,417.5658874511719
2021-10-25,416.40972900390625
2021-10-26,411.4510803222656
2021-10-27,405.61328125
2021-10-28,411.5657653808594
2021-10-29,442.47412109375
2021-11-01,447.0698547363281
2021-11-02,449.94580078125
2021-11-03,453.2993469238281
2021-11-04,458.44915771484375
2021-11-05,453.3873291015625
2021-11-08,455.31427001953125
2021-11-09,462.2071838378906
2021-11-10,461.1335144042969
2021-11-11,464.584716796875
2021-11-12,469.58905029296875
2021-11-15,464.40252685546875
2021-11-16,469.6753234863281
2021-11-17,466.4732360839844
2021-11-18,462.3414001464844
2021-11-19,462.6769714355469
2021-11-22,472.3883972167969
2021-11-23,477.42138671875
2021-11-24,477.8432312011719
2021-11-26,469.31103515625
2021-11-29,475.1014404296875
2021-11-30,461.5169372558594
2021-12-01,457.5384521484375
2021-12-02,467.84429931640625
2021-12-03,471.1324157714844
2021-12-06,479.290771484375
2021-12-07,486.73974609375
2021-12-08,484.80322265625
2021-12-09,482.7420349121094
2021-12-10,492.44390869140625
2021-12-13,485.90576171875
2021-12-14,486.77813720703125
2021-12-15,492.7123107910156
2021-12-16,487.3244934082031
2021-12-17,472.5224914550781
2021-12-20,469.109619140625
2021-12-21,476.2614440917969
