Date,GE
2016-12-30,137.80584716796875
2017-01-03,138.19830322265625
2017-01-04,138.241943359375
2017-01-05,137.45697021484375
2017-01-06,137.84950256347656
2017-01-09,137.19529724121094
2017-01-10,136.80282592773438
2017-01-11,137.23890686035156
2017-01-12,136.8900146484375
2017-01-13,136.75917053222656
2017-01-17,136.36672973632812
2017-01-18,136.19229125976562
2017-01-19,136.10508728027344
2017-01-20,133.1396026611328
2017-01-23,129.73806762695312
2017-01-24,130.8282928466797
2017-01-25,132.44189453125
2017-01-26,132.22384643554688
2017-01-27,130.87193298339844
2017-01-30,130.65386962890625
2017-01-31,129.52000427246094
2017-02-01,129.47647094726562
2017-02-02,129.4328155517578
2017-02-03,129.52000427246094
2017-02-06,129.34559631347656
2017-02-07,128.90951538085938
2017-02-08,128.34255981445312
2017-02-09,129.04034423828125
2017-02-10,129.60726928710938
2017-02-13,131.00274658203125
2017-02-14,132.04937744140625
2017-02-15,132.35464477539062
2017-02-16,132.79074096679688
2017-02-17,132.44189453125
2017-02-21,133.0960235595703
2017-02-22,132.26742553710938
2017-02-23,131.95973205566406
2017-02-24,132.70703125
2017-02-27,131.6080780029297
2017-02-28,131.03662109375
2017-03-01,132.70703125
2017-03-02,132.70703125
2017-03-03,132.39930725097656
2017-03-06,131.87179565429688
2017-03-07,131.25643920898438
2017-03-08,130.99267578125
2017-03-09,130.37722778320312
2017-03-10,133.10263061523438
2017-03-13,131.25643920898438
2017-03-14,129.84979248046875
2017-03-15,130.81687927246094
2017-03-16,130.77293395996094
2017-03-17,131.34432983398438
2017-03-20,130.7289276123047
2017-03-21,129.1903839111328
2017-03-22,129.8058319091797
2017-03-23,130.2014617919922
2017-03-24,130.64100646972656
2017-03-27,129.41021728515625
2017-03-28,130.2014617919922
2017-03-29,130.4651641845703
2017-03-30,131.30039978027344
2017-03-31,130.99267578125
2017-04-03,131.34432983398438
2017-04-04,131.95973205566406
2017-04-05,131.73995971679688
2017-04-06,131.56410217285156
2017-04-07,131.82785034179688
2017-04-10,131.9157257080078
2017-04-11,132.04759216308594
2017-04-12,130.8607940673828
2017-04-13,129.9376983642578
2017-04-17,130.28939819335938
2017-04-18,131.1685333251953
2017-04-19,131.87179565429688
2017-04-20,133.0586395263672
2017-04-21,129.89373779296875
2017-04-24,129.89373779296875
2017-04-25,129.45411682128906
2017-04-26,128.6189727783203
2017-04-27,127.82775115966797
2017-04-28,127.43211364746094
2017-05-01,127.21232604980469
2017-05-02,127.43211364746094
2017-05-03,128.487060546875
2017-05-04,128.35520935058594
2017-05-05,128.44313049316406
2017-05-08,127.78378295898438
2017-05-09,127.16838836669922
2017-05-10,126.15740203857422
2017-05-11,126.90465545654297
2017-05-12,124.2672348022461
2017-05-15,123.87159729003906
2017-05-16,123.2562255859375
2017-05-17,120.48685455322266
2017-05-18,120.79454803466797
2017-05-19,123.30014038085938
2017-05-22,123.87159729003906
2017-05-23,124.31112670898438
2017-05-24,122.33302307128906
2017-05-25,120.83854675292969
2017-05-26,120.66271209716797
2017-05-30,120.2671127319336
2017-05-31,120.3550033569336
2017-06-01,121.84950256347656
2017-06-02,122.55286407470703
2017-06-05,122.992431640625
2017-06-06,122.7726821899414
2017-06-07,121.67375183105469
2017-06-08,121.27812194824219
2017-06-09,122.81661987304688
2017-06-12,127.21232604980469
2017-06-13,125.05843353271484
2017-06-14,126.1134033203125
2017-06-15,128.2855224609375
2017-06-16,128.5514373779297
2017-06-19,127.6648941040039
2017-06-20,124.6949234008789
2017-06-21,123.1434097290039
2017-06-22,122.12386322021484
2017-06-23,122.2125473022461
2017-06-26,122.38985443115234
2017-06-27,120.61674499511719
2017-06-28,120.04046630859375
2017-06-29,119.77449035644531
2017-06-30,119.73017120361328
2017-07-03,121.68063354492188
2017-07-05,121.23731231689453
2017-07-06,116.62721252441406
2017-07-07,115.9179458618164
2017-07-10,115.4302978515625
2017-07-11,116.93749237060547
2017-07-12,117.82405853271484
2017-07-13,118.75494384765625
2017-07-14,118.71062469482422
2017-07-17,118.88793182373047
2017-07-18,119.19820404052734
2017-07-19,119.41987609863281
2017-07-20,118.31166076660156
2017-07-21,114.85406494140625
2017-07-24,112.72632598876953
2017-07-25,112.7706298828125
2017-07-26,113.43559265136719
2017-07-27,114.32213592529297
2017-07-28,113.16959381103516
2017-07-31,113.52423858642578
2017-08-01,112.7706298828125
2017-08-02,113.12525939941406
2017-08-03,114.18915557861328
2017-08-04,114.27778625488281
2017-08-07,113.61288452148438
2017-08-08,113.30259704589844
2017-08-09,113.96752166748047
2017-08-10,112.15003967285156
2017-08-11,111.706787109375
2017-08-14,112.41602325439453
2017-08-15,111.4407958984375
2017-08-16,111.26350402832031
2017-08-17,109.71200561523438
2017-08-18,108.825439453125
2017-08-21,108.55950164794922
2017-08-22,109.04707336425781
2017-08-23,108.11621856689453
2017-08-24,107.71723937988281
2017-08-25,108.55950164794922
2017-08-28,108.47084045410156
2017-08-29,108.33782958984375
2017-08-30,107.62857818603516
2017-08-31,108.825439453125
2017-09-01,111.4407958984375
2017-09-05,109.71200561523438
2017-09-06,110.4655990600586
2017-09-07,106.4760513305664
2017-09-08,105.5895004272461
2017-09-11,105.1462173461914
2017-09-12,105.98847198486328
2017-09-13,106.8750228881836
2017-09-14,107.53994750976562
2017-09-15,107.13697814941406
2017-09-18,109.50985717773438
2017-09-19,108.34583282470703
2017-09-20,108.88304901123047
2017-09-21,110.8082275390625
2017-09-22,111.34546661376953
2017-09-25,112.41997528076172
2017-09-26,111.61412048339844
2017-09-27,109.10693359375
2017-09-28,108.5248794555664
2017-09-29,108.25627136230469
2017-10-02,110.00232696533203
2017-10-03,111.03206634521484
2017-10-04,109.59942626953125
2017-10-05,109.86803436279297
2017-10-06,109.19646453857422
2017-10-09,104.8984603881836
2017-10-10,104.5850601196289
2017-10-11,103.28670501708984
2017-10-12,103.1971435546875
2017-10-13,102.8837661743164
2017-10-16,104.5850601196289
2017-10-17,103.82392120361328
2017-10-18,103.51057434082031
2017-10-19,105.57001495361328
2017-10-20,106.68927001953125
2017-10-23,99.9288558959961
2017-10-24,98.00370025634766
2017-10-25,96.25762939453125
2017-10-26,95.4517822265625
2017-10-27,93.07890319824219
2017-10-30,91.37757873535156
2017-10-31,90.25833129882812
2017-11-01,89.63153839111328
2017-11-02,89.27336883544922
2017-11-03,90.16879272460938
2017-11-06,90.12400817871094
2017-11-07,90.48216247558594
2017-11-08,90.07923126220703
2017-11-09,89.4972152709961
2017-11-10,91.73580169677734
2017-11-13,85.15443420410156
2017-11-14,80.14007568359375
2017-11-15,81.75184631347656
2017-11-16,81.70707702636719
2017-11-17,81.52798461914062
2017-11-20,80.49823760986328
2017-11-21,79.82667541503906
2017-11-22,81.25936889648438
2017-11-24,81.4384536743164
2017-11-27,81.12503814697266
2017-11-28,82.4234390258789
2017-11-29,82.73677062988281
2017-11-30,81.88617706298828
2017-12-01,80.05056762695312
2017-12-04,80.36393737792969
2017-12-05,79.51329803466797
2017-12-06,79.06556701660156
2017-12-07,79.2894515991211
2017-12-08,79.2894515991211
2017-12-11,79.02079772949219
2017-12-12,80.18484497070312
2017-12-13,79.51329803466797
2017-12-14,78.9760513305664
2017-12-15,79.78192138671875
2017-12-18,79.51329803466797
2017-12-19,78.752197265625
2017-12-20,78.1253890991211
2017-12-21,78.21492004394531
2017-12-22,78.34925842285156
2017-12-26,78.57463836669922
2017-12-27,78.34923553466797
2017-12-28,78.25909423828125
2017-12-29,78.66480255126953
2018-01-02,81.05403900146484
2018-01-03,81.82041931152344
2018-01-04,83.5334701538086
2018-01-05,83.57852935791016
2018-01-08,82.40646362304688
2018-01-09,83.66870880126953
2018-01-10,85.336669921875
2018-01-11,85.74238586425781
2018-01-12,84.57029724121094
2018-01-16,82.09090423583984
2018-01-17,78.2139892578125
2018-01-18,75.59934997558594
2018-01-19,73.3002700805664
2018-01-22,72.89456176757812
2018-01-23,76.14031982421875
2018-01-24,74.1117172241211
2018-01-25,72.93962860107422
2018-01-26,72.7142333984375
2018-01-29,73.39043426513672
2018-01-30,71.90277862548828
2018-01-31,72.89456176757812
2018-02-01,72.21834564208984
2018-02-02,70.50531768798828
2018-02-05,67.2144546508789
2018-02-06,68.83734130859375
2018-02-07,68.74717712402344
2018-02-08,65.1407699584961
2018-02-09,67.34968566894531
2018-02-12,66.8087387084961
2018-02-13,66.13253021240234
2018-02-14,67.16938018798828
2018-02-15,66.94397735595703
2018-02-16,67.8455810546875
2018-02-20,66.44808197021484
2018-02-21,65.32111358642578
2018-02-22,65.90713500976562
2018-02-23,65.8616714477539
2018-02-26,66.58892822265625
2018-02-27,65.90713500976562
2018-02-28,64.13445281982422
2018-03-01,63.725379943847656
2018-03-02,64.17990112304688
2018-03-05,65.54351806640625
2018-03-06,66.54348754882812
2018-03-07,65.95260620117188
2018-03-08,65.998046875
2018-03-09,67.90706634521484
2018-03-12,68.63432312011719
2018-03-13,65.5889663696289
2018-03-14,64.8617172241211
2018-03-15,65.27079772949219
2018-03-16,65.04353332519531
2018-03-19,63.95265579223633
2018-03-20,61.99816131591797
2018-03-21,63.08903121948242
2018-03-22,60.68000411987305
2018-03-23,59.40732955932617
2018-03-26,58.58917999267578
2018-03-27,61.08909225463867
2018-03-28,62.17997360229492
2018-03-29,61.27090835571289
2018-04-02,59.63459777832031
2018-04-03,59.680049896240234
2018-04-04,60.361846923828125
2018-04-05,61.04364013671875
2018-04-06,59.36187744140625
2018-04-09,58.316444396972656
2018-04-10,59.31641387939453
2018-04-11,58.952789306640625
2018-04-12,59.907318115234375
2018-04-13,61.31636047363281
2018-04-16,60.589107513427734
2018-04-17,62.67995071411133
2018-04-18,62.08906555175781
2018-04-19,63.58900833129883
2018-04-20,66.08892822265625
2018-04-23,65.998046875
2018-04-24,66.72530364990234
2018-04-25,63.861717224121094
2018-04-26,65.36170959472656
2018-04-27,65.36170959472656
2018-04-30,63.95265579223633
2018-05-01,63.861717224121094
2018-05-02,64.45264434814453
2018-05-03,63.3162956237793
2018-05-04,64.08898162841797
2018-05-07,63.95265579223633
2018-05-08,64.8617172241211
2018-05-09,66.45258331298828
2018-05-10,66.77074432373047
2018-05-11,66.3616714477539
2018-05-14,66.86164093017578
2018-05-15,66.86164093017578
2018-05-16,68.31614685058594
2018-05-17,68.31614685058594
2018-05-18,68.04344940185547
