Date,EBAY
2019-02-28,37.150001525878906
2019-03-01,37.349998474121094
2019-03-04,37.25
2019-03-05,37.119998931884766
2019-03-06,36.810001373291016
2019-03-07,36.209999084472656
2019-03-08,35.88999938964844
2019-03-11,36.25
2019-03-12,36.279998779296875
2019-03-13,36.459999084472656
2019-03-14,36.349998474121094
2019-03-15,36.29999923706055
2019-03-18,36.27000045776367
2019-03-19,36.869998931884766
2019-03-20,36.70000076293945
2019-03-21,37.20000076293945
2019-03-22,36.650001525878906
2019-03-25,36.720001220703125
2019-03-26,36.900001525878906
2019-03-27,36.83000183105469
2019-03-28,36.779998779296875
2019-03-29,37.13999938964844
2019-04-01,37.68000030517578
2019-04-02,37.91999816894531
2019-04-03,37.9900016784668
2019-04-04,38.04999923706055
2019-04-05,37.84000015258789
2019-04-08,37.810001373291016
2019-04-09,37.75
2019-04-10,37.720001220703125
2019-04-11,36.31999969482422
2019-04-12,36.16999816894531
2019-04-15,36.22999954223633
2019-04-16,36.38999938964844
2019-04-17,35.970001220703125
2019-04-18,35.97999954223633
2019-04-22,36.150001525878906
2019-04-23,36.66999816894531
2019-04-24,38.52000045776367
2019-04-25,38.11000061035156
2019-04-26,38.36000061035156
2019-04-29,38.25
2019-04-30,38.75
2019-05-01,37.79999923706055
2019-05-02,37.59000015258789
2019-05-03,38.279998779296875
2019-05-06,37.880001068115234
2019-05-07,37.68000030517578
2019-05-08,37.540000915527344
2019-05-09,37.619998931884766
2019-05-10,37.380001068115234
2019-05-13,35.869998931884766
2019-05-14,36.79999923706055
2019-05-15,37.040000915527344
2019-05-16,37.27000045776367
2019-05-17,36.900001525878906
2019-05-20,36.560001373291016
2019-05-21,36.58000183105469
2019-05-22,36.310001373291016
2019-05-23,35.95000076293945
2019-05-24,36.130001068115234
2019-05-28,36.220001220703125
2019-05-29,36.099998474121094
2019-05-30,36.380001068115234
2019-05-31,35.93000030517578
2019-06-03,35.619998931884766
2019-06-04,36.540000915527344
2019-06-05,36.560001373291016
2019-06-06,36.810001373291016
2019-06-07,37.5099983215332
2019-06-10,38.119998931884766
2019-06-11,38.22999954223633
2019-06-12,39.02000045776367
2019-06-13,39.0
2019-06-14,38.90999984741211
2019-06-17,39.0099983215332
2019-06-18,39.66999816894531
2019-06-19,40.130001068115234
2019-06-20,39.91999816894531
2019-06-21,40.04999923706055
2019-06-24,39.709999084472656
2019-06-25,39.02000045776367
2019-06-26,39.20000076293945
2019-06-27,39.290000915527344
2019-06-28,39.5
2019-07-01,39.88999938964844
2019-07-02,40.08000183105469
2019-07-03,39.900001525878906
2019-07-05,39.79999923706055
2019-07-08,39.540000915527344
2019-07-09,39.939998626708984
2019-07-10,40.0099983215332
2019-07-11,39.599998474121094
2019-07-12,40.060001373291016
2019-07-15,40.27000045776367
2019-07-16,39.91999816894531
2019-07-17,39.029998779296875
2019-07-18,39.77000045776367
2019-07-19,40.209999084472656
2019-07-22,40.66999816894531
2019-07-23,41.029998779296875
2019-07-24,41.029998779296875
2019-07-25,40.810001373291016
2019-07-26,41.22999954223633
2019-07-29,41.56999969482422
2019-07-30,41.380001068115234
2019-07-31,41.189998626708984
2019-08-01,41.099998474121094
2019-08-02,40.58000183105469
2019-08-05,38.810001373291016
2019-08-06,39.689998626708984
2019-08-07,39.720001220703125
2019-08-08,41.25
2019-08-09,40.310001373291016
2019-08-12,39.7400016784668
2019-08-13,40.97999954223633
2019-08-14,39.63999938964844
2019-08-15,39.439998626708984
2019-08-16,40.02000045776367
2019-08-19,40.38999938964844
2019-08-20,40.029998779296875
2019-08-21,40.380001068115234
2019-08-22,40.0
2019-08-23,38.70000076293945
2019-08-26,39.400001525878906
2019-08-27,39.0
2019-08-28,40.09000015258789
2019-08-29,40.529998779296875
2019-08-30,40.290000915527344
2019-09-03,39.7400016784668
2019-09-04,39.63999938964844
2019-09-05,40.79999923706055
2019-09-06,40.369998931884766
2019-09-09,41.400001525878906
2019-09-10,40.27000045776367
2019-09-11,39.900001525878906
2019-09-12,40.290000915527344
2019-09-13,40.369998931884766
2019-09-16,40.29999923706055
2019-09-17,40.529998779296875
2019-09-18,40.36000061035156
2019-09-19,40.400001525878906
2019-09-20,40.36000061035156
2019-09-23,40.2400016784668
2019-09-24,39.560001373291016
2019-09-25,39.2400016784668
2019-09-26,38.91999816894531
2019-09-27,38.369998931884766
2019-09-30,38.97999954223633
2019-10-01,38.540000915527344
2019-10-02,38.16999816894531
2019-10-03,37.95000076293945
2019-10-04,38.310001373291016
2019-10-07,37.81999969482422
2019-10-08,37.31999969482422
2019-10-09,37.849998474121094
2019-10-10,37.93000030517578
2019-10-11,38.54999923706055
2019-10-14,38.36000061035156
2019-10-15,38.880001068115234
2019-10-16,38.91999816894531
2019-10-17,39.09000015258789
2019-10-18,38.81999969482422
2019-10-21,39.2599983215332
2019-10-22,38.939998626708984
2019-10-23,39.20000076293945
2019-10-24,35.619998931884766
2019-10-25,35.84000015258789
2019-10-28,35.939998626708984
2019-10-29,36.11000061035156
2019-10-30,35.86000061035156
2019-10-31,35.25
2019-11-01,35.25
2019-11-04,35.40999984741211
2019-11-05,35.47999954223633
2019-11-06,35.5
2019-11-07,34.88999938964844
2019-11-08,35.13999938964844
2019-11-11,35.25
2019-11-12,35.06999969482422
2019-11-13,34.63999938964844
2019-11-14,34.959999084472656
2019-11-15,35.27000045776367
2019-11-18,35.099998474121094
2019-11-19,35.060001373291016
2019-11-20,34.86000061035156
2019-11-21,34.939998626708984
2019-11-22,35.119998931884766
2019-11-25,35.849998474121094
2019-11-26,35.75
2019-11-27,35.849998474121094
2019-11-29,35.52000045776367
2019-12-02,34.900001525878906
2019-12-03,34.75
2019-12-04,34.970001220703125
2019-12-05,34.790000915527344
2019-12-06,34.86000061035156
2019-12-09,34.56999969482422
2019-12-10,34.720001220703125
2019-12-11,34.91999816894531
2019-12-12,35.310001373291016
2019-12-13,35.47999954223633
2019-12-16,35.400001525878906
2019-12-17,35.900001525878906
2019-12-18,35.63999938964844
2019-12-19,36.040000915527344
2019-12-20,36.189998626708984
2019-12-23,36.209999084472656
2019-12-24,36.209999084472656
2019-12-26,36.25
2019-12-27,36.06999969482422
2019-12-30,35.79999923706055
2019-12-31,36.11000061035156
2020-01-02,36.29999923706055
2020-01-03,35.959999084472656
2020-01-06,35.779998779296875
2020-01-07,35.619998931884766
2020-01-08,35.599998474121094
2020-01-09,35.18000030517578
2020-01-10,34.88999938964844
2020-01-13,34.72999954223633
2020-01-14,35.349998474121094
2020-01-15,35.33000183105469
2020-01-16,35.91999816894531
2020-01-17,35.81999969482422
2020-01-21,35.720001220703125
2020-01-22,35.88999938964844
2020-01-23,35.61000061035156
2020-01-24,35.36000061035156
2020-01-27,35.47999954223633
2020-01-28,36.209999084472656
2020-01-29,34.58000183105469
2020-01-30,35.060001373291016
2020-01-31,33.560001373291016
2020-02-03,34.38999938964844
2020-02-04,37.40999984741211
2020-02-05,37.130001068115234
2020-02-06,38.0
2020-02-07,36.20000076293945
2020-02-10,36.02000045776367
2020-02-11,36.439998626708984
2020-02-12,37.150001525878906
2020-02-13,37.189998626708984
2020-02-14,38.13999938964844
2020-02-18,37.869998931884766
2020-02-19,37.529998779296875
2020-02-20,37.689998626708984
2020-02-21,38.20000076293945
2020-02-24,37.2599983215332
2020-02-25,36.459999084472656
2020-02-26,36.689998626708984
2020-02-27,35.040000915527344
2020-02-28,34.63999938964844
2020-03-02,35.959999084472656
2020-03-03,36.720001220703125
2020-03-04,38.4900016784668
2020-03-05,37.220001220703125
2020-03-06,36.38999938964844
2020-03-09,35.52000045776367
2020-03-10,36.040000915527344
2020-03-11,34.83000183105469
2020-03-12,33.029998779296875
2020-03-13,33.9900016784668
2020-03-16,32.2400016784668
2020-03-17,33.279998779296875
2020-03-18,31.299999237060547
2020-03-19,29.600000381469727
2020-03-20,27.579999923706055
2020-03-23,26.34000015258789
2020-03-24,27.670000076293945
2020-03-25,28.3700008392334
2020-03-26,30.15999984741211
2020-03-27,30.18000030517578
2020-03-30,31.190000534057617
2020-03-31,30.059999465942383
2020-04-01,28.780000686645508
2020-04-02,29.190000534057617
2020-04-03,29.40999984741211
2020-04-06,31.18000030517578
2020-04-07,31.6200008392334
2020-04-08,33.0099983215332
2020-04-09,33.83000183105469
2020-04-13,34.7599983215332
2020-04-14,35.7400016784668
2020-04-15,36.189998626708984
2020-04-16,37.220001220703125
2020-04-17,37.459999084472656
2020-04-20,37.63999938964844
2020-04-21,37.61000061035156
2020-04-22,38.25
2020-04-23,37.90999984741211
2020-04-24,39.349998474121094
2020-04-27,39.630001068115234
2020-04-28,39.08000183105469
2020-04-29,39.029998779296875
2020-04-30,39.83000183105469
2020-05-01,39.25
2020-05-04,39.83000183105469
2020-05-05,40.31999969482422
2020-05-06,40.95000076293945
2020-05-07,41.369998931884766
2020-05-08,42.150001525878906
2020-05-11,42.130001068115234
2020-05-12,42.0
2020-05-13,41.58000183105469
2020-05-14,42.040000915527344
2020-05-15,42.11000061035156
2020-05-18,42.5
2020-05-19,42.400001525878906
2020-05-20,42.709999084472656
2020-05-21,42.470001220703125
2020-05-22,43.45000076293945
2020-05-26,43.36000061035156
2020-05-27,44.150001525878906
2020-05-28,44.22999954223633
2020-05-29,45.540000915527344
2020-06-01,45.20000076293945
2020-06-02,45.97999954223633
2020-06-03,46.45000076293945
2020-06-04,49.36000061035156
2020-06-05,48.81999969482422
2020-06-08,48.720001220703125
2020-06-09,49.75
2020-06-10,49.25
2020-06-11,47.939998626708984
2020-06-12,47.65999984741211
2020-06-15,47.88999938964844
2020-06-16,48.119998931884766
2020-06-17,48.43000030517578
2020-06-18,48.439998626708984
2020-06-19,48.290000915527344
2020-06-22,49.15999984741211
2020-06-23,49.79999923706055
2020-06-24,48.77000045776367
2020-06-25,49.400001525878906
2020-06-26,50.88999938964844
2020-06-29,51.310001373291016
2020-06-30,52.45000076293945
2020-07-01,52.959999084472656
2020-07-02,54.36000061035156
2020-07-06,56.16999816894531
2020-07-07,57.0
2020-07-08,58.27000045776367
2020-07-09,59.220001220703125
2020-07-10,59.27000045776367
2020-07-13,58.29999923706055
2020-07-14,59.08000183105469
2020-07-15,58.38999938964844
2020-07-16,58.650001525878906
2020-07-17,58.130001068115234
2020-07-20,58.470001220703125
2020-07-21,56.59000015258789
2020-07-22,56.34000015258789
2020-07-23,55.150001525878906
2020-07-24,55.119998931884766
2020-07-27,57.22999954223633
2020-07-28,56.349998474121094
2020-07-29,54.529998779296875
2020-07-30,54.720001220703125
2020-07-31,55.279998779296875
2020-08-03,56.56999969482422
2020-08-04,56.33000183105469
2020-08-05,56.65999984741211
2020-08-06,55.08000183105469
2020-08-07,55.209999084472656
2020-08-10,54.369998931884766
2020-08-11,54.290000915527344
2020-08-12,55.4900016784668
2020-08-13,56.279998779296875
2020-08-14,56.290000915527344
2020-08-17,57.349998474121094
2020-08-18,57.029998779296875
2020-08-19,57.709999084472656
2020-08-20,57.65999984741211
2020-08-21,58.209999084472656
2020-08-24,58.779998779296875
2020-08-25,58.04999923706055
2020-08-26,58.58000183105469
2020-08-27,56.310001373291016
2020-08-28,54.27000045776367
2020-08-31,54.779998779296875
