Date,PLD
2021-01-11,81.63166809082031
2021-01-12,81.6747817993164
2021-01-13,82.27845001220703
2021-01-14,82.35604858398438
2021-01-15,84.23600769042969
2021-01-19,84.52059936523438
2021-01-20,86.5299072265625
2021-01-21,86.60751342773438
2021-01-22,87.28878021240234
2021-01-25,88.5650863647461
2021-01-26,91.45403289794922
2021-01-27,89.06526947021484
2021-01-28,89.16874694824219
2021-01-29,88.99627685546875
2021-02-01,91.33329010009766
2021-02-02,92.16978454589844
2021-02-03,91.44538879394531
2021-02-04,91.76446533203125
2021-02-05,92.01457214355469
2021-02-08,92.34224700927734
2021-02-09,92.63545227050781
2021-02-10,92.72171020507812
2021-02-11,92.92865753173828
2021-02-12,92.85105895996094
2021-02-16,91.91107177734375
2021-02-17,91.2643051147461
2021-02-18,91.22119903564453
2021-02-19,90.80724334716797
2021-02-22,90.30706787109375
2021-02-23,90.16047668457031
2021-02-24,89.03075408935547
2021-02-25,87.43540954589844
2021-02-26,85.43468475341797
2021-03-01,85.7451400756836
2021-03-02,85.45195007324219
2021-03-03,82.8821029663086
2021-03-04,82.4767837524414
2021-03-05,83.96867370605469
2021-03-08,82.74411010742188
2021-03-09,84.78791809082031
2021-03-10,84.27051544189453
2021-03-11,85.85725402832031
2021-03-12,87.34913635253906
2021-03-15,88.63407135009766
2021-03-16,89.88451385498047
2021-03-17,88.04766082763672
2021-03-18,88.60301208496094
2021-03-19,87.10185241699219
2021-03-22,89.93930053710938
2021-03-23,91.28425598144531
2021-03-24,90.08683013916016
2021-03-25,90.61613464355469
2021-03-26,92.65526580810547
2021-03-29,92.6465835571289
2021-03-30,92.6379165649414
2021-03-31,91.97843933105469
2021-04-01,94.14775085449219
2021-04-05,94.03494262695312
2021-04-06,94.85928344726562
2021-04-07,95.12824249267578
2021-04-08,94.0956802368164
2021-04-09,95.02413177490234
2021-04-12,95.31047821044922
2021-04-13,96.12615203857422
2021-04-14,95.1543197631836
2021-04-15,97.49714660644531
2021-04-16,97.67069244384766
2021-04-19,97.40169525146484
2021-04-20,99.57100677490234
2021-04-21,99.53628540039062
2021-04-22,99.51026916503906
