Date,GPN
2018-08-03,112.6819076538086
2018-08-06,112.36882019042969
2018-08-07,112.00833129882812
2018-08-08,110.21520233154297
2018-08-09,110.63265991210938
2018-08-10,110.18672943115234
2018-08-13,110.94573974609375
2018-08-14,112.28346252441406
2018-08-15,110.9267578125
2018-08-16,111.97036743164062
2018-08-17,112.5870590209961
2018-08-20,113.17527770996094
2018-08-21,112.9285888671875
2018-08-22,114.17144775390625
2018-08-23,114.20940399169922
2018-08-24,115.88867950439453
2018-08-27,116.913330078125
2018-08-28,117.99486541748047
2018-08-29,118.60209655761719
2018-08-30,117.33076477050781
2018-08-31,118.1941146850586
2018-09-04,119.07644653320312
2018-09-05,117.34971618652344
2018-09-06,117.90949249267578
2018-09-07,117.38768005371094
2018-09-10,119.1428451538086
2018-09-11,120.30977630615234
2018-09-12,121.391357421875
2018-09-13,121.76138305664062
2018-09-14,122.00810241699219
2018-09-17,120.4710464477539
2018-09-18,121.97012329101562
2018-09-19,120.32868194580078
2018-09-20,120.64180755615234
2018-09-21,120.67976379394531
2018-09-24,120.774658203125
2018-09-25,121.31547546386719
2018-09-26,120.60384368896484
2018-09-27,120.2243423461914
2018-09-28,120.8790054321289
2018-10-01,120.0440444946289
2018-10-02,119.27550506591797
2018-10-03,119.0667495727539
2018-10-04,115.84078979492188
2018-10-05,115.56564331054688
2018-10-08,111.82730865478516
2018-10-09,111.60910034179688
2018-10-10,107.32047271728516
2018-10-11,107.00730895996094
2018-10-12,111.3529281616211
2018-10-15,109.54065704345703
2018-10-16,113.75340270996094
2018-10-17,113.75340270996094
2018-10-18,111.90321350097656
2018-10-19,110.53692626953125
2018-10-22,110.85002899169922
2018-10-23,109.05677032470703
2018-10-24,104.73966217041016
2018-10-25,108.29771423339844
2018-10-26,106.30521392822266
2018-10-29,103.26901245117188
2018-10-30,104.99585723876953
2018-10-31,108.38311767578125
2018-11-01,108.89546966552734
2018-11-02,108.70571899414062
2018-11-05,105.87822723388672
2018-11-06,106.39059448242188
2018-11-07,109.15164184570312
2018-11-08,107.88973999023438
2018-11-09,106.42854309082031
2018-11-12,103.66751861572266
2018-11-13,103.00334167480469
2018-11-14,101.8078384399414
2018-11-15,103.81929779052734
2018-11-16,104.07550048828125
2018-11-19,99.03728485107422
2018-11-20,97.86075592041016
2018-11-21,98.55340576171875
2018-11-23,97.85127258300781
2018-11-26,100.98236083984375
2018-11-27,100.6218032836914
2018-11-28,105.37539672851562
2018-11-29,105.08123016357422
2018-11-30,106.08699035644531
2018-12-03,107.04528045654297
2018-12-04,101.5136947631836
2018-12-06,100.87800598144531
2018-12-07,98.5249252319336
2018-12-10,98.47750854492188
2018-12-11,97.72793579101562
2018-12-12,99.01829528808594
2018-12-13,98.46794128417969
2018-12-14,96.40880584716797
2018-12-17,94.53948211669922
2018-12-18,95.97232818603516
2018-12-19,96.16212463378906
2018-12-20,93.808837890625
2018-12-21,91.35115814208984
2018-12-24,90.49713897705078
2018-12-26,96.25701141357422
2018-12-27,97.4810791015625
2018-12-28,97.30078887939453
2018-12-31,97.86065673828125
2019-01-02,96.8168716430664
2019-01-03,93.67597198486328
2019-01-04,97.50004577636719
2019-01-07,99.54022216796875
2019-01-08,102.16867065429688
2019-01-09,103.66793823242188
2019-01-10,104.61686706542969
2019-01-11,105.12925720214844
2019-01-14,104.41758728027344
2019-01-15,106.28694152832031
2019-01-16,107.14093780517578
2019-01-17,107.63436889648438
2019-01-18,108.735107421875
2019-01-22,106.93220520019531
2019-01-23,105.5942153930664
2019-01-24,106.49568939208984
2019-01-25,107.4446029663086
2019-01-28,105.9453125
2019-01-29,105.04386901855469
2019-01-30,107.87159729003906
2019-01-31,106.54312896728516
2019-02-01,107.94749450683594
2019-02-04,109.23800659179688
2019-02-05,109.40882873535156
2019-02-06,108.47889709472656
2019-02-07,107.22636413574219
2019-02-08,109.02928161621094
2019-02-11,110.09203338623047
2019-02-12,111.42050170898438
2019-02-13,116.47818756103516
2019-02-14,115.3395004272461
2019-02-15,117.00008392333984
2019-02-19,118.01541900634766
2019-02-20,119.50521087646484
