Date,ACN
2018-08-08,161.13999938964844
2018-08-09,160.63999938964844
2018-08-10,160.67999267578125
2018-08-13,160.22999572753906
2018-08-14,161.24000549316406
2018-08-15,160.41000366210938
2018-08-16,162.88999938964844
2018-08-17,164.88999938964844
2018-08-20,165.1199951171875
2018-08-21,164.61000061035156
2018-08-22,164.9199981689453
2018-08-23,165.1999969482422
2018-08-24,165.8800048828125
2018-08-27,166.8699951171875
2018-08-28,167.6699981689453
2018-08-29,169.77000427246094
2018-08-30,168.6300048828125
2018-08-31,169.07000732421875
2018-09-04,169.5
2018-09-05,168.63999938964844
2018-09-06,169.36000061035156
2018-09-07,169.07000732421875
2018-09-10,169.5500030517578
2018-09-11,170.69000244140625
2018-09-12,170.35000610351562
2018-09-13,172.07000732421875
2018-09-14,171.63999938964844
2018-09-17,171.0399932861328
2018-09-18,172.41000366210938
2018-09-19,173.13999938964844
2018-09-20,174.1300048828125
2018-09-21,174.19000244140625
2018-09-24,172.6300048828125
2018-09-25,172.82000732421875
2018-09-26,172.97000122070312
2018-09-27,170.0500030517578
2018-09-28,170.1999969482422
2018-10-01,173.50999450683594
2018-10-02,173.14999389648438
2018-10-03,174.13999938964844
2018-10-04,171.86000061035156
2018-10-05,171.22999572753906
2018-10-08,169.89999389648438
2018-10-09,168.8000030517578
2018-10-10,161.74000549316406
2018-10-11,156.0
2018-10-12,159.44000244140625
2018-10-15,157.9199981689453
2018-10-16,161.1999969482422
2018-10-17,158.89999389648438
2018-10-18,156.1999969482422
2018-10-19,158.27999877929688
2018-10-22,159.5500030517578
2018-10-23,158.08999633789062
2018-10-24,153.1199951171875
2018-10-25,156.9199981689453
2018-10-26,154.4499969482422
2018-10-29,152.74000549316406
2018-10-30,154.6199951171875
2018-10-31,157.6199951171875
2018-11-01,158.5800018310547
2018-11-02,157.38999938964844
2018-11-05,158.60000610351562
2018-11-06,159.4199981689453
2018-11-07,163.8699951171875
2018-11-08,164.5
2018-11-09,165.14999389648438
2018-11-12,162.44000244140625
2018-11-13,161.4499969482422
2018-11-14,160.2899932861328
2018-11-15,162.49000549316406
2018-11-16,165.0
2018-11-19,162.77000427246094
2018-11-20,158.89999389648438
2018-11-21,156.97999572753906
2018-11-23,156.92999267578125
2018-11-26,158.39999389648438
2018-11-27,159.11000061035156
2018-11-28,162.2100067138672
2018-11-29,161.07000732421875
2018-11-30,164.52000427246094
2018-12-03,166.82000732421875
2018-12-04,164.2100067138672
2018-12-06,159.25
2018-12-07,157.4499969482422
