Date,COR
2023-11-20,195.94000244140625
2023-11-21,198.8300018310547
2023-11-22,199.67999267578125
2023-11-24,201.3000030517578
2023-11-27,201.77999877929688
2023-11-28,201.3000030517578
2023-11-29,199.52000427246094
2023-11-30,203.3699951171875
2023-12-01,204.08999633789062
2023-12-04,203.75999450683594
2023-12-05,203.72999572753906
2023-12-06,200.6699981689453
2023-12-07,200.2100067138672
2023-12-08,201.75
2023-12-11,202.85000610351562
2023-12-12,203.9499969482422
2023-12-13,203.72000122070312
2023-12-14,201.5
2023-12-15,200.3300018310547
2023-12-18,200.07000732421875
2023-12-19,201.8800048828125
2023-12-20,199.7899932861328
2023-12-21,202.27000427246094
2023-12-22,203.0399932861328
2023-12-26,204.08999633789062
2023-12-27,204.22999572753906
2023-12-28,203.49000549316406
2023-12-29,205.3800048828125
2024-01-02,208.5399932861328
2024-01-03,210.3300018310547
2024-01-04,210.6699981689453
2024-01-05,211.36000061035156
2024-01-08,210.3800048828125
2024-01-09,213.6199951171875
2024-01-10,216.1300048828125
2024-01-11,218.92999267578125
2024-01-12,219.42999267578125
2024-01-16,219.0
2024-01-17,218.7100067138672
2024-01-18,220.7899932861328
2024-01-19,218.27999877929688
2024-01-22,218.16000366210938
2024-01-23,217.85000610351562
2024-01-24,217.3800048828125
2024-01-25,218.83999633789062
2024-01-26,217.67999267578125
2024-01-29,218.44000244140625
2024-01-30,220.52999877929688
2024-01-31,232.67999267578125
2024-02-01,236.9199981689453
2024-02-02,234.99000549316406
2024-02-05,234.2100067138672
2024-02-06,235.00999450683594
2024-02-07,237.6699981689453
2024-02-08,230.32000732421875
2024-02-09,230.69000244140625
2024-02-12,229.97999572753906
2024-02-13,231.19000244140625
2024-02-14,231.5800018310547
2024-02-15,233.0800018310547
2024-02-16,231.72000122070312
2024-02-20,232.36000061035156
2024-02-21,233.47000122070312
2024-02-22,234.39999389648438
2024-02-23,237.27000427246094
2024-02-26,238.33999633789062
2024-02-27,236.50999450683594
2024-02-28,236.1300048828125
2024-02-29,235.60000610351562
2024-03-01,237.02999877929688
2024-03-04,235.8000030517578
2024-03-05,235.30999755859375
2024-03-06,234.67999267578125
2024-03-07,237.6300048828125
2024-03-08,237.47000122070312
2024-03-11,237.67999267578125
2024-03-12,237.44000244140625
2024-03-13,234.77000427246094
2024-03-14,237.67999267578125
2024-03-15,238.22999572753906
2024-03-18,239.30999755859375
2024-03-19,242.35000610351562
2024-03-20,241.8699951171875
2024-03-21,242.3300018310547
2024-03-22,242.5
2024-03-25,242.05999755859375
2024-03-26,242.8000030517578
2024-03-27,244.63999938964844
2024-03-28,242.99000549316406
2024-04-01,243.0
2024-04-02,243.08999633789062
2024-04-03,245.8000030517578
2024-04-04,242.0399932861328
2024-04-05,243.22000122070312
2024-04-08,240.36000061035156
2024-04-09,238.57000732421875
2024-04-10,237.8000030517578
2024-04-11,235.63999938964844
2024-04-12,234.0
2024-04-15,234.2100067138672
2024-04-16,238.25999450683594
2024-04-17,238.6199951171875
2024-04-18,237.3000030517578
2024-04-19,239.1300048828125
2024-04-22,236.85000610351562
