Date,SLG
2016-06-15,105.88510131835938
2016-06-16,106.02312469482422
2016-06-17,106.51151275634766
2016-06-20,108.56063079833984
2016-06-21,108.4969253540039
2016-06-22,108.91099548339844
2016-06-23,111.87318420410156
2016-06-24,108.46507263183594
2016-06-27,103.95277404785156
2016-06-28,106.09744262695312
2016-06-29,109.3781509399414
2016-06-30,113.04107666015625
2016-07-01,110.6097412109375
2016-07-05,110.18505859375
2016-07-06,109.69667053222656
2016-07-07,108.88976287841797
2016-07-08,112.52083587646484
2016-07-11,113.65687561035156
2016-07-12,115.74845886230469
2016-07-13,115.95018768310547
2016-07-14,115.41932678222656
2016-07-15,115.90771484375
2016-07-18,117.05437469482422
2016-07-19,117.72325134277344
2016-07-20,117.7444839477539
2016-07-21,120.11211395263672
2016-07-22,121.90641784667969
2016-07-25,122.79826354980469
2016-07-26,123.16986083984375
2016-07-27,123.09554290771484
2016-07-28,123.4777603149414
2016-07-29,125.0915756225586
2016-08-01,124.74120330810547
2016-08-02,123.19110107421875
2016-08-03,123.45652770996094
2016-08-04,124.23158264160156
2016-08-05,124.8155288696289
2016-08-08,124.95355224609375
2016-08-09,125.28268432617188
2016-08-10,125.03849029541016
2016-08-11,126.17452239990234
2016-08-12,126.50365447998047
2016-08-15,126.5567398071289
2016-08-16,125.5162582397461
2016-08-17,125.6011962890625
2016-08-18,125.0703353881836
2016-08-19,122.57530212402344
2016-08-22,123.36096954345703
2016-08-23,123.10616302490234
2016-08-24,122.61776733398438
2016-08-25,122.64962005615234
2016-08-26,121.31185913085938
2016-08-29,122.69209289550781
2016-08-30,122.36296081542969
2016-08-31,124.98539733886719
2016-09-01,122.66024017333984
2016-09-02,123.97676849365234
2016-09-06,124.58194732666016
2016-09-07,125.74983978271484
2016-09-08,123.78565979003906
2016-09-09,117.85066223144531
2016-09-12,120.96149444580078
2016-09-13,117.63831329345703
2016-09-14,117.63831329345703
2016-09-15,117.44720458984375
2016-09-16,116.69338989257812
2016-09-19,117.18177795410156
2016-09-20,117.03313446044922
2016-09-21,119.0716323852539
2016-09-22,120.69606018066406
2016-09-23,120.8553237915039
2016-09-26,119.22027587890625
2016-09-27,117.62770080566406
2016-09-28,117.20301055908203
2016-09-29,114.56995391845703
2016-09-30,114.77167510986328
2016-10-03,113.6356430053711
2016-10-04,112.58454132080078
2016-10-05,109.97271728515625
2016-10-06,111.46973419189453
2016-10-07,111.21492767333984
2016-10-10,112.52083587646484
2016-10-11,111.07689666748047
2016-10-12,111.8625717163086
2016-10-13,112.10676574707031
2016-10-14,111.55467224121094
2016-10-17,111.66084289550781
2016-10-18,111.83071899414062
2016-10-19,112.22355651855469
2016-10-20,110.9707260131836
2016-10-21,110.00456237792969
2016-10-24,108.11470794677734
2016-10-25,106.70262145996094
2016-10-26,104.92955780029297
2016-10-27,102.7636489868164
2016-10-28,101.7231674194336
2016-10-31,104.28190612792969
2016-11-01,102.89105987548828
2016-11-02,101.3621826171875
2016-11-03,100.045654296875
2016-11-04,101.97798156738281
2016-11-07,104.71720886230469
2016-11-08,104.20758819580078
2016-11-09,105.56658935546875
2016-11-10,108.0510025024414
2016-11-11,109.89839172363281
2016-11-14,114.01786041259766
2016-11-15,112.65885925292969
2016-11-16,110.43987274169922
2016-11-17,110.93887329101562
2016-11-18,109.80284118652344
2016-11-21,111.28924560546875
2016-11-22,112.61639404296875
2016-11-23,111.88380432128906
2016-11-25,111.66084289550781
2016-11-28,111.36356353759766
2016-11-29,112.57392120361328
2016-11-30,111.8625717163086
2016-12-01,111.87318420410156
2016-12-02,114.04971313476562
2016-12-05,114.90969848632812
2016-12-06,116.54474639892578
2016-12-07,117.86127471923828
2016-12-08,117.5852279663086
2016-12-09,117.40473937988281
2016-12-12,119.85730743408203
2016-12-13,119.68743133544922
2016-12-14,117.47905731201172
2016-12-15,114.61241912841797
2016-12-16,116.3536376953125
2016-12-19,116.90573120117188
2016-12-20,117.10745239257812
2016-12-21,114.25143432617188
2016-12-22,113.39144134521484
2016-12-23,112.10676574707031
2016-12-27,112.54206848144531
2016-12-28,111.5759048461914
2016-12-29,111.5865249633789
2016-12-30,114.18773651123047
2017-01-03,115.22821807861328
2017-01-04,117.51091003417969
2017-01-05,116.06697082519531
