Date,MPC
2020-10-29,28.829999923706055
2020-10-30,29.5
2020-11-02,31.299999237060547
2020-11-03,31.90999984741211
2020-11-04,31.700000762939453
2020-11-05,31.829999923706055
2020-11-06,31.579999923706055
2020-11-09,36.470001220703125
2020-11-10,37.63999938964844
2020-11-11,37.189998626708984
2020-11-12,34.70000076293945
2020-11-13,37.560001373291016
2020-11-16,40.72999954223633
2020-11-17,40.61000061035156
2020-11-18,38.540000915527344
2020-11-19,39.08000183105469
2020-11-20,38.2599983215332
2020-11-23,41.220001220703125
2020-11-24,42.45000076293945
2020-11-25,41.47999954223633
2020-11-27,41.41999816894531
2020-11-30,38.880001068115234
2020-12-01,39.45000076293945
2020-12-02,40.58000183105469
2020-12-03,40.9900016784668
2020-12-04,42.90999984741211
2020-12-07,42.209999084472656
2020-12-08,42.45000076293945
2020-12-09,42.63999938964844
2020-12-10,43.83000183105469
2020-12-11,42.90999984741211
2020-12-14,40.7599983215332
2020-12-15,42.25
2020-12-16,41.650001525878906
2020-12-17,40.58000183105469
2020-12-18,40.349998474121094
2020-12-21,39.75
2020-12-22,39.66999816894531
2020-12-23,41.310001373291016
2020-12-24,41.209999084472656
2020-12-28,40.779998779296875
2020-12-29,40.72999954223633
2020-12-30,41.56999969482422
2020-12-31,41.36000061035156
2021-01-04,40.75
2021-01-05,42.09000015258789
2021-01-06,42.95000076293945
2021-01-07,44.16999816894531
2021-01-08,43.18000030517578
2021-01-11,43.59000015258789
2021-01-12,45.58000183105469
2021-01-13,44.31999969482422
2021-01-14,45.52000045776367
2021-01-15,43.97999954223633
2021-01-19,46.09000015258789
2021-01-20,46.16999816894531
2021-01-21,45.38999938964844
2021-01-22,45.75
2021-01-25,46.22999954223633
2021-01-26,45.15999984741211
2021-01-27,43.939998626708984
2021-01-28,44.77000045776367
2021-01-29,43.15999984741211
2021-02-01,43.45000076293945
2021-02-02,45.150001525878906
2021-02-03,47.29999923706055
2021-02-04,47.33000183105469
2021-02-05,47.650001525878906
2021-02-08,49.47999954223633
2021-02-09,48.869998931884766
2021-02-10,49.810001373291016
2021-02-11,49.7599983215332
2021-02-12,50.459999084472656
2021-02-16,51.459999084472656
2021-02-17,51.88999938964844
2021-02-18,51.220001220703125
2021-02-19,53.0
2021-02-22,54.849998474121094
2021-02-23,55.77000045776367
2021-02-24,56.650001525878906
2021-02-25,55.06999969482422
2021-02-26,54.619998931884766
2021-03-01,56.099998474121094
2021-03-02,56.029998779296875
2021-03-03,56.06999969482422
2021-03-04,56.5099983215332
2021-03-05,57.31999969482422
2021-03-08,57.15999984741211
2021-03-09,55.869998931884766
2021-03-10,58.18000030517578
2021-03-11,58.0
2021-03-12,57.75
2021-03-15,57.86000061035156
2021-03-16,56.209999084472656
2021-03-17,56.209999084472656
2021-03-18,52.849998474121094
2021-03-19,53.7599983215332
2021-03-22,53.349998474121094
2021-03-23,52.439998626708984
2021-03-24,53.16999816894531
2021-03-25,53.880001068115234
2021-03-26,55.02000045776367
2021-03-29,53.529998779296875
2021-03-30,53.599998474121094
2021-03-31,53.4900016784668
2021-04-01,55.79999923706055
2021-04-05,53.959999084472656
2021-04-06,53.68000030517578
2021-04-07,53.9900016784668
2021-04-08,53.36000061035156
2021-04-09,52.83000183105469
2021-04-12,52.209999084472656
2021-04-13,52.56999969482422
2021-04-14,53.869998931884766
2021-04-15,53.869998931884766
2021-04-16,54.2599983215332
2021-04-19,53.43000030517578
2021-04-20,52.04999923706055
2021-04-21,53.310001373291016
2021-04-22,52.060001373291016
2021-04-23,53.0
2021-04-26,53.27000045776367
2021-04-27,53.88999938964844
2021-04-28,55.439998626708984
2021-04-29,56.040000915527344
2021-04-30,55.650001525878906
2021-05-03,57.15999984741211
2021-05-04,57.29999923706055
2021-05-05,59.369998931884766
2021-05-06,59.459999084472656
2021-05-07,60.0
2021-05-10,59.810001373291016
2021-05-11,58.63999938964844
2021-05-12,58.970001220703125
2021-05-13,58.779998779296875
2021-05-14,60.08000183105469
2021-05-17,61.52000045776367
2021-05-18,60.33000183105469
2021-05-19,59.54999923706055
2021-05-20,59.66999816894531
2021-05-21,59.59000015258789
2021-05-24,60.72999954223633
2021-05-25,60.0099983215332
2021-05-26,60.79999923706055
2021-05-27,61.400001525878906
2021-05-28,61.79999923706055
2021-06-01,62.5
2021-06-02,62.97999954223633
2021-06-03,63.2599983215332
2021-06-04,63.66999816894531
2021-06-07,63.34000015258789
2021-06-08,64.08999633789062
2021-06-09,63.61000061035156
2021-06-10,63.439998626708984
2021-06-11,63.18000030517578
2021-06-14,62.9900016784668
2021-06-15,63.66999816894531
2021-06-16,63.279998779296875
2021-06-17,60.959999084472656
2021-06-18,58.869998931884766
2021-06-21,61.04999923706055
2021-06-22,61.34000015258789
2021-06-23,61.54999923706055
2021-06-24,62.34000015258789
2021-06-25,62.54999923706055
2021-06-28,60.5
2021-06-29,60.08000183105469
2021-06-30,60.41999816894531
2021-07-01,61.27000045776367
2021-07-02,61.06999969482422
2021-07-06,58.970001220703125
2021-07-07,57.95000076293945
2021-07-08,57.45000076293945
2021-07-09,58.68000030517578
2021-07-12,58.33000183105469
2021-07-13,57.400001525878906
2021-07-14,55.119998931884766
2021-07-15,54.25
2021-07-16,53.2599983215332
2021-07-19,50.880001068115234
2021-07-20,52.119998931884766
2021-07-21,54.08000183105469
2021-07-22,53.38999938964844
2021-07-23,53.43000030517578
2021-07-26,54.65999984741211
2021-07-27,54.34000015258789
2021-07-28,55.279998779296875
2021-07-29,55.93000030517578
2021-07-30,55.220001220703125
2021-08-02,54.459999084472656
2021-08-03,55.939998626708984
2021-08-04,54.380001068115234
2021-08-05,56.4900016784668
2021-08-06,57.40999984741211
2021-08-09,57.220001220703125
2021-08-10,58.47999954223633
2021-08-11,59.13999938964844
2021-08-12,59.540000915527344
2021-08-13,59.150001525878906
2021-08-16,58.380001068115234
2021-08-17,57.099998474121094
2021-08-18,56.279998779296875
2021-08-19,54.22999954223633
2021-08-20,54.77000045776367
2021-08-23,56.81999969482422
2021-08-24,57.959999084472656
2021-08-25,58.630001068115234
2021-08-26,58.09000015258789
2021-08-27,60.02000045776367
2021-08-30,58.93000030517578
2021-08-31,59.27000045776367
2021-09-01,57.25
2021-09-02,57.900001525878906
2021-09-03,58.2400016784668
2021-09-07,58.56999969482422
2021-09-08,57.11000061035156
2021-09-09,57.25
2021-09-10,56.869998931884766
2021-09-13,58.61000061035156
2021-09-14,57.560001373291016
2021-09-15,59.56999969482422
2021-09-16,59.099998474121094
2021-09-17,58.86000061035156
2021-09-20,57.130001068115234
2021-09-21,57.84000015258789
2021-09-22,59.90999984741211
2021-09-23,61.79999923706055
2021-09-24,61.88999938964844
2021-09-27,63.09000015258789
2021-09-28,62.5099983215332
2021-09-29,61.93000030517578
2021-09-30,61.810001373291016
2021-10-01,63.560001373291016
2021-10-04,63.02000045776367
2021-10-05,63.25
2021-10-06,62.86000061035156
2021-10-07,63.5
2021-10-08,65.16000366210938
2021-10-11,64.55999755859375
2021-10-12,64.73999786376953
2021-10-13,65.26000213623047
2021-10-14,66.68000030517578
2021-10-15,66.80000305175781
2021-10-18,66.4000015258789
2021-10-19,66.83000183105469
2021-10-20,67.20999908447266
2021-10-21,67.02999877929688
2021-10-22,67.5199966430664
2021-10-25,68.19999694824219
2021-10-26,68.47000122070312
2021-10-27,66.1500015258789
2021-10-28,66.66999816894531
2021-10-29,65.93000030517578
2021-11-01,67.26000213623047
2021-11-02,64.63999938964844
2021-11-03,63.68000030517578
2021-11-04,63.56999969482422
2021-11-05,65.80999755859375
2021-11-08,65.66999816894531
2021-11-09,67.12999725341797
2021-11-10,65.5199966430664
2021-11-11,66.0
2021-11-12,65.80000305175781
2021-11-15,66.12000274658203
2021-11-16,64.83999633789062
2021-11-17,63.58000183105469
2021-11-18,62.70000076293945
2021-11-19,60.279998779296875
2021-11-22,61.689998626708984
2021-11-23,63.849998474121094
2021-11-24,64.55000305175781
2021-11-26,61.349998474121094
2021-11-29,61.779998779296875
2021-11-30,60.849998474121094
2021-12-01,60.90999984741211
2021-12-02,63.33000183105469
2021-12-03,61.66999816894531
2021-12-06,62.86000061035156
2021-12-07,64.2300033569336
2021-12-08,64.05999755859375
2021-12-09,63.34000015258789
2021-12-10,63.689998626708984
2021-12-13,61.810001373291016
2021-12-14,62.45000076293945
2021-12-15,62.47999954223633
2021-12-16,62.77000045776367
2021-12-17,62.45000076293945
2021-12-20,60.90999984741211
2021-12-21,63.41999816894531
2021-12-22,63.099998474121094
2021-12-23,63.040000915527344
2021-12-27,64.08000183105469
2021-12-28,64.37000274658203
2021-12-29,63.95000076293945
2021-12-30,63.43000030517578
2021-12-31,63.9900016784668
2022-01-03,65.66000366210938
2022-01-04,67.80999755859375
2022-01-05,68.23999786376953
2022-01-06,70.1500015258789
2022-01-07,70.93000030517578
2022-01-10,70.44999694824219
2022-01-11,72.69000244140625
2022-01-12,73.08000183105469
2022-01-13,73.12000274658203
2022-01-14,74.73999786376953
2022-01-18,74.55000305175781
2022-01-19,73.3499984741211
2022-01-20,71.98999786376953
2022-01-21,70.69999694824219
2022-01-24,70.38999938964844
2022-01-25,71.5
2022-01-26,70.9800033569336
2022-01-27,71.9000015258789
2022-01-28,71.80000305175781
2022-01-31,71.75
2022-02-01,74.0199966430664
2022-02-02,78.5
2022-02-03,76.97000122070312
2022-02-04,78.19000244140625
2022-02-07,79.83000183105469
2022-02-08,79.29000091552734
2022-02-09,79.79000091552734
2022-02-10,79.73999786376953
2022-02-11,81.19000244140625
2022-02-14,79.16000366210938
2022-02-15,78.41000366210938
2022-02-16,78.05999755859375
2022-02-17,76.95999908447266
2022-02-18,77.0199966430664
2022-02-22,75.62999725341797
2022-02-23,75.72000122070312
2022-02-24,74.45999908447266
2022-02-25,76.54000091552734
2022-02-28,77.87000274658203
2022-03-01,75.01000213623047
2022-03-02,76.98999786376953
2022-03-03,77.37000274658203
2022-03-04,77.7300033569336
2022-03-07,74.54000091552734
2022-03-08,76.22000122070312
2022-03-09,75.43000030517578
2022-03-10,77.93000030517578
2022-03-11,78.51000213623047
2022-03-14,76.66000366210938
2022-03-15,74.4000015258789
2022-03-16,74.86000061035156
2022-03-17,77.1500015258789
2022-03-18,78.31999969482422
2022-03-21,79.9800033569336
2022-03-22,79.25
2022-03-23,80.45999908447266
2022-03-24,81.38999938964844
2022-03-25,82.2300033569336
2022-03-28,81.97000122070312
2022-03-29,83.13999938964844
2022-03-30,85.3499984741211
2022-03-31,85.5
2022-04-01,84.80999755859375
2022-04-04,85.06999969482422
2022-04-05,84.70999908447266
2022-04-06,85.56999969482422
2022-04-07,85.8499984741211
2022-04-08,86.9000015258789
2022-04-11,84.87999725341797
2022-04-12,85.80000305175781
2022-04-13,87.58999633789062
2022-04-14,87.19999694824219
2022-04-18,90.11000061035156
2022-04-19,90.44000244140625
2022-04-20,90.9800033569336
2022-04-21,88.73999786376953
2022-04-22,87.08000183105469
2022-04-25,84.26000213623047
2022-04-26,85.47000122070312
2022-04-27,87.25
2022-04-28,89.69000244140625
2022-04-29,87.26000213623047
2022-05-02,89.12000274658203
2022-05-03,92.6500015258789
2022-05-04,96.3499984741211
2022-05-05,94.0999984741211
2022-05-06,95.91999816894531
2022-05-09,90.86000061035156
2022-05-10,91.72000122070312
2022-05-11,91.95999908447266
2022-05-12,92.73999786376953
2022-05-13,95.87999725341797
2022-05-16,96.47000122070312
2022-05-17,97.55000305175781
2022-05-18,96.20999908447266
2022-05-19,95.76000213623047
2022-05-20,96.55999755859375
2022-05-23,96.91000366210938
2022-05-24,97.30000305175781
2022-05-25,99.0199966430664
2022-05-26,99.4800033569336
2022-05-27,102.0999984741211
2022-05-31,101.79000091552734
2022-06-01,103.91000366210938
2022-06-02,104.2699966430664
2022-06-03,105.62000274658203
2022-06-06,109.38999938964844
2022-06-07,113.6500015258789
2022-06-08,112.87000274658203
2022-06-09,111.36000061035156
2022-06-10,108.33999633789062
2022-06-13,102.16999816894531
2022-06-14,102.66999816894531
2022-06-15,98.9000015258789
2022-06-16,91.9800033569336
2022-06-17,87.29000091552734
2022-06-21,91.36000061035156
2022-06-22,89.05999755859375
2022-06-23,84.62999725341797
2022-06-24,85.68000030517578
2022-06-27,87.94000244140625
2022-06-28,88.69000244140625
2022-06-29,84.4800033569336
2022-06-30,82.20999908447266
2022-07-01,84.4800033569336
2022-07-05,81.73999786376953
2022-07-06,79.30999755859375
2022-07-07,83.43000030517578
2022-07-08,83.2699966430664
2022-07-11,83.62999725341797
2022-07-12,82.75
2022-07-13,81.94000244140625
2022-07-14,80.68000030517578
2022-07-15,84.41999816894531
2022-07-18,85.2300033569336
2022-07-19,87.8499984741211
2022-07-20,88.79000091552734
2022-07-21,86.44999694824219
2022-07-22,85.6500015258789
2022-07-25,88.80000305175781
2022-07-26,87.95999908447266
2022-07-27,89.9800033569336
2022-07-28,89.58999633789062
2022-07-29,91.66000366210938
2022-08-01,90.31999969482422
2022-08-02,93.62000274658203
2022-08-03,92.68000030517578
2022-08-04,90.16999816894531
2022-08-05,90.22000122070312
2022-08-08,90.38999938964844
2022-08-09,93.3499984741211
2022-08-10,95.18000030517578
2022-08-11,96.70999908447266
2022-08-12,97.47000122070312
2022-08-15,95.79000091552734
2022-08-16,96.6500015258789
2022-08-17,98.62000274658203
2022-08-18,100.79000091552734
2022-08-19,100.44999694824219
2022-08-22,100.41999816894531
2022-08-23,103.48999786376953
2022-08-24,104.77999877929688
2022-08-25,105.97000122070312
2022-08-26,104.33999633789062
2022-08-29,105.0
2022-08-30,101.5
2022-08-31,100.75
2022-09-01,96.76000213623047
2022-09-02,99.12999725341797
2022-09-06,98.45999908447266
2022-09-07,98.33999633789062
2022-09-08,98.44999694824219
2022-09-09,100.01000213623047
2022-09-12,99.94000244140625
2022-09-13,97.6500015258789
2022-09-14,98.31999969482422
2022-09-15,96.13999938964844
2022-09-16,95.6500015258789
2022-09-19,96.30000305175781
2022-09-20,97.19999694824219
2022-09-21,94.66999816894531
2022-09-22,95.9800033569336
2022-09-23,91.44999694824219
2022-09-26,89.54000091552734
2022-09-27,92.8499984741211
2022-09-28,100.08999633789062
2022-09-29,98.69999694824219
2022-09-30,99.33000183105469
2022-10-03,102.79000091552734
2022-10-04,107.72000122070312
2022-10-05,107.58000183105469
2022-10-06,107.86000061035156
2022-10-07,106.83999633789062
2022-10-10,106.05999755859375
2022-10-11,103.43000030517578
2022-10-12,104.95999908447266
2022-10-13,109.06999969482422
2022-10-14,104.0999984741211
2022-10-17,105.37000274658203
2022-10-18,108.16000366210938
2022-10-19,108.87000274658203
2022-10-20,109.33999633789062
2022-10-21,111.37999725341797
2022-10-24,111.45999908447266
2022-10-25,111.44000244140625
2022-10-26,113.12000274658203
2022-10-27,113.6500015258789
2022-10-28,113.56999969482422
2022-10-31,113.62000274658203
2022-11-01,119.19999694824219
2022-11-02,114.7300033569336
2022-11-03,118.19999694824219
2022-11-04,117.6500015258789
2022-11-07,119.5
2022-11-08,119.0999984741211
2022-11-09,115.86000061035156
2022-11-10,119.18000030517578
2022-11-11,121.2300033569336
2022-11-14,120.52999877929688
2022-11-15,120.0
2022-11-16,119.86000061035156
2022-11-17,120.4000015258789
2022-11-18,121.18000030517578
2022-11-21,120.30999755859375
2022-11-22,126.5999984741211
2022-11-23,125.5999984741211
2022-11-25,125.19999694824219
2022-11-28,121.91999816894531
2022-11-29,123.47000122070312
2022-11-30,121.80999755859375
2022-12-01,120.2300033569336
2022-12-02,118.2300033569336
2022-12-05,112.44999694824219
2022-12-06,109.29000091552734
2022-12-07,109.0
2022-12-08,108.8499984741211
2022-12-09,106.83000183105469
2022-12-12,111.20999908447266
2022-12-13,111.12000274658203
2022-12-14,110.94000244140625
2022-12-15,110.87000274658203
2022-12-16,109.75
2022-12-19,111.06999969482422
2022-12-20,113.01000213623047
2022-12-21,114.55000305175781
2022-12-22,111.6500015258789
2022-12-23,115.12000274658203
2022-12-27,116.81999969482422
2022-12-28,114.5199966430664
2022-12-29,116.18000030517578
2022-12-30,116.38999938964844
2023-01-03,110.91999816894531
2023-01-04,110.58000183105469
2023-01-05,115.7300033569336
2023-01-06,116.81999969482422
2023-01-09,115.76000213623047
2023-01-10,116.5
2023-01-11,117.5999984741211
2023-01-12,121.01000213623047
2023-01-13,121.93000030517578
2023-01-17,121.7699966430664
2023-01-18,121.30999755859375
2023-01-19,123.2300033569336
2023-01-20,125.72000122070312
2023-01-23,126.87999725341797
2023-01-24,130.2100067138672
2023-01-25,129.80999755859375
