Date,AWK
2019-10-16,121.62999725341797
2019-10-17,122.41999816894531
2019-10-18,122.41000366210938
2019-10-21,122.30000305175781
2019-10-22,122.38999938964844
2019-10-23,121.94000244140625
2019-10-24,122.30999755859375
2019-10-25,121.11000061035156
2019-10-28,119.55999755859375
2019-10-29,119.58999633789062
2019-10-30,120.97000122070312
2019-10-31,123.2699966430664
2019-11-01,122.77999877929688
2019-11-04,120.05000305175781
2019-11-05,120.08999633789062
2019-11-06,121.58999633789062
2019-11-07,118.1500015258789
2019-11-08,116.30000305175781
2019-11-11,115.58999633789062
2019-11-12,115.37999725341797
2019-11-13,116.93000030517578
2019-11-14,117.8499984741211
2019-11-15,118.23999786376953
2019-11-18,118.68000030517578
2019-11-19,119.12999725341797
2019-11-20,120.56999969482422
2019-11-21,119.33999633789062
2019-11-22,119.04000091552734
2019-11-25,119.30999755859375
2019-11-26,121.02999877929688
2019-11-27,121.2699966430664
2019-11-29,121.02999877929688
2019-12-02,120.30000305175781
2019-12-03,121.19000244140625
2019-12-04,122.48999786376953
2019-12-05,123.37999725341797
2019-12-06,122.66999816894531
2019-12-09,122.4800033569336
2019-12-10,122.3499984741211
2019-12-11,120.9000015258789
2019-12-12,118.43000030517578
2019-12-13,119.19999694824219
2019-12-16,120.9000015258789
2019-12-17,120.9000015258789
2019-12-18,121.2300033569336
2019-12-19,121.66000366210938
2019-12-20,122.72000122070312
2019-12-23,121.38999938964844
2019-12-24,121.62000274658203
2019-12-26,121.87999725341797
2019-12-27,122.95999908447266
2019-12-30,123.05000305175781
2019-12-31,122.8499984741211
2020-01-02,120.19999694824219
2020-01-03,120.9800033569336
2020-01-06,120.75
2020-01-07,120.0
2020-01-08,120.48999786376953
2020-01-09,122.12999725341797
2020-01-10,122.55999755859375
2020-01-13,123.73999786376953
2020-01-14,124.56999969482422
2020-01-15,126.87999725341797
2020-01-16,128.57000732421875
2020-01-17,130.44000244140625
2020-01-21,133.22000122070312
2020-01-22,134.0500030517578
2020-01-23,135.2899932861328
2020-01-24,135.77999877929688
2020-01-27,135.25
2020-01-28,135.8000030517578
2020-01-29,136.0399932861328
2020-01-30,136.77000427246094
2020-01-31,136.1999969482422
2020-02-03,136.52000427246094
2020-02-04,134.83999633789062
2020-02-05,135.07000732421875
2020-02-06,135.0
2020-02-07,134.4499969482422
2020-02-10,135.2100067138672
2020-02-11,135.33999633789062
2020-02-12,135.6999969482422
2020-02-13,136.9499969482422
2020-02-14,139.32000732421875
2020-02-18,139.25999450683594
2020-02-19,138.6999969482422
2020-02-20,137.3000030517578
2020-02-21,137.77000427246094
2020-02-24,136.52999877929688
2020-02-25,133.08999633789062
2020-02-26,133.0399932861328
2020-02-27,127.77999877929688
2020-02-28,123.66000366210938
2020-03-02,130.83999633789062
2020-03-03,131.4199981689453
2020-03-04,140.30999755859375
2020-03-05,139.36000061035156
2020-03-06,141.0
2020-03-09,137.19000244140625
2020-03-10,137.7100067138672
2020-03-11,129.6699981689453
2020-03-12,117.97000122070312
2020-03-13,128.2899932861328
2020-03-16,118.80999755859375
2020-03-17,138.5
2020-03-18,130.0800018310547
2020-03-19,115.12000274658203
2020-03-20,100.69000244140625
2020-03-23,97.06999969482422
2020-03-24,103.94999694824219
2020-03-25,110.44999694824219
2020-03-26,119.31999969482422
2020-03-27,120.7699966430664
2020-03-30,126.72000122070312
2020-03-31,119.55999755859375
2020-04-01,112.80000305175781
2020-04-02,117.63999938964844
2020-04-03,113.31999969482422
2020-04-06,121.5199966430664
2020-04-07,118.2699966430664
2020-04-08,125.3499984741211
2020-04-09,131.75
2020-04-13,127.23999786376953
2020-04-14,133.61000061035156
2020-04-15,129.2100067138672
2020-04-16,131.24000549316406
2020-04-17,131.75999450683594
2020-04-20,126.45999908447266
2020-04-21,125.43000030517578
2020-04-22,127.88999938964844
2020-04-23,124.68000030517578
2020-04-24,125.01000213623047
2020-04-27,125.75
2020-04-28,126.5199966430664
2020-04-29,125.72000122070312
2020-04-30,121.69000244140625
2020-05-01,119.19999694824219
2020-05-04,121.45999908447266
2020-05-05,123.43000030517578
2020-05-06,117.77999877929688
2020-05-07,119.08000183105469
2020-05-08,118.02999877929688
2020-05-11,119.48999786376953
2020-05-12,117.06999969482422
2020-05-13,116.51000213623047
2020-05-14,116.2699966430664
2020-05-15,117.76000213623047
2020-05-18,122.51000213623047
2020-05-19,120.16999816894531
2020-05-20,120.5999984741211
2020-05-21,120.62000274658203
2020-05-22,120.70999908447266
2020-05-26,120.73999786376953
2020-05-27,120.54000091552734
2020-05-28,123.72000122070312
2020-05-29,127.0
2020-06-01,127.7699966430664
2020-06-02,130.08999633789062
2020-06-03,132.35000610351562
2020-06-04,130.6999969482422
2020-06-05,131.55999755859375
2020-06-08,132.5
2020-06-09,130.6999969482422
2020-06-10,131.05999755859375
2020-06-11,127.5
2020-06-12,127.29000091552734
2020-06-15,129.22000122070312
2020-06-16,129.66000366210938
2020-06-17,129.86000061035156
2020-06-18,129.1699981689453
2020-06-19,126.36000061035156
2020-06-22,126.83000183105469
2020-06-23,125.22000122070312
2020-06-24,124.4000015258789
2020-06-25,122.22000122070312
2020-06-26,124.08000183105469
2020-06-29,125.37000274658203
2020-06-30,128.66000366210938
2020-07-01,130.6199951171875
2020-07-02,131.05999755859375
2020-07-06,131.0399932861328
2020-07-07,130.30999755859375
2020-07-08,131.75999450683594
2020-07-09,130.69000244140625
2020-07-10,133.38999938964844
2020-07-13,132.97000122070312
2020-07-14,134.83999633789062
2020-07-15,134.05999755859375
2020-07-16,138.32000732421875
2020-07-17,141.22000122070312
2020-07-20,139.7100067138672
2020-07-21,141.17999267578125
2020-07-22,143.7899932861328
2020-07-23,144.88999938964844
2020-07-24,144.52000427246094
2020-07-27,144.3300018310547
2020-07-28,145.36000061035156
2020-07-29,147.99000549316406
2020-07-30,146.6300048828125
2020-07-31,147.27000427246094
2020-08-03,147.05999755859375
2020-08-04,147.5
2020-08-05,147.25
2020-08-06,146.97000122070312
2020-08-07,149.7899932861328
2020-08-10,149.11000061035156
2020-08-11,142.4199981689453
2020-08-12,145.8699951171875
2020-08-13,146.50999450683594
2020-08-14,145.30999755859375
2020-08-17,146.55999755859375
2020-08-18,146.0
2020-08-19,143.9199981689453
2020-08-20,144.27999877929688
2020-08-21,143.63999938964844
2020-08-24,143.8800048828125
2020-08-25,143.52999877929688
2020-08-26,140.89999389648438
2020-08-27,141.3699951171875
2020-08-28,140.7899932861328
2020-08-31,141.33999633789062
2020-09-01,140.1699981689453
2020-09-02,144.14999389648438
2020-09-03,142.47999572753906
2020-09-04,143.1699981689453
2020-09-08,140.77000427246094
2020-09-09,143.1999969482422
2020-09-10,140.77000427246094
2020-09-11,141.10000610351562
2020-09-14,142.8800048828125
2020-09-15,143.58999633789062
2020-09-16,142.77000427246094
2020-09-17,141.02000427246094
2020-09-18,138.27999877929688
2020-09-21,139.72000122070312
2020-09-22,140.1699981689453
2020-09-23,138.0500030517578
2020-09-24,140.66000366210938
2020-09-25,144.22999572753906
2020-09-28,144.5500030517578
2020-09-29,143.6999969482422
2020-09-30,144.8800048828125
2020-10-01,148.57000732421875
2020-10-02,148.9600067138672
2020-10-05,151.88999938964844
2020-10-06,152.49000549316406
2020-10-07,154.50999450683594
2020-10-08,155.85000610351562
2020-10-09,155.75
2020-10-12,158.32000732421875
2020-10-13,156.0800018310547
2020-10-14,155.75999450683594
2020-10-15,155.86000061035156
2020-10-16,155.72000122070312
2020-10-19,154.52000427246094
2020-10-20,153.14999389648438
2020-10-21,152.25
2020-10-22,153.61000061035156
2020-10-23,154.0800018310547
2020-10-26,154.00999450683594
2020-10-27,154.6199951171875
2020-10-28,153.0
2020-10-29,152.16000366210938
2020-10-30,150.50999450683594
2020-11-02,154.3000030517578
2020-11-03,157.10000610351562
2020-11-04,155.41000366210938
2020-11-05,158.2100067138672
2020-11-06,161.1300048828125
2020-11-09,162.3300018310547
2020-11-10,163.50999450683594
2020-11-11,164.3699951171875
2020-11-12,161.41000366210938
2020-11-13,161.30999755859375
2020-11-16,165.5500030517578
2020-11-17,159.2899932861328
2020-11-18,156.19000244140625
2020-11-19,156.64999389648438
2020-11-20,157.7100067138672
2020-11-23,155.22000122070312
2020-11-24,153.1999969482422
2020-11-25,153.1300048828125
2020-11-27,153.72999572753906
2020-11-30,153.3800048828125
2020-12-01,154.3000030517578
2020-12-02,154.8300018310547
2020-12-03,152.47999572753906
2020-12-04,148.89999389648438
2020-12-07,150.32000732421875
2020-12-08,149.35000610351562
2020-12-09,148.47000122070312
2020-12-10,148.07000732421875
2020-12-11,148.27999877929688
2020-12-14,148.5500030517578
2020-12-15,152.99000549316406
2020-12-16,150.3699951171875
2020-12-17,151.86000061035156
2020-12-18,150.24000549316406
2020-12-21,149.11000061035156
2020-12-22,148.05999755859375
2020-12-23,147.41000366210938
2020-12-24,149.13999938964844
2020-12-28,149.64999389648438
2020-12-29,150.72999572753906
2020-12-30,150.6300048828125
2020-12-31,153.47000122070312
2021-01-04,150.24000549316406
2021-01-05,151.08999633789062
2021-01-06,152.36000061035156
2021-01-07,152.1300048828125
2021-01-08,156.97999572753906
2021-01-11,156.63999938964844
2021-01-12,156.22999572753906
2021-01-13,159.69000244140625
2021-01-14,158.0
2021-01-15,159.72000122070312
2021-01-19,159.27000427246094
2021-01-20,163.39999389648438
2021-01-21,160.89999389648438
2021-01-22,160.91000366210938
2021-01-25,161.2100067138672
2021-01-26,159.30999755859375
2021-01-27,156.72000122070312
2021-01-28,159.7899932861328
2021-01-29,159.02000427246094
2021-02-01,161.52000427246094
2021-02-02,163.32000732421875
2021-02-03,164.11000061035156
2021-02-04,164.02000427246094
