Date,AVB
2019-11-06,212.2899932861328
2019-11-07,209.13999938964844
2019-11-08,209.85000610351562
2019-11-11,210.47999572753906
2019-11-12,208.99000549316406
2019-11-13,211.58999633789062
2019-11-14,212.6199951171875
2019-11-15,214.52999877929688
2019-11-18,215.27000427246094
2019-11-19,217.05999755859375
2019-11-20,216.36000061035156
2019-11-21,212.69000244140625
2019-11-22,211.27999877929688
2019-11-25,212.14999389648438
2019-11-26,215.61000061035156
2019-11-27,215.57000732421875
2019-11-29,214.41000366210938
2019-12-02,211.1999969482422
2019-12-03,213.5
2019-12-04,215.32000732421875
2019-12-05,215.91000366210938
2019-12-06,215.94000244140625
2019-12-09,215.91000366210938
2019-12-10,215.27999877929688
2019-12-11,212.07000732421875
2019-12-12,209.16000366210938
2019-12-13,208.63999938964844
2019-12-16,209.3699951171875
2019-12-17,206.63999938964844
2019-12-18,207.47000122070312
2019-12-19,207.74000549316406
2019-12-20,208.00999450683594
2019-12-23,207.08999633789062
2019-12-24,207.94000244140625
2019-12-26,208.32000732421875
2019-12-27,208.83999633789062
2019-12-30,207.6199951171875
2019-12-31,209.6999969482422
2020-01-02,207.24000549316406
2020-01-03,209.22999572753906
2020-01-06,209.5800018310547
2020-01-07,205.02000427246094
2020-01-08,205.8699951171875
2020-01-09,206.35000610351562
2020-01-10,208.4499969482422
2020-01-13,211.02000427246094
2020-01-14,209.50999450683594
2020-01-15,211.89999389648438
2020-01-16,214.88999938964844
2020-01-17,216.07000732421875
2020-01-21,219.3000030517578
2020-01-22,216.63999938964844
2020-01-23,218.49000549316406
2020-01-24,219.3300018310547
2020-01-27,218.86000061035156
2020-01-28,219.27000427246094
2020-01-29,216.6199951171875
2020-01-30,218.00999450683594
2020-01-31,216.69000244140625
2020-02-03,216.69000244140625
2020-02-04,218.77000427246094
2020-02-05,217.61000061035156
2020-02-06,219.1300048828125
2020-02-07,219.1699981689453
2020-02-10,221.75
2020-02-11,222.8800048828125
2020-02-12,224.38999938964844
2020-02-13,225.58999633789062
2020-02-14,227.52999877929688
2020-02-18,228.07000732421875
2020-02-19,225.8000030517578
2020-02-20,227.14999389648438
2020-02-21,228.02000427246094
2020-02-24,225.7899932861328
2020-02-25,221.41000366210938
2020-02-26,221.22000122070312
2020-02-27,207.6699981689453
2020-02-28,200.58999633789062
2020-03-02,209.6699981689453
