Date,VTRS
2021-04-29,13.359999656677246
2021-04-30,13.300000190734863
2021-05-03,13.5
2021-05-04,13.399999618530273
2021-05-05,13.640000343322754
2021-05-06,13.930000305175781
2021-05-07,14.079999923706055
2021-05-10,15.039999961853027
2021-05-11,15.140000343322754
2021-05-12,15.720000267028809
2021-05-13,15.930000305175781
2021-05-14,16.0
2021-05-17,16.149999618530273
2021-05-18,16.049999237060547
2021-05-19,15.5
2021-05-20,15.59000015258789
2021-05-21,15.3100004196167
2021-05-24,15.359999656677246
2021-05-25,14.979999542236328
2021-05-26,15.15999984741211
2021-05-27,15.140000343322754
2021-05-28,15.239999771118164
2021-06-01,15.260000228881836
2021-06-02,15.460000038146973
2021-06-03,15.40999984741211
2021-06-04,15.390000343322754
2021-06-07,15.390000343322754
2021-06-08,15.489999771118164
2021-06-09,15.449999809265137
2021-06-10,15.789999961853027
2021-06-11,15.729999542236328
2021-06-14,15.630000114440918
2021-06-15,15.300000190734863
2021-06-16,15.220000267028809
2021-06-17,14.670000076293945
2021-06-18,14.260000228881836
2021-06-21,14.350000381469727
2021-06-22,14.220000267028809
2021-06-23,14.170000076293945
2021-06-24,14.359999656677246
2021-06-25,14.569999694824219
2021-06-28,14.380000114440918
2021-06-29,14.520000457763672
2021-06-30,14.289999961853027
2021-07-01,14.75
2021-07-02,14.710000038146973
2021-07-06,14.1899995803833
2021-07-07,14.029999732971191
2021-07-08,13.779999732971191
2021-07-09,14.3100004196167
2021-07-12,14.180000305175781
2021-07-13,13.920000076293945
2021-07-14,14.069999694824219
2021-07-15,13.880000114440918
2021-07-16,13.760000228881836
2021-07-19,13.600000381469727
2021-07-20,13.890000343322754
2021-07-21,14.0600004196167
2021-07-22,13.850000381469727
2021-07-23,13.920000076293945
2021-07-26,13.84000015258789
2021-07-27,13.90999984741211
2021-07-28,14.229999542236328
2021-07-29,14.289999961853027
2021-07-30,14.069999694824219
2021-08-02,14.229999542236328
2021-08-03,14.1899995803833
2021-08-04,13.760000228881836
2021-08-05,13.930000305175781
2021-08-06,14.25
2021-08-09,15.100000381469727
2021-08-10,15.109999656677246
2021-08-11,14.819999694824219
2021-08-12,14.949999809265137
2021-08-13,14.949999809265137
2021-08-16,14.90999984741211
2021-08-17,14.770000457763672
2021-08-18,14.789999961853027
2021-08-19,14.729999542236328
2021-08-20,14.6899995803833
2021-08-23,14.760000228881836
2021-08-24,14.65999984741211
2021-08-25,14.520000457763672
2021-08-26,14.289999961853027
2021-08-27,14.369999885559082
2021-08-30,14.40999984741211
2021-08-31,14.630000114440918
2021-09-01,14.59000015258789
2021-09-02,15.130000114440918
2021-09-03,14.890000343322754
2021-09-07,14.65999984741211
2021-09-08,14.550000190734863
2021-09-09,14.289999961853027
2021-09-10,13.800000190734863
2021-09-13,13.920000076293945
2021-09-14,13.680000305175781
2021-09-15,13.729999542236328
2021-09-16,13.6899995803833
2021-09-17,13.569999694824219
2021-09-20,13.329999923706055
2021-09-21,13.279999732971191
2021-09-22,13.25
2021-09-23,13.34000015258789
2021-09-24,13.380000114440918
2021-09-27,13.819999694824219
2021-09-28,13.699999809265137
2021-09-29,13.859999656677246
2021-09-30,13.550000190734863
2021-10-01,13.600000381469727
2021-10-04,13.430000305175781
2021-10-05,13.5
2021-10-06,13.4399995803833
2021-10-07,13.630000114440918
2021-10-08,13.630000114440918
2021-10-11,13.609999656677246
2021-10-12,13.460000038146973
2021-10-13,13.369999885559082
2021-10-14,13.479999542236328
2021-10-15,13.460000038146973
2021-10-18,13.489999771118164
2021-10-19,13.569999694824219
2021-10-20,13.989999771118164
2021-10-21,14.010000228881836
2021-10-22,13.9399995803833
2021-10-25,13.800000190734863
2021-10-26,13.479999542236328
2021-10-27,13.100000381469727
2021-10-28,13.329999923706055
2021-10-29,13.350000381469727
2021-11-01,13.819999694824219
2021-11-02,13.829999923706055
2021-11-03,13.899999618530273
2021-11-04,13.680000305175781
2021-11-05,13.729999542236328
2021-11-08,14.680000305175781
2021-11-09,14.569999694824219
2021-11-10,14.539999961853027
2021-11-11,14.460000038146973
2021-11-12,14.109999656677246
2021-11-15,13.899999618530273
2021-11-16,13.880000114440918
2021-11-17,13.649999618530273
2021-11-18,13.390000343322754
2021-11-19,13.079999923706055
2021-11-22,13.119999885559082
2021-11-23,13.15999984741211
2021-11-24,13.050000190734863
2021-11-26,12.75
2021-11-29,12.520000457763672
2021-11-30,12.3100004196167
2021-12-01,12.09000015258789
2021-12-02,12.199999809265137
2021-12-03,12.199999809265137
2021-12-06,12.4399995803833
2021-12-07,12.399999618530273
2021-12-08,12.430000305175781
2021-12-09,12.59000015258789
2021-12-10,12.699999809265137
2021-12-13,12.550000190734863
2021-12-14,12.8100004196167
2021-12-15,12.6899995803833
2021-12-16,13.020000457763672
2021-12-17,13.029999732971191
2021-12-20,12.760000228881836
2021-12-21,13.09000015258789
2021-12-22,13.25
2021-12-23,13.630000114440918
2021-12-27,13.670000076293945
2021-12-28,13.640000343322754
2021-12-29,13.5600004196167
2021-12-30,13.550000190734863
2021-12-31,13.529999732971191
2022-01-03,14.210000038146973
2022-01-04,14.369999885559082
2022-01-05,14.4399995803833
2022-01-06,14.5
2022-01-07,14.739999771118164
2022-01-10,15.010000228881836
2022-01-11,15.319999694824219
2022-01-12,15.170000076293945
2022-01-13,15.020000457763672
2022-01-14,15.220000267028809
2022-01-18,15.0600004196167
2022-01-19,14.720000267028809
2022-01-20,14.640000343322754
2022-01-21,14.529999732971191
2022-01-24,14.359999656677246
2022-01-25,14.680000305175781
2022-01-26,14.619999885559082
2022-01-27,14.59000015258789
2022-01-28,14.630000114440918
2022-01-31,14.970000267028809
2022-02-01,15.069999694824219
2022-02-02,15.300000190734863
2022-02-03,15.130000114440918
2022-02-04,15.130000114440918
2022-02-07,15.260000228881836
2022-02-08,15.220000267028809
2022-02-09,15.399999618530273
2022-02-10,15.369999885559082
2022-02-11,15.170000076293945
2022-02-14,15.029999732971191
2022-02-15,15.319999694824219
2022-02-16,15.25
2022-02-17,14.829999923706055
2022-02-18,14.710000038146973
2022-02-22,14.550000190734863
2022-02-23,14.319999694824219
2022-02-24,13.930000305175781
2022-02-25,14.539999961853027
2022-02-28,11.010000228881836
2022-03-01,10.149999618530273
2022-03-02,10.479999542236328
2022-03-03,10.40999984741211
2022-03-04,10.199999809265137
2022-03-07,9.880000114440918
2022-03-08,9.949999809265137
2022-03-09,10.279999732971191
2022-03-10,10.119999885559082
2022-03-11,10.020000457763672
2022-03-14,9.8100004196167
2022-03-15,9.960000038146973
2022-03-16,10.390000343322754
2022-03-17,10.640000343322754
2022-03-18,10.65999984741211
2022-03-21,10.770000457763672
2022-03-22,10.850000381469727
2022-03-23,10.880000114440918
2022-03-24,10.949999809265137
2022-03-25,11.1899995803833
2022-03-28,10.899999618530273
2022-03-29,11.180000305175781
2022-03-30,10.989999771118164
2022-03-31,10.880000114440918
2022-04-01,10.819999694824219
2022-04-04,10.850000381469727
2022-04-05,10.670000076293945
2022-04-06,10.6899995803833
2022-04-07,10.8100004196167
2022-04-08,11.039999961853027
2022-04-11,10.699999809265137
2022-04-12,10.670000076293945
2022-04-13,10.989999771118164
2022-04-14,10.960000038146973
2022-04-18,10.710000038146973
2022-04-19,10.920000076293945
2022-04-20,10.84000015258789
2022-04-21,10.649999618530273
2022-04-22,10.279999732971191
2022-04-25,10.390000343322754
2022-04-26,10.289999961853027
2022-04-27,10.359999656677246
2022-04-28,10.489999771118164
2022-04-29,10.329999923706055
2022-05-02,10.210000038146973
2022-05-03,10.399999618530273
2022-05-04,10.520000457763672
2022-05-05,10.050000190734863
2022-05-06,9.949999809265137
2022-05-09,10.479999542236328
2022-05-10,10.460000038146973
2022-05-11,10.390000343322754
2022-05-12,10.850000381469727
2022-05-13,11.079999923706055
2022-05-16,11.140000343322754
2022-05-17,11.470000267028809
2022-05-18,11.270000457763672
2022-05-19,11.6899995803833
2022-05-20,11.800000190734863
2022-05-23,11.630000114440918
2022-05-24,11.529999732971191
2022-05-25,11.84000015258789
2022-05-26,12.010000228881836
2022-05-27,12.25
2022-05-31,12.270000457763672
2022-06-01,12.069999694824219
2022-06-02,12.109999656677246
2022-06-03,11.710000038146973
2022-06-06,11.770000457763672
2022-06-07,11.890000343322754
2022-06-08,11.859999656677246
2022-06-09,11.619999885559082
2022-06-10,11.199999809265137
2022-06-13,10.770000457763672
2022-06-14,10.319999694824219
2022-06-15,10.699999809265137
2022-06-16,10.279999732971191
2022-06-17,10.460000038146973
2022-06-21,10.600000381469727
2022-06-22,10.630000114440918
