Date,TYL
2021-01-28,430.0
2021-01-29,422.7900085449219
2021-02-01,426.7799987792969
2021-02-02,429.6600036621094
2021-02-03,427.55999755859375
2021-02-04,424.8999938964844
2021-02-05,422.1199951171875
2021-02-08,427.4200134277344
2021-02-09,423.1199951171875
2021-02-10,450.6199951171875
2021-02-11,466.04998779296875
2021-02-12,474.7900085449219
2021-02-16,471.7300109863281
2021-02-17,469.0400085449219
2021-02-18,470.989990234375
2021-02-19,473.8800048828125
2021-02-22,459.6199951171875
2021-02-23,462.1199951171875
2021-02-24,473.19000244140625
2021-02-25,461.30999755859375
2021-02-26,463.4200134277344
2021-03-01,477.04998779296875
2021-03-02,464.45001220703125
2021-03-03,439.20001220703125
2021-03-04,379.55999755859375
2021-03-05,401.05999755859375
2021-03-08,398.2799987792969
2021-03-09,403.3500061035156
2021-03-10,400.82000732421875
2021-03-11,411.8699951171875
2021-03-12,411.82000732421875
2021-03-15,425.0199890136719
2021-03-16,424.7200012207031
2021-03-17,423.3699951171875
2021-03-18,417.9800109863281
2021-03-19,420.0400085449219
2021-03-22,420.70001220703125
2021-03-23,420.6099853515625
2021-03-24,411.3299865722656
2021-03-25,411.7200012207031
2021-03-26,419.4800109863281
2021-03-29,417.8699951171875
2021-03-30,414.2099914550781
2021-03-31,424.5299987792969
2021-04-01,431.82000732421875
2021-04-05,437.1499938964844
2021-04-06,435.260009765625
2021-04-07,432.07000732421875
2021-04-08,437.010009765625
2021-04-09,442.6700134277344
2021-04-12,437.1099853515625
2021-04-13,444.6600036621094
2021-04-14,443.260009765625
2021-04-15,449.42999267578125
2021-04-16,448.20001220703125
2021-04-19,445.9599914550781
2021-04-20,446.1400146484375
2021-04-21,451.989990234375
2021-04-22,451.3500061035156
2021-04-23,451.5
2021-04-26,454.8800048828125
2021-04-27,447.1400146484375
2021-04-28,440.79998779296875
2021-04-29,426.5899963378906
2021-04-30,424.8599853515625
2021-05-03,428.6499938964844
2021-05-04,415.0299987792969
2021-05-05,400.9800109863281
2021-05-06,403.0199890136719
2021-05-07,399.8699951171875
2021-05-10,392.2200012207031
2021-05-11,394.0199890136719
2021-05-12,388.0
2021-05-13,387.2900085449219
2021-05-14,398.95001220703125
2021-05-17,391.739990234375
2021-05-18,396.5899963378906
2021-05-19,395.70001220703125
2021-05-20,403.5199890136719
2021-05-21,401.8800048828125
2021-05-24,403.8299865722656
2021-05-25,404.1199951171875
2021-05-26,405.07000732421875
2021-05-27,408.05999755859375
2021-05-28,403.1600036621094
2021-06-01,402.0
2021-06-02,400.989990234375
2021-06-03,395.2900085449219
2021-06-04,403.2200012207031
2021-06-07,407.54998779296875
2021-06-08,413.1700134277344
2021-06-09,416.30999755859375
2021-06-10,424.5199890136719
2021-06-11,430.7900085449219
2021-06-14,437.04998779296875
2021-06-15,428.75
2021-06-16,430.9800109863281
2021-06-17,443.260009765625
2021-06-18,440.2099914550781
2021-06-21,446.25
2021-06-22,445.3500061035156
2021-06-23,443.45001220703125
2021-06-24,446.04998779296875
2021-06-25,453.29998779296875
2021-06-28,453.05999755859375
2021-06-29,455.7300109863281
2021-06-30,452.3699951171875
2021-07-01,459.1400146484375
2021-07-02,464.42999267578125
2021-07-06,471.4599914550781
2021-07-07,473.8999938964844
2021-07-08,474.17999267578125
2021-07-09,478.8399963378906
2021-07-12,477.260009765625
2021-07-13,476.8999938964844
2021-07-14,473.5400085449219
2021-07-15,475.5
2021-07-16,473.42999267578125
2021-07-19,481.94000244140625
2021-07-20,487.2900085449219
2021-07-21,485.67999267578125
2021-07-22,493.80999755859375
2021-07-23,497.8500061035156
2021-07-26,494.3900146484375
2021-07-27,492.75
2021-07-28,495.6700134277344
2021-07-29,491.3699951171875
2021-07-30,492.6400146484375
2021-08-02,491.739990234375
2021-08-03,490.8399963378906
2021-08-04,489.2200012207031
2021-08-05,493.989990234375
2021-08-06,494.010009765625
2021-08-09,488.2200012207031
2021-08-10,477.3500061035156
2021-08-11,476.07000732421875
2021-08-12,477.04998779296875
2021-08-13,477.7799987792969
2021-08-16,476.4700012207031
2021-08-17,472.239990234375
2021-08-18,465.3399963378906
2021-08-19,470.4599914550781
2021-08-20,472.67999267578125
2021-08-23,474.4800109863281
2021-08-24,471.55999755859375
2021-08-25,475.80999755859375
2021-08-26,474.6300048828125
2021-08-27,476.1700134277344
2021-08-30,477.2799987792969
2021-08-31,485.70001220703125
2021-09-01,487.3800048828125
2021-09-02,486.4599914550781
2021-09-03,488.1000061035156
2021-09-07,483.7699890136719
2021-09-08,482.80999755859375
2021-09-09,477.489990234375
2021-09-10,471.67999267578125
2021-09-13,465.7900085449219
2021-09-14,467.9700012207031
2021-09-15,466.4100036621094
2021-09-16,467.760009765625
2021-09-17,467.55999755859375
2021-09-20,460.0799865722656
2021-09-21,462.05999755859375
2021-09-22,467.9100036621094
2021-09-23,482.42999267578125
2021-09-24,482.510009765625
2021-09-27,468.260009765625
2021-09-28,453.1000061035156
2021-09-29,454.9800109863281
2021-09-30,458.6499938964844
2021-10-01,464.3299865722656
2021-10-04,456.010009765625
2021-10-05,459.010009765625
2021-10-06,464.42999267578125
2021-10-07,470.69000244140625
2021-10-08,475.9100036621094
2021-10-11,475.80999755859375
2021-10-12,479.1199951171875
2021-10-13,486.989990234375
2021-10-14,499.4100036621094
2021-10-15,503.5799865722656
2021-10-18,505.3500061035156
2021-10-19,506.07000732421875
2021-10-20,511.8999938964844
2021-10-21,516.7000122070312
2021-10-22,527.7899780273438
2021-10-25,532.4099731445312
2021-10-26,529.7899780273438
2021-10-27,525.3599853515625
2021-10-28,536.8599853515625
2021-10-29,543.219970703125
2021-11-01,541.0700073242188
2021-11-02,541.8900146484375
2021-11-03,544.9000244140625
2021-11-04,539.6400146484375
2021-11-05,533.0999755859375
2021-11-08,541.760009765625
2021-11-09,541.77001953125
2021-11-10,534.1300048828125
2021-11-11,543.8599853515625
2021-11-12,550.1900024414062
2021-11-15,551.280029296875
2021-11-16,552.1400146484375
2021-11-17,542.0399780273438
2021-11-18,540.989990234375
2021-11-19,547.8800048828125
2021-11-22,539.989990234375
2021-11-23,517.719970703125
2021-11-24,514.530029296875
2021-11-26,501.42999267578125
2021-11-29,521.280029296875
2021-11-30,518.97998046875
2021-12-01,501.8699951171875
2021-12-02,518.1500244140625
2021-12-03,501.54998779296875
2021-12-06,507.7300109863281
2021-12-07,524.0599975585938
2021-12-08,529.969970703125
2021-12-09,513.219970703125
2021-12-10,515.0800170898438
2021-12-13,515.010009765625
2021-12-14,505.82000732421875
2021-12-15,519.6400146484375
2021-12-16,503.4100036621094
2021-12-17,501.6700134277344
2021-12-20,500.0400085449219
2021-12-21,519.3599853515625
2021-12-22,525.780029296875
2021-12-23,523.1099853515625
2021-12-27,532.5999755859375
2021-12-28,531.1900024414062
2021-12-29,534.6300048828125
2021-12-30,538.1199951171875
2021-12-31,537.9500122070312
2022-01-03,523.8499755859375
2022-01-04,520.47998046875
2022-01-05,492.5899963378906
2022-01-06,493.6000061035156
2022-01-07,483.5899963378906
2022-01-10,486.4100036621094
2022-01-11,505.0
2022-01-12,504.1099853515625
2022-01-13,480.4200134277344
2022-01-14,480.5199890136719
2022-01-18,465.94000244140625
2022-01-19,466.739990234375
2022-01-20,458.67999267578125
2022-01-21,454.5299987792969
2022-01-24,466.82000732421875
2022-01-25,446.1400146484375
2022-01-26,437.2300109863281
2022-01-27,433.20001220703125
2022-01-28,450.5199890136719
2022-01-31,473.79998779296875
2022-02-01,475.3500061035156
2022-02-02,470.7099914550781
2022-02-03,461.3900146484375
2022-02-04,470.75
2022-02-07,471.75
2022-02-08,472.0400085449219
2022-02-09,491.07000732421875
2022-02-10,483.2099914550781
2022-02-11,467.6700134277344
2022-02-14,467.2799987792969
2022-02-15,477.1300048828125
2022-02-16,469.739990234375
2022-02-17,428.6199951171875
2022-02-18,411.2799987792969
2022-02-22,408.3299865722656
2022-02-23,397.3900146484375
2022-02-24,425.2900085449219
2022-02-25,429.9200134277344
2022-02-28,428.260009765625
2022-03-01,422.3299865722656
2022-03-02,427.4100036621094
2022-03-03,420.4700012207031
2022-03-04,416.67999267578125
2022-03-07,408.2300109863281
2022-03-08,404.1400146484375
2022-03-09,418.6499938964844
2022-03-10,408.1300048828125
2022-03-11,398.30999755859375
2022-03-14,391.5199890136719
2022-03-15,403.3299865722656
2022-03-16,415.07000732421875
2022-03-17,423.7900085449219
2022-03-18,435.989990234375
2022-03-21,435.55999755859375
2022-03-22,441.3299865722656
2022-03-23,428.0199890136719
2022-03-24,436.6000061035156
2022-03-25,429.5199890136719
2022-03-28,438.29998779296875
2022-03-29,451.6300048828125
2022-03-30,444.0
2022-03-31,444.8900146484375
2022-04-01,443.94000244140625
2022-04-04,444.260009765625
2022-04-05,438.75
2022-04-06,430.3399963378906
2022-04-07,437.8800048828125
2022-04-08,425.760009765625
2022-04-11,414.1600036621094
2022-04-12,412.2300109863281
2022-04-13,418.3399963378906
