Date,COIN
2025-06-24,344.82000732421875
2025-06-25,355.3699951171875
2025-06-26,375.07000732421875
2025-06-27,353.42999267578125
2025-06-30,350.489990234375
2025-07-01,335.3299865722656
2025-07-02,354.45001220703125
2025-07-03,355.79998779296875
2025-07-07,357.1000061035156
2025-07-08,354.82000732421875
2025-07-09,373.8500061035156
2025-07-10,388.9599914550781
2025-07-11,387.05999755859375
2025-07-14,394.010009765625
2025-07-15,388.0199890136719
2025-07-16,398.20001220703125
2025-07-17,410.75
2025-07-18,419.7799987792969
2025-07-21,413.6300048828125
2025-07-22,404.44000244140625
2025-07-23,397.80999755859375
2025-07-24,396.70001220703125
2025-07-25,391.6600036621094
2025-07-28,379.489990234375
2025-07-29,371.44000244140625
2025-07-30,377.4800109863281
2025-07-31,377.760009765625
2025-08-01,314.69000244140625
2025-08-04,318.1700134277344
2025-08-05,297.989990234375
2025-08-06,303.5799865722656
2025-08-07,310.7900085449219
2025-08-08,310.5400085449219
2025-08-11,319.6199951171875
2025-08-12,322.6199951171875
2025-08-13,327.010009765625
2025-08-14,324.8900146484375
2025-08-15,317.54998779296875
2025-08-18,320.7300109863281
2025-08-19,302.07000732421875
2025-08-20,304.3900146484375
2025-08-21,300.2799987792969
2025-08-22,319.8500061035156
2025-08-25,306.0
2025-08-26,308.4800109863281
2025-08-27,308.9700012207031
2025-08-28,308.4700012207031
2025-08-29,304.5400085449219
2025-09-02,303.55999755859375
2025-09-03,302.30999755859375
2025-09-04,306.79998779296875
2025-09-05,299.07000732421875
2025-09-08,302.20001220703125
2025-09-09,318.7799987792969
2025-09-10,315.3399963378906
2025-09-11,323.95001220703125
2025-09-12,323.0400085449219
2025-09-15,327.0199890136719
2025-09-16,327.9100036621094
2025-09-17,320.55999755859375
2025-09-18,343.1300048828125
2025-09-19,342.4599914550781
2025-09-22,331.95001220703125
2025-09-23,320.07000732421875
2025-09-24,321.7699890136719
2025-09-25,306.69000244140625
2025-09-26,312.5899963378906
2025-09-29,333.989990234375
2025-09-30,337.489990234375
2025-10-01,346.1700134277344
2025-10-02,372.07000732421875
2025-10-03,380.0199890136719
2025-10-06,386.07000732421875
2025-10-07,375.7799987792969
2025-10-08,387.2699890136719
2025-10-09,387.0
2025-10-10,357.010009765625
2025-10-13,356.989990234375
2025-10-14,341.54998779296875
2025-10-15,336.29998779296875
2025-10-16,330.25
2025-10-17,336.0199890136719
2025-10-20,343.7799987792969
2025-10-21,338.6199951171875
2025-10-22,320.3299865722656
2025-10-23,322.760009765625
2025-10-24,354.4599914550781
2025-10-27,361.42999267578125
2025-10-28,355.2200012207031
2025-10-29,348.6099853515625
2025-10-30,328.510009765625
2025-10-31,343.7799987792969
2025-11-03,330.4200134277344
2025-11-04,307.32000732421875
2025-11-05,319.29998779296875
2025-11-06,295.2200012207031
2025-11-07,309.1400146484375
2025-11-10,317.92999267578125
2025-11-11,304.010009765625
2025-11-12,304.0
2025-11-13,283.1400146484375
2025-11-14,284.0
2025-11-17,263.95001220703125
2025-11-18,261.7900085449219
2025-11-19,257.2900085449219
2025-11-20,238.16000366210938
2025-11-21,240.41000366210938
2025-11-24,255.97000122070312
2025-11-25,254.1199951171875
2025-11-26,264.9700012207031
2025-11-28,272.82000732421875
2025-12-01,259.8399963378906
2025-12-02,263.260009765625
2025-12-03,276.9200134277344
2025-12-04,274.04998779296875
2025-12-05,269.7300109863281
2025-12-08,274.20001220703125
2025-12-09,277.3599853515625
2025-12-10,275.0899963378906
2025-12-11,269.0199890136719
2025-12-12,267.4599914550781
2025-12-15,250.4199981689453
2025-12-16,252.61000061035156
2025-12-17,244.19000244140625
2025-12-18,239.1999969482422
2025-12-19,245.1199951171875
2025-12-22,247.89999389648438
2025-12-23,242.3000030517578
2025-12-24,239.72999572753906
2025-12-26,236.89999389648438
2025-12-29,233.77000427246094
2025-12-30,231.60000610351562
