Date,AEE
2018-11-29,67.81999969482422
2018-11-30,68.62000274658203
2018-12-03,69.80000305175781
2018-12-04,70.04000091552734
2018-12-06,70.16000366210938
2018-12-07,70.41999816894531
2018-12-10,70.70999908447266
2018-12-11,70.29000091552734
2018-12-12,69.83999633789062
2018-12-13,70.44000244140625
2018-12-14,69.80999755859375
2018-12-17,67.30999755859375
2018-12-18,67.37999725341797
2018-12-19,67.20999908447266
2018-12-20,67.02999877929688
2018-12-21,66.94000244140625
2018-12-24,63.2400016784668
2018-12-26,64.3499984741211
2018-12-27,65.30000305175781
2018-12-28,64.94000244140625
2018-12-31,65.2300033569336
2019-01-02,63.529998779296875
2019-01-03,63.689998626708984
2019-01-04,64.58999633789062
2019-01-07,63.849998474121094
2019-01-08,64.86000061035156
2019-01-09,64.37999725341797
2019-01-10,65.80999755859375
2019-01-11,65.55000305175781
2019-01-14,64.95999908447266
2019-01-15,66.04000091552734
2019-01-16,66.66999816894531
2019-01-17,67.05999755859375
2019-01-18,67.23999786376953
2019-01-22,67.58000183105469
2019-01-23,68.0999984741211
2019-01-24,68.75
2019-01-25,67.94000244140625
2019-01-28,67.66000366210938
2019-01-29,67.47000122070312
2019-01-30,67.94000244140625
2019-01-31,69.33999633789062
2019-02-01,68.8499984741211
2019-02-04,68.98999786376953
2019-02-05,68.83999633789062
2019-02-06,68.88999938964844
2019-02-07,69.72000122070312
2019-02-08,70.47000122070312
2019-02-11,70.76000213623047
2019-02-12,70.19000244140625
2019-02-13,70.05999755859375
2019-02-14,69.02999877929688
2019-02-15,69.68000030517578
2019-02-19,70.08999633789062
2019-02-20,70.4000015258789
2019-02-21,71.19999694824219
2019-02-22,72.18000030517578
2019-02-25,70.87999725341797
2019-02-26,70.22000122070312
2019-02-27,70.41999816894531
2019-02-28,71.23999786376953
2019-03-01,70.93000030517578
2019-03-04,71.30000305175781
2019-03-05,71.06999969482422
2019-03-06,71.06999969482422
2019-03-07,71.22000122070312
2019-03-08,71.69999694824219
2019-03-11,72.56999969482422
2019-03-12,72.37000274658203
2019-03-13,72.94000244140625
