Date,NTRS
2020-08-20,81.43000030517578
2020-08-21,81.7300033569336
2020-08-24,84.26000213623047
2020-08-25,84.0
2020-08-26,82.73999786376953
2020-08-27,84.27999877929688
2020-08-28,83.91000366210938
2020-08-31,81.88999938964844
2020-09-01,82.08000183105469
2020-09-02,83.91999816894531
2020-09-03,83.66000366210938
2020-09-04,84.44999694824219
2020-09-08,81.61000061035156
2020-09-09,81.08999633789062
2020-09-10,78.6500015258789
2020-09-11,79.8499984741211
2020-09-14,80.5
2020-09-15,78.76000213623047
2020-09-16,83.22000122070312
2020-09-17,82.9000015258789
2020-09-18,81.73999786376953
2020-09-21,79.5
2020-09-22,77.79000091552734
2020-09-23,75.98999786376953
2020-09-24,75.22000122070312
2020-09-25,76.45999908447266
2020-09-28,78.61000061035156
2020-09-29,77.45999908447266
2020-09-30,77.97000122070312
2020-10-01,77.05000305175781
2020-10-02,78.41000366210938
2020-10-05,80.83000183105469
2020-10-06,80.19000244140625
2020-10-07,82.23999786376953
2020-10-08,84.25
2020-10-09,85.22000122070312
2020-10-12,86.30999755859375
2020-10-13,83.93000030517578
2020-10-14,84.38999938964844
2020-10-15,87.0199966430664
2020-10-16,87.37999725341797
2020-10-19,85.41000366210938
2020-10-20,85.76000213623047
2020-10-21,85.7699966430664
2020-10-22,85.76000213623047
2020-10-23,84.41000366210938
2020-10-26,82.2300033569336
2020-10-27,80.69999694824219
2020-10-28,77.80000305175781
2020-10-29,78.29000091552734
2020-10-30,78.2699966430664
2020-11-02,79.05000305175781
2020-11-03,82.54000091552734
2020-11-04,78.88999938964844
2020-11-05,81.58000183105469
2020-11-06,81.66000366210938
2020-11-09,90.80000305175781
2020-11-10,91.8499984741211
2020-11-11,89.20999908447266
2020-11-12,87.56999969482422
2020-11-13,90.80000305175781
2020-11-16,93.13999938964844
2020-11-17,93.79000091552734
2020-11-18,92.69000244140625
2020-11-19,93.36000061035156
2020-11-20,91.38999938964844
2020-11-23,93.55999755859375
2020-11-24,97.61000061035156
2020-11-25,96.87999725341797
2020-11-27,96.13999938964844
2020-11-30,93.12000274658203
2020-12-01,93.2699966430664
2020-12-02,93.9000015258789
2020-12-03,92.98999786376953
2020-12-04,94.80999755859375
2020-12-07,94.41999816894531
2020-12-08,94.62999725341797
2020-12-09,93.22000122070312
2020-12-10,91.72000122070312
2020-12-11,90.0999984741211
2020-12-14,88.58000183105469
2020-12-15,90.7300033569336
2020-12-16,90.79000091552734
2020-12-17,92.0999984741211
2020-12-18,91.9000015258789
2020-12-21,91.05000305175781
2020-12-22,90.5999984741211
2020-12-23,91.98999786376953
2020-12-24,91.58999633789062
2020-12-28,92.4800033569336
2020-12-29,91.91000366210938
2020-12-30,91.91999816894531
2020-12-31,93.13999938964844
2021-01-04,92.5
2021-01-05,91.80999755859375
2021-01-06,97.29000091552734
2021-01-07,97.58000183105469
2021-01-08,96.88999938964844
2021-01-11,97.88999938964844
2021-01-12,99.3499984741211
2021-01-13,98.33000183105469
2021-01-14,99.69000244140625
2021-01-15,96.44000244140625
2021-01-19,97.36000061035156
2021-01-20,94.80000305175781
2021-01-21,94.22000122070312
2021-01-22,94.5999984741211
2021-01-25,94.27999877929688
2021-01-26,93.5999984741211
2021-01-27,90.2699966430664
2021-01-28,91.19000244140625
2021-01-29,89.19000244140625
2021-02-01,90.55999755859375
2021-02-02,92.12000274658203
2021-02-03,93.5199966430664
2021-02-04,96.52999877929688
2021-02-05,97.16000366210938
2021-02-08,97.6500015258789
2021-02-09,97.75
2021-02-10,96.80000305175781
2021-02-11,96.98999786376953
2021-02-12,98.13999938964844
2021-02-16,98.91999816894531
2021-02-17,97.45999908447266
2021-02-18,96.01000213623047
2021-02-19,96.30999755859375
2021-02-22,97.62999725341797
2021-02-23,97.55000305175781
2021-02-24,100.2699966430664
2021-02-25,97.76000213623047
2021-02-26,95.12999725341797
2021-03-01,98.8499984741211
2021-03-02,97.30000305175781
2021-03-03,98.55000305175781
2021-03-04,97.56999969482422
2021-03-05,99.91999816894531
2021-03-08,101.61000061035156
2021-03-09,100.41000366210938
2021-03-10,101.37999725341797
2021-03-11,101.69000244140625
2021-03-12,102.37999725341797
2021-03-15,104.81999969482422
2021-03-16,104.30000305175781
2021-03-17,104.58000183105469
2021-03-18,104.05999755859375
2021-03-19,102.61000061035156
2021-03-22,99.58000183105469
2021-03-23,97.81999969482422
2021-03-24,99.3499984741211
2021-03-25,102.93000030517578
2021-03-26,105.8499984741211
2021-03-29,106.58000183105469
2021-03-30,107.0199966430664
2021-03-31,105.11000061035156
2021-04-01,105.62999725341797
2021-04-05,106.87000274658203
2021-04-06,105.70999908447266
2021-04-07,106.83000183105469
2021-04-08,106.51000213623047
2021-04-09,108.72000122070312
2021-04-12,109.95999908447266
2021-04-13,108.76000213623047
2021-04-14,110.08999633789062
2021-04-15,108.52999877929688
2021-04-16,106.91000366210938
2021-04-19,106.2300033569336
2021-04-20,107.37000274658203
2021-04-21,106.73999786376953
2021-04-22,106.76000213623047
2021-04-23,109.52999877929688
2021-04-26,109.16000366210938
2021-04-27,111.18000030517578
2021-04-28,111.83999633789062
2021-04-29,114.41000366210938
2021-04-30,113.80000305175781
2021-05-03,114.79000091552734
2021-05-04,115.31999969482422
2021-05-05,117.41999816894531
2021-05-06,118.80000305175781
2021-05-07,119.27999877929688
2021-05-10,120.18000030517578
2021-05-11,118.4000015258789
2021-05-12,116.3499984741211
2021-05-13,119.05999755859375
2021-05-14,120.16999816894531
2021-05-17,120.62000274658203
2021-05-18,117.37999725341797
2021-05-19,117.33999633789062
2021-05-20,118.16000366210938
2021-05-21,119.87999725341797
2021-05-24,120.66000366210938
2021-05-25,120.2699966430664
2021-05-26,120.94999694824219
2021-05-27,121.45999908447266
2021-05-28,121.19000244140625
2021-06-01,121.5
2021-06-02,120.47000122070312
2021-06-03,120.81999969482422
2021-06-04,120.38999938964844
2021-06-07,118.93000030517578
2021-06-08,119.97000122070312
2021-06-09,118.62000274658203
2021-06-10,117.12000274658203
2021-06-11,117.58999633789062
2021-06-14,116.47000122070312
2021-06-15,118.18000030517578
2021-06-16,118.98999786376953
2021-06-17,112.52999877929688
2021-06-18,109.27999877929688
2021-06-21,113.16000366210938
2021-06-22,112.05000305175781
2021-06-23,112.25
2021-06-24,114.31999969482422
2021-06-25,116.2699966430664
2021-06-28,114.5999984741211
2021-06-29,114.93000030517578
2021-06-30,115.62000274658203
2021-07-01,116.31999969482422
2021-07-02,116.7300033569336
2021-07-06,114.37000274658203
2021-07-07,114.04000091552734
2021-07-08,111.58000183105469
2021-07-09,115.55000305175781
