Date,MAS
2019-03-08,39.2400016784668
2019-03-11,39.34000015258789
2019-03-12,39.2599983215332
2019-03-13,38.959999084472656
2019-03-14,38.90999984741211
2019-03-15,38.97999954223633
2019-03-18,39.150001525878906
2019-03-19,38.959999084472656
2019-03-20,38.560001373291016
2019-03-21,39.11000061035156
2019-03-22,38.25
2019-03-25,38.720001220703125
2019-03-26,38.810001373291016
2019-03-27,38.58000183105469
2019-03-28,39.119998931884766
2019-03-29,39.310001373291016
2019-04-01,39.310001373291016
2019-04-02,39.58000183105469
2019-04-03,39.59000015258789
2019-04-04,40.119998931884766
2019-04-05,40.75
2019-04-08,40.849998474121094
2019-04-09,40.25
2019-04-10,40.40999984741211
2019-04-11,40.310001373291016
2019-04-12,40.459999084472656
2019-04-15,40.529998779296875
2019-04-16,40.470001220703125
2019-04-17,39.9900016784668
2019-04-18,40.040000915527344
2019-04-22,39.70000076293945
2019-04-23,39.9900016784668
2019-04-24,39.9900016784668
2019-04-25,37.5
2019-04-26,38.47999954223633
2019-04-29,39.33000183105469
2019-04-30,39.060001373291016
2019-05-01,39.310001373291016
2019-05-02,39.7400016784668
2019-05-03,40.439998626708984
2019-05-06,40.09000015258789
2019-05-07,38.88999938964844
2019-05-08,38.279998779296875
2019-05-09,37.83000183105469
2019-05-10,37.939998626708984
2019-05-13,36.9900016784668
2019-05-14,37.349998474121094
2019-05-15,37.86000061035156
2019-05-16,38.15999984741211
2019-05-17,37.54999923706055
2019-05-20,37.66999816894531
2019-05-21,38.06999969482422
2019-05-22,37.93000030517578
2019-05-23,36.900001525878906
2019-05-24,37.279998779296875
2019-05-28,36.470001220703125
2019-05-29,35.91999816894531
2019-05-30,35.84000015258789
2019-05-31,34.91999816894531
2019-06-03,35.599998474121094
2019-06-04,37.189998626708984
2019-06-05,37.220001220703125
2019-06-06,37.43000030517578
2019-06-07,37.959999084472656
2019-06-10,37.880001068115234
2019-06-11,37.939998626708984
2019-06-12,38.16999816894531
2019-06-13,39.040000915527344
2019-06-14,38.290000915527344
2019-06-17,37.939998626708984
2019-06-18,37.849998474121094
2019-06-19,37.560001373291016
2019-06-20,38.65999984741211
2019-06-21,38.099998474121094
2019-06-24,38.849998474121094
2019-06-25,38.400001525878906
2019-06-26,38.88999938964844
2019-06-27,39.0
2019-06-28,39.2400016784668
2019-07-01,39.56999969482422
2019-07-02,39.689998626708984
2019-07-03,39.790000915527344
2019-07-05,39.84000015258789
2019-07-08,39.540000915527344
2019-07-09,39.290000915527344
2019-07-10,38.400001525878906
2019-07-11,38.119998931884766
2019-07-12,38.75
2019-07-15,38.939998626708984
2019-07-16,39.400001525878906
2019-07-17,38.630001068115234
2019-07-18,38.209999084472656
2019-07-19,37.849998474121094
2019-07-22,37.56999969482422
2019-07-23,38.599998474121094
2019-07-24,39.20000076293945
2019-07-25,42.380001068115234
2019-07-26,41.5
2019-07-29,40.779998779296875
2019-07-30,41.560001373291016
2019-07-31,40.77000045776367
2019-08-01,39.15999984741211
2019-08-02,39.970001220703125
2019-08-05,38.70000076293945
2019-08-06,39.5099983215332
2019-08-07,39.150001525878906
2019-08-08,39.83000183105469
2019-08-09,39.15999984741211
2019-08-12,38.849998474121094
2019-08-13,39.16999816894531
2019-08-14,37.91999816894531
2019-08-15,38.0
2019-08-16,38.459999084472656
2019-08-19,38.81999969482422
2019-08-20,39.63999938964844
2019-08-21,40.91999816894531
2019-08-22,40.560001373291016
2019-08-23,38.65999984741211
2019-08-26,39.40999984741211
2019-08-27,39.34000015258789
2019-08-28,40.02000045776367
2019-08-29,41.08000183105469
2019-08-30,40.72999954223633
2019-09-03,39.84000015258789
2019-09-04,40.65999984741211
2019-09-05,41.2599983215332
2019-09-06,41.75
2019-09-09,42.060001373291016
2019-09-10,42.369998931884766
2019-09-11,43.099998474121094
2019-09-12,43.189998626708984
2019-09-13,43.20000076293945
2019-09-16,42.720001220703125
2019-09-17,41.290000915527344
2019-09-18,41.47999954223633
2019-09-19,41.04999923706055
2019-09-20,40.630001068115234
2019-09-23,40.5099983215332
2019-09-24,40.2400016784668
2019-09-25,40.689998626708984
2019-09-26,41.459999084472656
2019-09-27,41.68000030517578
2019-09-30,41.68000030517578
2019-10-01,42.02000045776367
2019-10-02,40.90999984741211
2019-10-03,41.47999954223633
2019-10-04,42.5099983215332
2019-10-07,42.310001373291016
2019-10-08,41.459999084472656
2019-10-09,41.9900016784668
2019-10-10,41.849998474121094
2019-10-11,42.81999969482422
2019-10-14,42.5099983215332
2019-10-15,43.119998931884766
2019-10-16,43.68000030517578
