ticker,fonte,status,n_rows,start_date,end_date,note
MON,tiingo,not_found_tiingo,0,2015-07-01,2017-12-31,Tiingo retornou lista vazia para MON
MRO,tiingo,ok_tiingo,2264,2015-07-01,2024-06-30,
MXIM,tiingo,ok_tiingo,755,2018-07-01,2021-06-30,
MYL,tiingo,ok_tiingo,1259,2015-07-01,2020-06-30,
NBL,tiingo,ok_tiingo,1259,2015-07-01,2020-06-30,
NLOK,tiingo,ok_tiingo,757,2019-07-01,2022-06-30,
NLSN,tiingo,ok_tiingo,1763,2015-07-01,2022-06-30,
PARA,tiingo,ok_tiingo,875,2022-01-01,2025-06-30,
PBCT,tiingo,ok_tiingo,1639,2015-07-01,2021-12-31,
PCL,tiingo,ok_tiingo,128,2015-07-01,2015-12-31,
PCP,tiingo,not_found_tiingo,0,2015-07-01,2015-12-31,Tiingo retornou lista vazia para PCP
PDCO,tiingo,ok_tiingo,631,2015-07-01,2017-12-31,
PEAK,tiingo,not_found_tiingo,0,2019-07-01,2023-12-31,Tiingo retornou lista vazia para PEAK
POM,tiingo,not_found_tiingo,0,2015-07-01,2015-12-31,Tiingo retornou lista vazia para POM
PX,tiingo,ok_tiingo,756,2015-07-01,2018-06-30,
PXD,tiingo,ok_tiingo,2140,2015-07-01,2023-12-31,
RAI,tiingo,ok_tiingo,505,2015-07-01,2017-06-30,
RE,tiingo,not_found_tiingo,0,2017-01-01,2023-06-30,Tiingo retornou lista vazia para RE
RHT,tiingo,ok_tiingo,1006,2015-07-01,2019-06-30,
RTN,tiingo,ok_tiingo,1134,2015-07-01,2019-12-31,
SBNY,tiingo,ok_tiingo,379,2021-07-01,2022-12-31,
SE,tiingo,not_found_tiingo,0,2015-07-01,2016-12-31,Tiingo retornou lista vazia para SE
SIVB,tiingo,ok_tiingo,1259,2018-01-01,2022-12-31,
SNI,tiingo,ok_tiingo,631,2015-07-01,2017-12-31,
SPLS,tiingo,ok_tiingo,505,2015-07-01,2017-06-30,
SRCL,tiingo,ok_tiingo,756,2015-07-01,2018-06-30,
STI,tiingo,not_found_tiingo,0,2015-07-01,2019-06-30,Tiingo retornou lista vazia para STI
STJ,tiingo,ok_tiingo,380,2015-07-01,2016-12-31,
SWN,tiingo,ok_tiingo,380,2015-07-01,2016-12-31,
SYMC,tiingo,ok_tiingo,1006,2015-07-01,2019-06-30,
TE,tiingo,not_found_tiingo,0,2015-07-01,2016-06-30,Tiingo retornou lista vazia para TE
TIF,tiingo,ok_tiingo,1387,2015-07-01,2020-12-31,
TMK,tiingo,not_found_tiingo,0,2015-07-01,2019-06-30,Tiingo retornou lista vazia para TMK
TSS,tiingo,ok_tiingo,1006,2015-07-01,2019-06-30,
TWC,tiingo,ok_tiingo,128,2015-07-01,2015-12-31,
TWTR,tiingo,ok_tiingo,1132,2018-01-01,2022-06-30,
UTX,tiingo,ok_tiingo,1134,2015-07-01,2019-12-31,
VAR,tiingo,ok_tiingo,1387,2015-07-01,2020-12-31,
WBA,tiingo,ok_tiingo,2514,2015-07-01,2025-06-30,
WCG,tiingo,ok_tiingo,378,2018-07-01,2019-12-31,
WFM,tiingo,ok_tiingo,505,2015-07-01,2017-06-30,
WLTW,tiingo,not_found_tiingo,0,2016-01-01,2021-12-31,Tiingo retornou lista vazia para WLTW
WRK,tiingo,not_found_tiingo,0,2015-07-01,2024-06-30,Tiingo retornou lista vazia para WRK
WYND,tiingo,ok_tiingo,631,2015-07-01,2017-12-31,
XEC,tiingo,ok_tiingo,1134,2015-07-01,2019-12-31,
XL,tiingo,ok_tiingo,756,2015-07-01,2018-06-30,
XLNX,tiingo,ok_tiingo,1639,2015-07-01,2021-12-31,
